# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 70.15 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -6.19 0.0 1.0
5.00 0.00 -5.83 0.0 1.0
10.00 0.00 -5.88 0.0 1.0
15.00 0.00 -6.18 0.0 1.0
20.00 0.00 -6.51 0.0 1.0
25.00 0.00 -6.64 0.0 1.0
30.00 0.00 -6.51 0.0 1.0
35.00 0.00 -6.34 0.0 1.0
40.00 0.00 -6.48 0.0 1.0
45.00 0.00 -7.28 0.5 0.5
50.00 0.00 -9.05 0.5 0.5
55.00 0.00 -11.43 0.5 0.5
60.00 0.00 -10.24 0.5 0.5
65.00 0.00 -5.60 0.5 0.5
70.00 0.00 -1.59 0.5 0.5
75.00 0.00 1.48 0.5 0.5
80.00 0.00 3.84 0.5 0.5
85.00 0.00 5.70 0.5 0.5
90.00 0.00 7.17 0.5 0.5
95.00 0.00 8.32 0.5 0.5
100.00 0.00 9.23 0.5 0.5
105.00 0.00 9.92 0.5 0.5
110.00 0.00 10.43 0.5 0.5
115.00 0.00 10.78 0.5 0.5
120.00 0.00 10.99 0.5 0.5
125.00 0.00 11.06 0.5 0.5
130.00 0.00 10.99 0.5 0.5
135.00 0.00 10.78 0.5 0.5
140.00 0.00 10.43 1.0 0.0
145.00 0.00 9.92 1.0 0.0
150.00 0.00 9.23 1.0 0.0
155.00 0.00 8.32 1.0 0.0
160.00 0.00 7.17 1.0 0.0
165.00 0.00 5.70 1.0 0.0
170.00 0.00 3.84 1.0 0.0
175.00 0.00 1.48 1.0 0.0
180.00 0.00 -1.59 1.0 0.0
0.00 5.00 -6.19 0.0 1.0
5.00 5.00 -5.83 0.0 1.0
10.00 5.00 -5.88 0.0 1.0
15.00 5.00 -6.18 0.0 1.0
20.00 5.00 -6.51 0.0 1.0
25.00 5.00 -6.65 0.0 1.0
