# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 70.2 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 41.58 0.0 1.0
1.00 0.00 41.58 0.0 1.0
2.00 0.00 41.59 0.0 1.0
3.00 0.00 41.58 0.0 1.0
4.00 0.00 41.58 0.0 1.0
5.00 0.00 41.57 0.0 1.0
6.00 0.00 41.55 0.0 1.0
7.00 0.00 41.54 0.0 1.0
8.00 0.00 41.52 0.0 1.0
9.00 0.00 41.49 0.0 1.0
10.00 0.00 41.46 0.0 1.0
11.00 0.00 41.43 0.0 1.0
12.00 0.00 41.39 0.0 1.0
13.00 0.00 41.35 0.0 1.0
14.00 0.00 41.31 0.0 1.0
15.00 0.00 41.26 0.0 1.0
16.00 0.00 41.21 0.0 1.0
17.00 0.00 41.15 0.0 1.0
18.00 0.00 41.09 0.0 1.0
19.00 0.00 41.03 0.0 1.0
20.00 0.00 40.96 0.0 1.0
21.00 0.00 40.89 0.0 1.0
22.00 0.00 40.82 0.0 1.0
23.00 0.00 40.74 0.0 1.0
24.00 0.00 40.65 0.0 1.0
25.00 0.00 40.56 0.0 1.0
26.00 0.00 40.47 0.0 1.0
27.00 0.00 40.38 0.0 1.0
28.00 0.00 40.28 0.0 1.0
29.00 0.00 40.17 0.0 1.0
30.00 0.00 40.06 0.0 1.0
31.00 0.00 39.95 0.0 1.0
32.00 0.00 39.83 0.0 1.0
33.00 0.00 39.71 0.0 1.0
34.00 0.00 39.59 0.0 1.0
35.00 0.00 39.46 0.0 1.0
36.00 0.00 39.32 0.0 1.0
0.00 1.00 41.58 0.0 1.0
1.00 1.00 41.58 0.0 1.0
2.00 1.00 41.59 0.0 1.0
3.00 1.00 41.58 0.0 1.0
4.00 1.00 41.58 0.0 1.0
5.00 1.00 41.57 0.0 1.0
6.00 1.00 41.55 0.0 1.0
7.00 1.00 41.54 0.0 1.0
8.00 1.00 41.52 0.0 1.0
9.00 1.00 41.49 0.0 1.0
10.00 1.00 41.46 0.0 1.0
11.00 1.00 41.43 0.0 1.0
12.00 1.00 41.39 0.0 1.0
13.00 1.00 41.35 0.0 1.0
14.00 1.00 41.31 0.0 1.0
15.00 1.00 41.26 0.0 1.0
16.00 1.00 41.21 0.0 1.0
17.00 1.00 41.15 0.0 1.0
18.00 1.00 41.09 0.0 1.0
19.00 1.00 41.03 0.0 1.0
20.00 1.00 40.96 0.0 1.0
21.00 1.00 40.89 0.0 1.0
22.00 1.00 40.82 0.0 1.0
23.00 1.00 40.74 0.0 1.0
24.00 1.00 40.65 0.0 1.0
25.00 1.00 40.56 0.0 1.0
26.00 1.00 40.47 0.0 1.0
27.00 1.00 40.38 0.0 1.0
28.00 1.00 40.28 0.0 1.0
29.00 1.00 40.17 0.0 1.0
30.00 1.00 40.06 0.0 1.0
31.00 1.00 39.95 0.0 1.0
32.00 1.00 39.84 0.0 1.0
33.00 1.00 39.71 0.0 1.0
34.00 1.00 39.59 0.0 1.0
35.00 1.00 39.46 0.0 1.0
36.00 1.00 39.33 0.0 1.0
0.00 2.00 41.58 0.0 1.0
1.00 2.00 41.58 0.0 1.0
2.00 2.00 41.59 0.0 1.0
3.00 2.00 41.58 0.0 1.0
4.00 2.00 41.58 0.0 1.0
5.00 2.00 41.57 0.0 1.0
6.00 2.00 41.55 0.0 1.0
7.00 2.00 41.54 0.0 1.0
8.00 2.00 41.52 0.0 1.0
9.00 2.00 41.49 0.0 1.0
10.00 2.00 41.46 0.0 1.0
11.00 2.00 41.43 0.0 1.0
12.00 2.00 41.39 0.0 1.0
13.00 2.00 41.35 0.0 1.0
14.00 2.00 41.31 0.0 1.0
15.00 2.00 41.26 0.0 1.0
16.00 2.00 41.21 0.0 1.0
17.00 2.00 41.15 0.0 1.0
18.00 2.00 41.09 0.0 1.0
19.00 2.00 41.03 0.0 1.0
20.00 2.00 40.96 0.0 1.0
21.00 2.00 40.89 0.0 1.0
22.00 2.00 40.82 0.0 1.0
23.00 2.00 40.74 0.0 1.0
24.00 2.00 40.65 0.0 1.0
25.00 2.00 40.57 0.0 1.0
26.00 2.00 40.47 0.0 1.0
27.00 2.00 40.38 0.0 1.0
28.00 2.00 40.28 0.0 1.0
29.00 2.00 40.17 0.0 1.0
30.00 2.00 40.07 0.0 1.0
31.00 2.00 39.95 0.0 1.0
32.00 2.00 39.84 0.0 1.0
33.00 2.00 39.72 0.0 1.0
34.00 2.00 39.59 0.0 1.0
35.00 2.00 39.46 0.0 1.0
36.00 2.00 39.33 0.0 1.0
0.00 3.00 41.58 0.0 1.0
1.00 3.00 41.58 0.0 1.0
2.00 3.00 41.59 0.0 1.0
3.00 3.00 41.58 0.0 1.0
4.00 3.00 41.58 0.0 1.0
5.00 3.00 41.57 0.0 1.0
6.00 3.00 41.56 0.0 1.0
7.00 3.00 41.54 0.0 1.0
8.00 3.00 41.52 0.0 1.0
9.00 3.00 41.49 0.0 1.0
10.00 3.00 41.46 0.0 1.0
11.00 3.00 41.43 0.0 1.0
12.00 3.00 41.39 0.0 1.0
13.00 3.00 41.35 0.0 1.0
14.00 3.00 41.31 0.0 1.0
15.00 3.00 41.26 0.0 1.0
16.00 3.00 41.21 0.0 1.0
17.00 3.00 41.15 0.0 1.0
18.00 3.00 41.10 0.0 1.0
19.00 3.00 41.03 0.0 1.0
20.00 3.00 40.96 0.0 1.0
21.00 3.00 40.89 0.0 1.0
22.00 3.00 40.82 0.0 1.0
23.00 3.00 40.74 0.0 1.0
24.00 3.00 40.65 0.0 1.0
25.00 3.00 40.57 0.0 1.0
26.00 3.00 40.48 0.0 1.0
27.00 3.00 40.38 0.0 1.0
28.00 3.00 40.28 0.0 1.0
29.00 3.00 40.18 0.0 1.0
30.00 3.00 40.07 0.0 1.0
31.00 3.00 39.96 0.0 1.0
32.00 3.00 39.84 0.0 1.0
