# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 10.1 MHz
# Antenna: 80m Square Loop (82m total length)
# Height: 10m above ground
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0 0 8.64 0.7 0.3
0 10 8.64 0.7 0.3
0 20 8.64 0.7 0.3
0 30 8.64 0.7 0.3
0 40 8.64 0.7 0.3
0 50 8.64 0.7 0.3
0 60 8.64 0.7 0.3
0 70 8.64 0.7 0.3
0 80 8.64 0.7 0.3
0 90 8.64 0.7 0.3
0 100 8.64 0.7 0.3
0 110 8.64 0.7 0.3
0 120 8.64 0.7 0.3
0 130 8.64 0.7 0.3
0 140 8.64 0.7 0.3
0 150 8.64 0.7 0.3
0 160 8.64 0.7 0.3
0 170 8.64 0.7 0.3
0 180 8.64 0.7 0.3
0 190 8.64 0.7 0.3
0 200 8.64 0.7 0.3
0 210 8.64 0.7 0.3
0 220 8.64 0.7 0.3
0 230 8.64 0.7 0.3
0 240 8.64 0.7 0.3
0 250 8.64 0.7 0.3
0 260 8.64 0.7 0.3
0 270 8.64 0.7 0.3
0 280 8.64 0.7 0.3
0 290 8.64 0.7 0.3
0 300 8.64 0.7 0.3
0 310 8.64 0.7 0.3
0 320 8.64 0.7 0.3
0 330 8.64 0.7 0.3
0 340 8.64 0.7 0.3
0 350 8.64 0.7 0.3
5 0 8.64 0.7 0.3
5 10 8.64 0.7 0.3
5 20 8.64 0.7 0.3
5 30 8.64 0.7 0.3
5 40 8.64 0.7 0.3
5 50 8.64 0.7 0.3
5 60 8.64 0.7 0.3
5 70 8.64 0.7 0.3
5 80 8.64 0.7 0.3
5 90 8.64 0.7 0.3
5 100 8.64 0.7 0.3
5 110 8.64 0.7 0.3
5 120 8.64 0.7 0.3
5 130 8.64 0.7 0.3
5 140 8.64 0.7 0.3
5 150 8.64 0.7 0.3
5 160 8.64 0.7 0.3
5 170 8.64 0.7 0.3
5 180 8.64 0.7 0.3
5 190 8.64 0.7 0.3
5 200 8.64 0.7 0.3
5 210 8.64 0.7 0.3
5 220 8.64 0.7 0.3
5 230 8.64 0.7 0.3
5 240 8.64 0.7 0.3
5 250 8.64 0.7 0.3
5 260 8.64 0.7 0.3
5 270 8.64 0.7 0.3
5 280 8.64 0.7 0.3
5 290 8.64 0.7 0.3
5 300 8.64 0.7 0.3
5 310 8.64 0.7 0.3
5 320 8.64 0.7 0.3
5 330 8.64 0.7 0.3
5 340 8.64 0.7 0.3
5 350 8.64 0.7 0.3
10 0 8.64 0.7 0.3
10 10 8.64 0.7 0.3
10 20 8.64 0.7 0.3
10 30 8.64 0.7 0.3
10 40 8.64 0.7 0.3
10 50 8.64 0.7 0.3
10 60 8.64 0.7 0.3
10 70 8.64 0.7 0.3
10 80 8.64 0.7 0.3
10 90 8.64 0.7 0.3
10 100 8.64 0.7 0.3
10 110 8.64 0.7 0.3
10 120 8.64 0.7 0.3
10 130 8.64 0.7 0.3
10 140 8.64 0.7 0.3
10 150 8.64 0.7 0.3
10 160 8.64 0.7 0.3
10 170 8.64 0.7 0.3
10 180 8.64 0.7 0.3
10 190 8.64 0.7 0.3
10 200 8.64 0.7 0.3
10 210 8.64 0.7 0.3
10 220 8.64 0.7 0.3
10 230 8.64 0.7 0.3
10 240 8.64 0.7 0.3
10 250 8.64 0.7 0.3
10 260 8.64 0.7 0.3
10 270 8.64 0.7 0.3
10 280 8.64 0.7 0.3
10 290 8.64 0.7 0.3
10 300 8.64 0.7 0.3
10 310 8.64 0.7 0.3
10 320 8.64 0.7 0.3
10 330 8.64 0.7 0.3
10 340 8.64 0.7 0.3
10 350 8.64 0.7 0.3
15 0 8.64 0.7 0.3
15 10 8.64 0.7 0.3
15 20 8.64 0.7 0.3
15 30 8.64 0.7 0.3
15 40 8.64 0.7 0.3
15 50 8.64 0.7 0.3
15 60 8.64 0.7 0.3
15 70 8.64 0.7 0.3
15 80 8.64 0.7 0.3
15 90 8.64 0.7 0.3
15 100 8.64 0.7 0.3
15 110 8.64 0.7 0.3
15 120 8.64 0.7 0.3
15 130 8.64 0.7 0.3
15 140 8.64 0.7 0.3
15 150 8.64 0.7 0.3
15 160 8.64 0.7 0.3
15 170 8.64 0.7 0.3
15 180 8.64 0.7 0.3
15 190 8.64 0.7 0.3
15 200 8.64 0.7 0.3
15 210 8.64 0.7 0.3
15 220 8.64 0.7 0.3
15 230 8.64 0.7 0.3
15 240 8.64 0.7 0.3
15 250 8.64 0.7 0.3
15 260 8.64 0.7 0.3
15 270 8.64 0.7 0.3
15 280 8.64 0.7 0.3
15 290 8.64 0.7 0.3
15 300 8.64 0.7 0.3
15 310 8.64 0.7 0.3
15 320 8.64 0.7 0.3
15 330 8.64 0.7 0.3
