# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 144 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
10.00 0.00 6.20 0.0 1.0
15.00 0.00 5.96 0.0 1.0
20.00 0.00 5.33 0.0 1.0
25.00 0.00 3.94 0.0 1.0
30.00 0.00 1.22 0.0 1.0
35.00 0.00 -2.37 0.0 1.0
40.00 0.00 0.23 0.0 1.0
45.00 0.00 4.75 0.5 0.5
50.00 0.00 7.18 0.5 0.5
55.00 0.00 7.62 0.5 0.5
60.00 0.00 6.10 0.5 0.5
65.00 0.00 3.71 0.5 0.5
70.00 0.00 5.38 0.5 0.5
75.00 0.00 8.47 0.5 0.5
80.00 0.00 9.34 0.5 0.5
85.00 0.00 6.49 0.5 0.5
90.00 0.00 -196.03 0.5 0.5
10.00 5.00 6.23 0.0 1.0
15.00 5.00 6.03 0.0 1.0
20.00 5.00 5.46 0.0 1.0
25.00 5.00 4.25 0.0 1.0
30.00 5.00 2.15 0.0 1.0
35.00 5.00 0.32 0.0 1.0
40.00 5.00 2.36 0.0 1.0
45.00 5.00 5.69 0.5 0.5
50.00 5.00 7.64 0.5 0.5
55.00 5.00 7.80 0.5 0.5
60.00 5.00 6.08 0.5 0.5
65.00 5.00 4.40 0.5 0.5
70.00 5.00 6.62 0.5 0.5
75.00 5.00 9.13 0.5 0.5
80.00 5.00 9.90 0.5 0.5
85.00 5.00 7.40 0.5 0.5
90.00 5.00 -194.74 0.5 0.5
10.00 10.00 6.28 0.0 1.0
15.00 10.00 6.15 0.0 1.0
20.00 10.00 5.72 0.0 1.0
25.00 10.00 4.84 0.0 1.0
30.00 10.00 3.61 0.0 1.0
35.00 10.00 3.01 0.0 1.0
40.00 10.00 4.29 0.0 1.0
45.00 10.00 6.47 0.5 0.5
50.00 10.00 8.05 0.5 0.5
55.00 10.00 8.22 0.5 0.5
60.00 10.00 6.71 0.5 0.5
65.00 10.00 6.21 0.5 0.5
70.00 10.00 8.85 0.5 0.5
75.00 10.00 10.80 0.5 0.5
80.00 10.00 11.42 0.5 0.5
85.00 10.00 9.29 0.5 0.5
90.00 10.00 -192.40 0.5 0.5
10.00 15.00 6.34 0.0 1.0
15.00 15.00 6.30 0.0 1.0
20.00 15.00 6.05 0.0 1.0
25.00 15.00 5.56 0.0 1.0
30.00 15.00 5.07 0.0 1.0
35.00 15.00 5.08 0.0 1.0
40.00 15.00 5.77 0.0 1.0
45.00 15.00 6.97 0.5 0.5
50.00 15.00 8.30 0.5 0.5
55.00 15.00 8.77 0.5 0.5
60.00 15.00 7.84 0.5 0.5
65.00 15.00 8.22 0.5 0.5
70.00 15.00 10.95 0.5 0.5
75.00 15.00 12.64 0.5 0.5
80.00 15.00 13.20 0.5 0.5
85.00 15.00 11.27 0.5 0.5
90.00 15.00 -190.19 0.5 0.5
10.00 20.00 6.41 0.0 1.0
15.00 20.00 6.47 0.0 1.0
20.00 20.00 6.42 0.0 1.0
25.00 20.00 6.32 0.0 1.0
30.00 20.00 6.39 0.0 1.0
35.00 20.00 6.71 0.0 1.0
40.00 20.00 6.95 0.0 1.0
45.00 20.00 7.23 0.5 0.5
50.00 20.00 8.31 0.5 0.5
55.00 20.00 9.29 0.5 0.5
60.00 20.00 9.07 0.5 0.5
65.00 20.00 9.90 0.5 0.5
70.00 20.00 12.54 0.5 0.5
75.00 20.00 14.18 0.5 0.5
80.00 20.00 14.76 0.5 0.5
85.00 20.00 12.90 0.5 0.5
90.00 20.00 -188.46 0.5 0.5
10.00 25.00 6.48 0.0 1.0
15.00 25.00 6.66 0.0 1.0
20.00 25.00 6.81 0.0 1.0
25.00 25.00 7.05 0.0 1.0
30.00 25.00 7.56 0.0 1.0
35.00 25.00 8.10 0.0 1.0
40.00 25.00 8.03 0.0 1.0
45.00 25.00 7.39 0.5 0.5
50.00 25.00 8.05 0.5 0.5
55.00 25.00 9.66 0.5 0.5
60.00 25.00 10.13 0.5 0.5
65.00 25.00 11.09 0.5 0.5
70.00 25.00 13.59 0.5 0.5
75.00 25.00 15.28 0.5 0.5
80.00 25.00 15.93 0.5 0.5
85.00 25.00 14.09 0.5 0.5
90.00 25.00 -187.24 0.5 0.5
10.00 30.00 6.55 0.0 1.0
15.00 30.00 6.84 0.0 1.0
20.00 30.00 7.19 0.0 1.0
25.00 30.00 7.75 0.0 1.0
30.00 30.00 8.60 0.0 1.0
35.00 30.00 9.34 0.0 1.0
40.00 30.00 9.15 0.0 1.0
45.00 30.00 7.72 0.5 0.5
50.00 30.00 7.60 0.5 0.5
55.00 30.00 9.84 0.5 0.5
60.00 30.00 10.89 0.5 0.5
65.00 30.00 11.78 0.5 0.5
70.00 30.00 14.14 0.5 0.5
75.00 30.00 15.95 0.5 0.5
