# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 14.0 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -62.17 0.0 1.0
5.00 0.00 -62.62 0.0 1.0
10.00 0.00 -62.96 0.0 1.0
15.00 0.00 -63.15 0.0 1.0
20.00 0.00 -63.19 0.0 1.0
25.00 0.00 -63.09 0.0 1.0
30.00 0.00 -62.89 0.0 1.0
35.00 0.00 -62.63 0.0 1.0
40.00 0.00 -62.36 0.0 1.0
45.00 0.00 -62.12 0.5 0.5
50.00 0.00 -61.94 0.5 0.5
55.00 0.00 -61.85 0.5 0.5
60.00 0.00 -61.89 0.5 0.5
65.00 0.00 -62.10 0.5 0.5
70.00 0.00 -62.57 0.5 0.5
75.00 0.00 -63.48 0.5 0.5
80.00 0.00 -65.24 0.5 0.5
85.00 0.00 -69.28 0.5 0.5
90.00 0.00 -999.99 0.5 0.5
0.00 10.00 -54.09 0.0 1.0
5.00 10.00 -53.88 0.0 1.0
10.00 10.00 -53.67 0.0 1.0
15.00 10.00 -53.47 0.0 1.0
20.00 10.00 -53.29 0.0 1.0
25.00 10.00 -53.13 0.0 1.0
30.00 10.00 -53.00 0.0 1.0
35.00 10.00 -52.90 0.0 1.0
40.00 10.00 -52.84 0.0 1.0
45.00 10.00 -52.83 0.5 0.5
50.00 10.00 -52.88 0.5 0.5
55.00 10.00 -53.01 0.5 0.5
60.00 10.00 -53.24 0.5 0.5
65.00 10.00 -53.62 0.5 0.5
70.00 10.00 -54.24 0.5 0.5
75.00 10.00 -55.25 0.5 0.5
80.00 10.00 -57.09 0.5 0.5
85.00 10.00 -61.17 0.5 0.5
90.00 10.00 -999.99 0.5 0.5
0.00 20.00 -49.18 0.0 1.0
5.00 20.00 -49.03 0.0 1.0
10.00 20.00 -48.90 0.0 1.0
15.00 20.00 -48.78 0.0 1.0
20.00 20.00 -48.69 0.0 1.0
25.00 20.00 -48.61 0.0 1.0
30.00 20.00 -48.56 0.0 1.0
35.00 20.00 -48.55 0.0 1.0
40.00 20.00 -48.56 0.0 1.0
45.00 20.00 -48.62 0.5 0.5
50.00 20.00 -48.73 0.5 0.5
55.00 20.00 -48.91 0.5 0.5
60.00 20.00 -49.19 0.5 0.5
65.00 20.00 -49.62 0.5 0.5
70.00 20.00 -50.26 0.5 0.5
75.00 20.00 -51.30 0.5 0.5
80.00 20.00 -53.16 0.5 0.5
85.00 20.00 -57.25 0.5 0.5
90.00 20.00 -999.99 0.5 0.5
0.00 30.00 -46.16 0.0 1.0
5.00 30.00 -46.07 0.0 1.0
10.00 30.00 -45.99 0.0 1.0
15.00 30.00 -45.92 0.0 1.0
20.00 30.00 -45.87 0.0 1.0
25.00 30.00 -45.84 0.0 1.0
30.00 30.00 -45.84 0.0 1.0
35.00 30.00 -45.86 0.0 1.0
40.00 30.00 -45.91 0.0 1.0
45.00 30.00 -46.00 0.5 0.5
50.00 30.00 -46.14 0.5 0.5
55.00 30.00 -46.35 0.5 0.5
60.00 30.00 -46.66 0.5 0.5
65.00 30.00 -47.10 0.5 0.5
70.00 30.00 -47.76 0.5 0.5
75.00 30.00 -48.82 0.5 0.5
80.00 30.00 -50.68 0.5 0.5
85.00 30.00 -54.78 0.5 0.5
90.00 30.00 -999.99 0.5 0.5
0.00 40.00 -44.11 0.0 1.0
5.00 40.00 -44.05 0.0 1.0
10.00 40.00 -44.01 0.0 1.0
15.00 40.00 -43.97 0.0 1.0
20.00 40.00 -43.95 0.0 1.0
25.00 40.00 -43.95 0.0 1.0
30.00 40.00 -43.98 0.0 1.0
35.00 40.00 -44.02 0.0 1.0
40.00 40.00 -44.10 0.0 1.0
45.00 40.00 -44.21 0.5 0.5
50.00 40.00 -44.37 0.5 0.5
55.00 40.00 -44.60 0.5 0.5
60.00 40.00 -44.92 0.5 0.5
65.00 40.00 -45.37 0.5 0.5
70.00 40.00 -46.04 0.5 0.5
75.00 40.00 -47.11 0.5 0.5
80.00 40.00 -48.97 0.5 0.5
85.00 40.00 -53.08 0.5 0.5
90.00 40.00 -999.99 0.5 0.5
0.00 50.00 -42.67 0.0 1.0
5.00 50.00 -42.64 0.0 1.0
10.00 50.00 -42.61 0.0 1.0
15.00 50.00 -42.60 0.0 1.0
20.00 50.00 -42.60 0.0 1.0
25.00 50.00 -42.62 0.0 1.0
30.00 50.00 -42.67 0.0 1.0
35.00 50.00 -42.73 0.0 1.0
40.00 50.00 -42.82 0.0 1.0
45.00 50.00 -42.95 0.5 0.5
50.00 50.00 -43.13 0.5 0.5
55.00 50.00 -43.36 0.5 0.5
60.00 50.00 -43.69 0.5 0.5
65.00 50.00 -44.16 0.5 0.5
70.00 50.00 -44.84 0.5 0.5
75.00 50.00 -45.90 0.5 0.5
80.00 50.00 -47.77 0.5 0.5
85.00 50.00 -51.88 0.5 0.5
90.00 50.00 -999.99 0.5 0.5
0.00 60.00 -41.66 0.0 1.0
5.00 60.00 -41.64 0.0 1.0
10.00 60.00 -41.64 0.0 1.0
15.00 60.00 -41.64 0.0 1.0
20.00 60.00 -41.66 0.0 1.0
25.00 60.00 -41.70 0.0 1.0
30.00 60.00 -41.75 0.0 1.0
35.00 60.00 -41.83 0.0 1.0
40.00 60.00 -41.93 0.0 1.0
45.00 60.00 -42.07 0.5 0.5
50.00 60.00 -42.26 0.5 0.5
55.00 60.00 -42.51 0.5 0.5
60.00 60.00 -42.84 0.5 0.5
65.00 60.00 -43.31 0.5 0.5
70.00 60.00 -44.00 0.5 0.5
75.00 60.00 -45.07 0.5 0.5
80.00 60.00 -46.94 0.5 0.5
85.00 60.00 -51.05 0.5 0.5
90.00 60.00 -999.99 0.5 0.5
0.00 70.00 -41.00 0.0 1.0
5.00 70.00 -40.99 0.0 1.0
10.00 70.00 -40.99 0.0 1.0
15.00 70.00 -41.01 0.0 1.0
20.00 70.00 -41.04 0.0 1.0
25.00 70.00 -41.09 0.0 1.0
30.00 70.00 -41.15 0.0 1.0
35.00 70.00 -41.24 0.0 1.0
40.00 70.00 -41.35 0.0 1.0
45.00 70.00 -41.50 0.5 0.5
50.00 70.00 -41.70 0.5 0.5
55.00 70.00 -41.95 0.5 0.5
60.00 70.00 -42.29 0.5 0.5
65.00 70.00 -42.77 0.5 0.5
