# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 28.850 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -31.86 0.0 1.0
5.00 0.00 -31.89 0.0 1.0
10.00 0.00 -31.96 0.0 1.0
15.00 0.00 -32.09 0.0 1.0
20.00 0.00 -32.26 0.0 1.0
25.00 0.00 -32.50 0.0 1.0
30.00 0.00 -32.80 0.0 1.0
35.00 0.00 -33.17 0.0 1.0
40.00 0.00 -33.63 0.0 1.0
45.00 0.00 -34.19 0.5 0.5
50.00 0.00 -34.86 0.5 0.5
55.00 0.00 -35.69 0.5 0.5
60.00 0.00 -36.71 0.5 0.5
65.00 0.00 -37.98 0.5 0.5
70.00 0.00 -39.61 0.5 0.5
75.00 0.00 -41.81 0.5 0.5
80.00 0.00 -45.04 0.5 0.5
85.00 0.00 -50.75 0.5 0.5
0.00 10.00 -31.86 0.0 1.0
5.00 10.00 -31.88 0.0 1.0
10.00 10.00 -31.95 0.0 1.0
15.00 10.00 -32.07 0.0 1.0
20.00 10.00 -32.24 0.0 1.0
25.00 10.00 -32.46 0.0 1.0
30.00 10.00 -32.75 0.0 1.0
35.00 10.00 -33.10 0.0 1.0
40.00 10.00 -33.53 0.0 1.0
45.00 10.00 -34.05 0.5 0.5
50.00 10.00 -34.69 0.5 0.5
55.00 10.00 -35.46 0.5 0.5
60.00 10.00 -36.40 0.5 0.5
65.00 10.00 -37.58 0.5 0.5
70.00 10.00 -39.09 0.5 0.5
75.00 10.00 -41.12 0.5 0.5
80.00 10.00 -44.12 0.5 0.5
85.00 10.00 -49.52 0.5 0.5
0.00 20.00 -31.86 0.0 1.0
5.00 20.00 -31.88 0.0 1.0
10.00 20.00 -31.94 0.0 1.0
15.00 20.00 -32.05 0.0 1.0
20.00 20.00 -32.20 0.0 1.0
25.00 20.00 -32.41 0.0 1.0
30.00 20.00 -32.67 0.0 1.0
35.00 20.00 -32.98 0.0 1.0
40.00 20.00 -33.37 0.0 1.0
45.00 20.00 -33.84 0.5 0.5
50.00 20.00 -34.41 0.5 0.5
55.00 20.00 -35.10 0.5 0.5
60.00 20.00 -35.94 0.5 0.5
65.00 20.00 -36.99 0.5 0.5
70.00 20.00 -38.34 0.5 0.5
75.00 20.00 -40.17 0.5 0.5
80.00 20.00 -42.92 0.5 0.5
85.00 20.00 -48.03 0.5 0.5
0.00 30.00 -31.86 0.0 1.0
5.00 30.00 -31.87 0.0 1.0
10.00 30.00 -31.93 0.0 1.0
15.00 30.00 -32.02 0.0 1.0
20.00 30.00 -32.16 0.0 1.0
25.00 30.00 -32.34 0.0 1.0
30.00 30.00 -32.56 0.0 1.0
35.00 30.00 -32.84 0.0 1.0
40.00 30.00 -33.18 0.0 1.0
45.00 30.00 -33.59 0.5 0.5
50.00 30.00 -34.09 0.5 0.5
55.00 30.00 -34.69 0.5 0.5
60.00 30.00 -35.42 0.5 0.5
65.00 30.00 -36.35 0.5 0.5
70.00 30.00 -37.55 0.5 0.5
75.00 30.00 -39.21 0.5 0.5
80.00 30.00 -41.77 0.5 0.5
85.00 30.00 -46.66 0.5 0.5
0.00 40.00 -31.86 0.0 1.0
5.00 40.00 -31.87 0.0 1.0
10.00 40.00 -31.91 0.0 1.0
15.00 40.00 -31.99 0.0 1.0
20.00 40.00 -32.11 0.0 1.0
25.00 40.00 -32.26 0.0 1.0
30.00 40.00 -32.45 0.0 1.0
35.00 40.00 -32.69 0.0 1.0
40.00 40.00 -32.98 0.0 1.0
45.00 40.00 -33.34 0.5 0.5
50.00 40.00 -33.76 0.5 0.5
55.00 40.00 -34.28 0.5 0.5
60.00 40.00 -34.93 0.5 0.5
65.00 40.00 -35.74 0.5 0.5
70.00 40.00 -36.83 0.5 0.5
75.00 40.00 -38.36 0.5 0.5
80.00 40.00 -40.79 0.5 0.5
85.00 40.00 -45.55 0.5 0.5
0.00 50.00 -31.86 0.0 1.0
5.00 50.00 -31.86 0.0 1.0
10.00 50.00 -31.90 0.0 1.0
15.00 50.00 -31.96 0.0 1.0
20.00 50.00 -32.06 0.0 1.0
25.00 50.00 -32.19 0.0 1.0
30.00 50.00 -32.35 0.0 1.0
35.00 50.00 -32.55 0.0 1.0
40.00 50.00 -32.80 0.0 1.0
45.00 50.00 -33.10 0.5 0.5
50.00 50.00 -33.47 0.5 0.5
55.00 50.00 -33.92 0.5 0.5
60.00 50.00 -34.50 0.5 0.5
65.00 50.00 -35.24 0.5 0.5
70.00 50.00 -36.24 0.5 0.5
75.00 50.00 -37.68 0.5 0.5
80.00 50.00 -40.02 0.5 0.5
85.00 50.00 -44.70 0.5 0.5
0.00 60.00 -31.86 0.0 1.0
5.00 60.00 -31.86 0.0 1.0
10.00 60.00 -31.88 0.0 1.0
15.00 60.00 -31.93 0.0 1.0
20.00 60.00 -32.01 0.0 1.0
25.00 60.00 -32.12 0.0 1.0
30.00 60.00 -32.26 0.0 1.0
