# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 144.5 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -5.10 0.0 1.0
5.00 0.00 -7.66 0.0 1.0
10.00 0.00 -11.02 0.0 1.0
15.00 0.00 -10.85 0.0 1.0
20.00 0.00 -7.56 0.0 1.0
25.00 0.00 -5.47 0.0 1.0
30.00 0.00 -5.16 0.0 1.0
35.00 0.00 -7.03 0.0 1.0
40.00 0.00 -12.17 0.0 1.0
45.00 0.00 -14.80 0.5 0.5
50.00 0.00 -9.31 0.5 0.5
55.00 0.00 -7.72 0.5 0.5
60.00 0.00 -9.43 0.5 0.5
65.00 0.00 -14.30 0.5 0.5
70.00 0.00 -16.69 0.5 0.5
75.00 0.00 -14.96 0.5 0.5
80.00 0.00 -16.25 0.5 0.5
85.00 0.00 -14.12 0.5 0.5
90.00 0.00 -8.86 0.5 0.5
95.00 0.00 -5.73 0.5 0.5
100.00 0.00 -4.37 0.5 0.5
105.00 0.00 -4.21 0.5 0.5
110.00 0.00 -4.79 0.5 0.5
115.00 0.00 -5.53 0.5 0.5
120.00 0.00 -5.73 0.5 0.5
125.00 0.00 -5.10 0.5 0.5
130.00 0.00 -4.02 0.5 0.5
135.00 0.00 -2.89 0.5 0.5
140.00 0.00 -1.89 1.0 0.0
145.00 0.00 -1.05 1.0 0.0
150.00 0.00 -0.41 1.0 0.0
155.00 0.00 -0.02 1.0 0.0
160.00 0.00 0.02 1.0 0.0
165.00 0.00 -0.40 1.0 0.0
170.00 0.00 -1.43 1.0 0.0
175.00 0.00 -3.08 1.0 0.0
180.00 0.00 -4.53 1.0 0.0
0.00 10.00 -5.10 0.0 1.0
5.00 10.00 -7.60 0.0 1.0
10.00 10.00 -10.87 0.0 1.0
15.00 10.00 -10.78 0.0 1.0
20.00 10.00 -7.50 0.0 1.0
25.00 10.00 -5.32 0.0 1.0
30.00 10.00 -4.87 0.0 1.0
35.00 10.00 -6.46 0.0 1.0
40.00 10.00 -10.90 0.0 1.0
45.00 10.00 -13.70 0.5 0.5
50.00 10.00 -8.84 0.5 0.5
55.00 10.00 -6.95 0.5 0.5
60.00 10.00 -8.03 0.5 0.5
65.00 10.00 -11.48 0.5 0.5
70.00 10.00 -13.62 0.5 0.5
75.00 10.00 -12.29 0.5 0.5
80.00 10.00 -11.93 0.5 0.5
85.00 10.00 -10.93 0.5 0.5
90.00 10.00 -7.93 0.5 0.5
95.00 10.00 -5.39 0.5 0.5
100.00 10.00 -4.08 0.5 0.5
105.00 10.00 -3.83 0.5 0.5
110.00 10.00 -4.29 0.5 0.5
115.00 10.00 -4.97 0.5 0.5
120.00 10.00 -5.26 0.5 0.5
125.00 10.00 -4.83 0.5 0.5
130.00 10.00 -3.91 0.5 0.5
135.00 10.00 -2.86 0.5 0.5
140.00 10.00 -1.89 1.0 0.0
145.00 10.00 -1.08 1.0 0.0
150.00 10.00 -0.46 1.0 0.0
155.00 10.00 -0.09 1.0 0.0
160.00 10.00 -0.06 1.0 0.0
165.00 10.00 -0.49 1.0 0.0
170.00 10.00 -1.51 1.0 0.0
175.00 10.00 -3.12 1.0 0.0
180.00 10.00 -4.53 1.0 0.0
0.00 20.00 -5.10 0.0 1.0
5.00 20.00 -7.44 0.0 1.0
10.00 20.00 -10.46 0.0 1.0
15.00 20.00 -10.65 0.0 1.0
20.00 20.00 -7.55 0.0 1.0
25.00 20.00 -5.20 0.0 1.0
30.00 20.00 -4.39 0.0 1.0
35.00 20.00 -5.32 0.0 1.0
40.00 20.00 -8.28 0.0 1.0
45.00 20.00 -10.97 0.5 0.5
50.00 20.00 -8.10 0.5 0.5
55.00 20.00 -5.88 0.5 0.5
60.00 20.00 -5.99 0.5 0.5
65.00 20.00 -7.85 0.5 0.5
70.00 20.00 -9.33 0.5 0.5
75.00 20.00 -8.55 0.5 0.5
80.00 20.00 -7.73 0.5 0.5
85.00 20.00 -7.46 0.5 0.5
90.00 20.00 -6.58 0.5 0.5
95.00 20.00 -4.98 0.5 0.5
100.00 20.00 -3.63 0.5 0.5
105.00 20.00 -2.95 0.5 0.5
110.00 20.00 -2.87 0.5 0.5
115.00 20.00 -3.11 0.5 0.5
120.00 20.00 -3.33 0.5 0.5
125.00 20.00 -3.24 0.5 0.5
130.00 20.00 -2.81 0.5 0.5
135.00 20.00 -2.17 0.5 0.5
140.00 20.00 -1.48 1.0 0.0
145.00 20.00 -0.86 1.0 0.0
150.00 20.00 -0.39 1.0 0.0
155.00 20.00 -0.13 1.0 0.0
160.00 20.00 -0.18 1.0 0.0
165.00 20.00 -0.66 1.0 0.0
170.00 20.00 -1.68 1.0 0.0
175.00 20.00 -3.22 1.0 0.0
180.00 20.00 -4.53 1.0 0.0
0.00 30.00 -5.10 0.0 1.0
5.00 30.00 -7.19 0.0 1.0
10.00 30.00 -9.83 0.0 1.0
15.00 30.00 -10.38 0.0 1.0
20.00 30.00 -7.71 0.0 1.0
25.00 30.00 -5.21 0.0 1.0
30.00 30.00 -3.94 0.0 1.0
35.00 30.00 -4.09 0.0 1.0
40.00 30.00 -5.74 0.0 1.0
45.00 30.00 -8.01 0.5 0.5
50.00 30.00 -7.32 0.5 0.5
55.00 30.00 -5.12 0.5 0.5
60.00 30.00 -4.33 0.5 0.5
65.00 30.00 -5.10 0.5 0.5
70.00 30.00 -6.34 0.5 0.5
75.00 30.00 -6.23 0.5 0.5
80.00 30.00 -5.27 0.5 0.5
85.00 30.00 -4.78 0.5 0.5
90.00 30.00 -4.71 0.5 0.5
95.00 30.00 -4.34 0.5 0.5
100.00 30.00 -3.47 0.5 0.5
105.00 30.00 -2.57 0.5 0.5
110.00 30.00 -1.99 0.5 0.5
115.00 30.00 -1.74 0.5 0.5
120.00 30.00 -1.68 0.5 0.5
125.00 30.00 -1.64 0.5 0.5
130.00 30.00 -1.50 0.5 0.5
135.00 30.00 -1.23 0.5 0.5
140.00 30.00 -0.88 1.0 0.0
145.00 30.00 -0.54 1.0 0.0
150.00 30.00 -0.29 1.0 0.0
155.00 30.00 -0.21 1.0 0.0
160.00 30.00 -0.39 1.0 0.0
165.00 30.00 -0.94 1.0 0.0
170.00 30.00 -1.95 1.0 0.0
175.00 30.00 -3.38 1.0 0.0
180.00 30.00 -4.53 1.0 0.0
0.00 40.00 -5.10 0.0 1.0
5.00 40.00 -6.87 0.0 1.0
10.00 40.00 -9.03 0.0 1.0
