# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 144.5 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 130.29 0.0 1.0
5.00 0.00 133.73 0.0 1.0
10.00 0.00 138.65 0.0 1.0
15.00 0.00 139.25 0.0 1.0
20.00 0.00 137.14 0.0 1.0
25.00 0.00 135.67 0.0 1.0
30.00 0.00 142.78 0.0 1.0
35.00 0.00 147.81 0.0 1.0
40.00 0.00 150.47 0.0 1.0
45.00 0.00 151.51 0.5 0.5
50.00 0.00 151.44 0.5 0.5
55.00 0.00 150.64 0.5 0.5
60.00 0.00 149.45 0.5 0.5
65.00 0.00 148.11 0.5 0.5
70.00 0.00 146.59 0.5 0.5
75.00 0.00 144.55 0.5 0.5
80.00 0.00 141.40 0.5 0.5
85.00 0.00 135.50 0.5 0.5
90.00 0.00 115.64 0.5 0.5
95.00 0.00 136.67 0.5 0.5
100.00 0.00 142.49 0.5 0.5
105.00 0.00 145.93 0.5 0.5
110.00 0.00 148.33 0.5 0.5
115.00 0.00 150.01 0.5 0.5
120.00 0.00 150.95 0.5 0.5
125.00 0.00 150.93 0.5 0.5
130.00 0.00 149.47 0.5 0.5
135.00 0.00 145.63 0.5 0.5
140.00 0.00 138.94 1.0 0.0
145.00 0.00 143.24 1.0 0.0
150.00 0.00 146.87 1.0 0.0
155.00 0.00 147.39 1.0 0.0
160.00 0.00 145.79 1.0 0.0
165.00 0.00 142.06 1.0 0.0
170.00 0.00 133.87 1.0 0.0
175.00 0.00 121.60 1.0 0.0
180.00 0.00 130.26 1.0 0.0
0.00 10.00 130.29 0.0 1.0
5.00 10.00 133.64 0.0 1.0
10.00 10.00 138.81 0.0 1.0
15.00 10.00 139.59 0.0 1.0
20.00 10.00 138.35 0.0 1.0
25.00 10.00 138.85 0.0 1.0
30.00 10.00 143.71 0.0 1.0
35.00 10.00 148.14 0.0 1.0
40.00 10.00 151.02 0.0 1.0
45.00 10.00 152.62 0.5 0.5
50.00 10.00 153.23 0.5 0.5
55.00 10.00 153.09 0.5 0.5
60.00 10.00 152.40 0.5 0.5
65.00 10.00 151.30 0.5 0.5
70.00 10.00 149.90 0.5 0.5
75.00 10.00 148.23 0.5 0.5
80.00 10.00 146.38 0.5 0.5
85.00 10.00 144.80 0.5 0.5
90.00 10.00 144.52 0.5 0.5
95.00 10.00 145.99 0.5 0.5
100.00 10.00 148.14 0.5 0.5
105.00 10.00 150.15 0.5 0.5
110.00 10.00 151.71 0.5 0.5
115.00 10.00 152.69 0.5 0.5
120.00 10.00 152.91 0.5 0.5
125.00 10.00 152.14 0.5 0.5
130.00 10.00 149.98 0.5 0.5
135.00 10.00 145.96 0.5 0.5
140.00 10.00 143.07 1.0 0.0
145.00 10.00 146.05 1.0 0.0
150.00 10.00 147.99 1.0 0.0
155.00 10.00 147.92 1.0 0.0
160.00 10.00 146.13 1.0 0.0
165.00 10.00 142.26 1.0 0.0
170.00 10.00 133.74 1.0 0.0
175.00 10.00 122.48 1.0 0.0
180.00 10.00 130.26 1.0 0.0
0.00 20.00 130.29 0.0 1.0
5.00 20.00 133.27 0.0 1.0
10.00 20.00 138.87 0.0 1.0
15.00 20.00 140.10 0.0 1.0
20.00 20.00 139.55 0.0 1.0
25.00 20.00 140.73 0.0 1.0
30.00 20.00 144.46 0.0 1.0
35.00 20.00 148.06 0.0 1.0
40.00 20.00 150.77 0.0 1.0
45.00 20.00 152.63 0.5 0.5
50.00 20.00 153.76 0.5 0.5
55.00 20.00 154.29 0.5 0.5
60.00 20.00 154.34 0.5 0.5
65.00 20.00 154.03 0.5 0.5
70.00 20.00 153.49 0.5 0.5
75.00 20.00 152.84 0.5 0.5
80.00 20.00 152.26 0.5 0.5
85.00 20.00 151.93 0.5 0.5
90.00 20.00 151.98 0.5 0.5
95.00 20.00 152.42 0.5 0.5
100.00 20.00 153.09 0.5 0.5
105.00 20.00 153.74 0.5 0.5
110.00 20.00 154.16 0.5 0.5
115.00 20.00 154.14 0.5 0.5
120.00 20.00 153.46 0.5 0.5
125.00 20.00 151.89 0.5 0.5
130.00 20.00 149.31 0.5 0.5
135.00 20.00 146.63 0.5 0.5
140.00 20.00 146.74 1.0 0.0
145.00 20.00 148.32 1.0 0.0
150.00 20.00 148.96 1.0 0.0
155.00 20.00 148.32 1.0 0.0
160.00 20.00 146.24 1.0 0.0
165.00 20.00 142.00 1.0 0.0
170.00 20.00 132.81 1.0 0.0
175.00 20.00 123.89 1.0 0.0
180.00 20.00 130.26 1.0 0.0
0.00 30.00 130.29 0.0 1.0
5.00 30.00 132.59 0.0 1.0
10.00 30.00 138.72 0.0 1.0
15.00 30.00 140.66 0.0 1.0
20.00 30.00 140.67 0.0 1.0
25.00 30.00 141.58 0.0 1.0
30.00 30.00 144.69 0.0 1.0
35.00 30.00 147.81 0.0 1.0
40.00 30.00 150.12 0.0 1.0
45.00 30.00 151.73 0.5 0.5
50.00 30.00 152.83 0.5 0.5
55.00 30.00 153.55 0.5 0.5
60.00 30.00 153.99 0.5 0.5
65.00 30.00 154.20 0.5 0.5
70.00 30.00 154.26 0.5 0.5
75.00 30.00 154.23 0.5 0.5
80.00 30.00 154.17 0.5 0.5
85.00 30.00 154.13 0.5 0.5
90.00 30.00 154.15 0.5 0.5
95.00 30.00 154.20 0.5 0.5
100.00 30.00 154.22 0.5 0.5
105.00 30.00 154.11 0.5 0.5
110.00 30.00 153.74 0.5 0.5
115.00 30.00 152.98 0.5 0.5
120.00 30.00 151.77 0.5 0.5
125.00 30.00 150.18 0.5 0.5
130.00 30.00 148.81 0.5 0.5
135.00 30.00 148.56 0.5 0.5
140.00 30.00 149.20 1.0 0.0
145.00 30.00 149.73 1.0 0.0
150.00 30.00 149.57 1.0 0.0
155.00 30.00 148.44 1.0 0.0
160.00 30.00 145.92 1.0 0.0
165.00 30.00 141.09 1.0 0.0
170.00 30.00 130.84 1.0 0.0
175.00 30.00 125.46 1.0 0.0
180.00 30.00 130.26 1.0 0.0
