# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 144 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 124.37 0.0 1.0
5.00 0.00 129.93 0.0 1.0
10.00 0.00 139.52 0.0 1.0
15.00 0.00 140.01 0.0 1.0
20.00 0.00 135.06 0.0 1.0
25.00 0.00 142.50 0.0 1.0
30.00 0.00 141.05 0.0 1.0
35.00 0.00 123.09 0.0 1.0
40.00 0.00 140.74 0.0 1.0
45.00 0.00 139.36 0.5 0.5
50.00 0.00 128.49 0.5 0.5
55.00 0.00 144.58 0.5 0.5
60.00 0.00 148.55 0.5 0.5
65.00 0.00 149.40 0.5 0.5
70.00 0.00 148.42 0.5 0.5
75.00 0.00 145.97 0.5 0.5
80.00 0.00 141.77 0.5 0.5
85.00 0.00 133.34 0.5 0.5
90.00 0.00 128.69 0.5 0.5
95.00 0.00 139.62 0.5 0.5
100.00 0.00 144.05 0.5 0.5
105.00 0.00 146.47 0.5 0.5
110.00 0.00 147.41 0.5 0.5
115.00 0.00 146.61 0.5 0.5
120.00 0.00 143.19 0.5 0.5
125.00 0.00 137.66 0.5 0.5
130.00 0.00 140.31 0.5 0.5
135.00 0.00 139.76 0.5 0.5
140.00 0.00 128.12 1.0 0.0
145.00 0.00 139.08 1.0 0.0
150.00 0.00 138.66 1.0 0.0
155.00 0.00 126.49 1.0 0.0
160.00 0.00 139.59 1.0 0.0
165.00 0.00 137.77 1.0 0.0
170.00 0.00 132.07 1.0 0.0
175.00 0.00 130.02 1.0 0.0
180.00 0.00 121.65 1.0 0.0
0.00 10.00 124.37 0.0 1.0
5.00 10.00 129.48 0.0 1.0
10.00 10.00 138.86 0.0 1.0
15.00 10.00 139.41 0.0 1.0
20.00 10.00 133.77 0.0 1.0
25.00 10.00 140.78 0.0 1.0
30.00 10.00 139.25 0.0 1.0
35.00 10.00 130.49 0.0 1.0
40.00 10.00 138.85 0.0 1.0
45.00 10.00 135.43 0.5 0.5
50.00 10.00 133.46 0.5 0.5
55.00 10.00 143.52 0.5 0.5
60.00 10.00 146.26 0.5 0.5
65.00 10.00 146.24 0.5 0.5
70.00 10.00 144.53 0.5 0.5
75.00 10.00 141.68 0.5 0.5
80.00 10.00 138.34 0.5 0.5
85.00 10.00 136.18 0.5 0.5
90.00 10.00 136.69 0.5 0.5
95.00 10.00 138.49 0.5 0.5
100.00 10.00 140.31 0.5 0.5
105.00 10.00 141.65 0.5 0.5
110.00 10.00 142.06 0.5 0.5
115.00 10.00 140.83 0.5 0.5
120.00 10.00 137.47 0.5 0.5
125.00 10.00 137.69 0.5 0.5
130.00 10.00 140.94 0.5 0.5
135.00 10.00 139.60 0.5 0.5
140.00 10.00 124.06 1.0 0.0
145.00 10.00 136.51 1.0 0.0
150.00 10.00 137.01 1.0 0.0
155.00 10.00 115.03 1.0 0.0
160.00 10.00 136.77 1.0 0.0
165.00 10.00 135.14 1.0 0.0
170.00 10.00 132.11 1.0 0.0
175.00 10.00 130.28 1.0 0.0
180.00 10.00 121.65 1.0 0.0
0.00 20.00 124.37 0.0 1.0
5.00 20.00 128.64 0.0 1.0
10.00 20.00 137.79 0.0 1.0
15.00 20.00 138.93 0.0 1.0
20.00 20.00 132.84 0.0 1.0
25.00 20.00 137.34 0.0 1.0
30.00 20.00 136.25 0.0 1.0
35.00 20.00 130.68 0.0 1.0
40.00 20.00 136.84 0.0 1.0
45.00 20.00 133.53 0.5 0.5
50.00 20.00 130.20 0.5 0.5
55.00 20.00 139.52 0.5 0.5
