# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 1.8 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -84.42 0.0 1.0
5.00 0.00 -84.51 0.0 1.0
10.00 0.00 -84.60 0.0 1.0
15.00 0.00 -84.70 0.0 1.0
20.00 0.00 -84.79 0.0 1.0
25.00 0.00 -84.89 0.0 1.0
30.00 0.00 -84.99 0.0 1.0
35.00 0.00 -85.09 0.0 1.0
40.00 0.00 -85.19 0.0 1.0
45.00 0.00 -85.31 0.5 0.5
50.00 0.00 -85.43 0.5 0.5
55.00 0.00 -85.57 0.5 0.5
60.00 0.00 -85.75 0.5 0.5
65.00 0.00 -85.97 0.5 0.5
70.00 0.00 -86.29 0.5 0.5
75.00 0.00 -86.79 0.5 0.5
80.00 0.00 -87.72 0.5 0.5
85.00 0.00 -90.15 0.5 0.5
90.00 0.00 -999.99 0.5 0.5
0.00 10.00 -73.04 0.0 1.0
5.00 10.00 -73.04 0.0 1.0
10.00 10.00 -73.05 0.0 1.0
15.00 10.00 -73.06 0.0 1.0
20.00 10.00 -73.07 0.0 1.0
25.00 10.00 -73.09 0.0 1.0
30.00 10.00 -73.12 0.0 1.0
35.00 10.00 -73.15 0.0 1.0
40.00 10.00 -73.20 0.0 1.0
45.00 10.00 -73.26 0.5 0.5
50.00 10.00 -73.33 0.5 0.5
55.00 10.00 -73.43 0.5 0.5
60.00 10.00 -73.57 0.5 0.5
65.00 10.00 -73.76 0.5 0.5
70.00 10.00 -74.05 0.5 0.5
75.00 10.00 -74.53 0.5 0.5
80.00 10.00 -75.45 0.5 0.5
85.00 10.00 -77.86 0.5 0.5
90.00 10.00 -999.99 0.5 0.5
0.00 20.00 -68.22 0.0 1.0
5.00 20.00 -68.22 0.0 1.0
10.00 20.00 -68.22 0.0 1.0
15.00 20.00 -68.23 0.0 1.0
20.00 20.00 -68.24 0.0 1.0
25.00 20.00 -68.26 0.0 1.0
30.00 20.00 -68.29 0.0 1.0
35.00 20.00 -68.32 0.0 1.0
40.00 20.00 -68.37 0.0 1.0
45.00 20.00 -68.42 0.5 0.5
50.00 20.00 -68.50 0.5 0.5
