# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 14.175 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -35.25 0.0 1.0
5.00 0.00 -35.27 0.0 1.0
10.00 0.00 -35.35 0.0 1.0
15.00 0.00 -35.49 0.0 1.0
20.00 0.00 -35.68 0.0 1.0
25.00 0.00 -35.94 0.0 1.0
30.00 0.00 -36.27 0.0 1.0
35.00 0.00 -36.68 0.0 1.0
40.00 0.00 -37.17 0.0 1.0
45.00 0.00 -37.77 0.5 0.5
50.00 0.00 -38.49 0.5 0.5
55.00 0.00 -39.37 0.5 0.5
60.00 0.00 -40.44 0.5 0.5
65.00 0.00 -41.78 0.5 0.5
70.00 0.00 -43.48 0.5 0.5
75.00 0.00 -45.75 0.5 0.5
80.00 0.00 -49.06 0.5 0.5
85.00 0.00 -54.86 0.5 0.5
0.00 10.00 -35.25 0.0 1.0
5.00 10.00 -35.27 0.0 1.0
10.00 10.00 -35.34 0.0 1.0
15.00 10.00 -35.46 0.0 1.0
20.00 10.00 -35.65 0.0 1.0
25.00 10.00 -35.89 0.0 1.0
30.00 10.00 -36.20 0.0 1.0
35.00 10.00 -36.59 0.0 1.0
40.00 10.00 -37.06 0.0 1.0
45.00 10.00 -37.62 0.5 0.5
50.00 10.00 -38.31 0.5 0.5
55.00 10.00 -39.13 0.5 0.5
60.00 10.00 -40.13 0.5 0.5
65.00 10.00 -41.37 0.5 0.5
70.00 10.00 -42.93 0.5 0.5
75.00 10.00 -45.01 0.5 0.5
80.00 10.00 -48.01 0.5 0.5
85.00 10.00 -53.35 0.5 0.5
0.00 20.00 -35.25 0.0 1.0
5.00 20.00 -35.26 0.0 1.0
10.00 20.00 -35.32 0.0 1.0
15.00 20.00 -35.43 0.0 1.0
20.00 20.00 -35.59 0.0 1.0
25.00 20.00 -35.81 0.0 1.0
30.00 20.00 -36.09 0.0 1.0
35.00 20.00 -36.44 0.0 1.0
40.00 20.00 -36.86 0.0 1.0
45.00 20.00 -37.36 0.5 0.5
50.00 20.00 -37.97 0.5 0.5
55.00 20.00 -38.69 0.5 0.5
60.00 20.00 -39.56 0.5 0.5
65.00 20.00 -40.63 0.5 0.5
70.00 20.00 -41.97 0.5 0.5
75.00 20.00 -43.75 0.5 0.5
80.00 20.00 -46.35 0.5 0.5
85.00 20.00 -51.18 0.5 0.5
0.00 30.00 -35.25 0.0 1.0
5.00 30.00 -35.25 0.0 1.0
10.00 30.00 -35.30 0.0 1.0
15.00 30.00 -35.39 0.0 1.0
20.00 30.00 -35.53 0.0 1.0
25.00 30.00 -35.71 0.0 1.0
30.00 30.00 -35.95 0.0 1.0
35.00 30.00 -36.24 0.0 1.0
40.00 30.00 -36.60 0.0 1.0
45.00 30.00 -37.03 0.5 0.5
50.00 30.00 -37.54 0.5 0.5
55.00 30.00 -38.14 0.5 0.5
60.00 30.00 -38.87 0.5 0.5
65.00 30.00 -39.76 0.5 0.5
70.00 30.00 -40.89 0.5 0.5
75.00 30.00 -42.41 0.5 0.5
80.00 30.00 -44.73 0.5 0.5
85.00 30.00 -49.25 0.5 0.5
0.00 40.00 -35.25 0.0 1.0
5.00 40.00 -35.24 0.0 1.0
10.00 40.00 -35.27 0.0 1.0
15.00 40.00 -35.34 0.0 1.0
20.00 40.00 -35.45 0.0 1.0
25.00 40.00 -35.60 0.0 1.0
30.00 40.00 -35.79 0.0 1.0
35.00 40.00 -36.03 0.0 1.0
40.00 40.00 -36.32 0.0 1.0
45.00 40.00 -36.67 0.5 0.5
50.00 40.00 -37.08 0.5 0.5
55.00 40.00 -37.58 0.5 0.5
60.00 40.00 -38.18 0.5 0.5
65.00 40.00 -38.92 0.5 0.5
70.00 40.00 -39.89 0.5 0.5
75.00 40.00 -41.24 0.5 0.5
80.00 40.00 -43.37 0.5 0.5
85.00 40.00 -47.71 0.5 0.5
0.00 50.00 -35.25 0.0 1.0
5.00 50.00 -35.23 0.0 1.0
10.00 50.00 -35.25 0.0 1.0
15.00 50.00 -35.30 0.0 1.0
20.00 50.00 -35.38 0.0 1.0
25.00 50.00 -35.49 0.0 1.0
30.00 50.00 -35.64 0.0 1.0
35.00 50.00 -35.83 0.0 1.0
40.00 50.00 -36.05 0.0 1.0
45.00 50.00 -36.33 0.5 0.5
50.00 50.00 -36.66 0.5 0.5
55.00 50.00 -37.07 0.5 0.5
60.00 50.00 -37.57 0.5 0.5
65.00 50.00 -38.20 0.5 0.5
70.00 50.00 -39.05 0.5 0.5
75.00 50.00 -40.28 0.5 0.5
80.00 50.00 -42.30 0.5 0.5
85.00 50.00 -46.54 0.5 0.5
0.00 60.00 -35.25 0.0 1.0
5.00 60.00 -35.23 0.0 1.0
10.00 60.00 -35.23 0.0 1.0
15.00 60.00 -35.26 0.0 1.0
20.00 60.00 -35.31 0.0 1.0
25.00 60.00 -35.40 0.0 1.0
30.00 60.00 -35.50 0.0 1.0
35.00 60.00 -35.64 0.0 1.0
40.00 60.00 -35.82 0.0 1.0
45.00 60.00 -36.04 0.5 0.5
50.00 60.00 -36.31 0.5 0.5
55.00 60.00 -36.64 0.5 0.5
60.00 60.00 -37.07 0.5 0.5
65.00 60.00 -37.63 0.5 0.5
70.00 60.00 -38.40 0.5 0.5
75.00 60.00 -39.56 0.5 0.5
80.00 60.00 -41.51 0.5 0.5
85.00 60.00 -45.69 0.5 0.5
0.00 70.00 -35.25 0.0 1.0
5.00 70.00 -35.22 0.0 1.0
10.00 70.00 -35.22 0.0 1.0
15.00 70.00 -35.23 0.0 1.0
20.00 70.00 -35.26 0.0 1.0
25.00 70.00 -35.32 0.0 1.0
30.00 70.00 -35.40 0.0 1.0
35.00 70.00 -35.51 0.0 1.0
40.00 70.00 -35.64 0.0 1.0
45.00 70.00 -35.82 0.5 0.5
50.00 70.00 -36.04 0.5 0.5
55.00 70.00 -36.33 0.5 0.5
60.00 70.00 -36.71 0.5 0.5
65.00 70.00 -37.22 0.5 0.5
70.00 70.00 -37.95 0.5 0.5
75.00 70.00 -39.06 0.5 0.5
80.00 70.00 -40.97 0.5 0.5
85.00 70.00 -45.11 0.5 0.5
0.00 80.00 -35.25 0.0 1.0
5.00 80.00 -35.22 0.0 1.0
10.00 80.00 -35.21 0.0 1.0
15.00 80.00 -35.21 0.0 1.0
20.00 80.00 -35.23 0.0 1.0
25.00 80.00 -35.27 0.0 1.0
30.00 80.00 -35.33 0.0 1.0
35.00 80.00 -35.42 0.0 1.0
40.00 80.00 -35.53 0.0 1.0
45.00 80.00 -35.68 0.5 0.5
50.00 80.00 -35.88 0.5 0.5
55.00 80.00 -36.14 0.5 0.5
60.00 80.00 -36.49 0.5 0.5
65.00 80.00 -36.98 0.5 0.5
70.00 80.00 -37.68 0.5 0.5
75.00 80.00 -38.76 0.5 0.5
80.00 80.00 -40.65 0.5 0.5
85.00 80.00 -44.77 0.5 0.5
0.00 90.00 -35.25 0.0 1.0
5.00 90.00 -35.22 0.0 1.0
10.00 90.00 -35.20 0.0 1.0
15.00 90.00 -35.20 0.0 1.0
20.00 90.00 -35.22 0.0 1.0
25.00 90.00 -35.26 0.0 1.0
30.00 90.00 -35.31 0.0 1.0
35.00 90.00 -35.39 0.0 1.0
40.00 90.00 -35.50 0.0 1.0
45.00 90.00 -35.64 0.5 0.5
50.00 90.00 -35.83 0.5 0.5
55.00 90.00 -36.08 0.5 0.5
60.00 90.00 -36.42 0.5 0.5
65.00 90.00 -36.90 0.5 0.5
70.00 90.00 -37.59 0.5 0.5
75.00 90.00 -38.67 0.5 0.5
80.00 90.00 -40.55 0.5 0.5
85.00 90.00 -44.67 0.5 0.5
0.00 100.00 -35.25 0.0 1.0
5.00 100.00 -35.22 0.0 1.0
10.00 100.00 -35.21 0.0 1.0
15.00 100.00 -35.21 0.0 1.0
20.00 100.00 -35.23 0.0 1.0
25.00 100.00 -35.27 0.0 1.0
