# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 18.1 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -83.83 0.0 1.0
5.00 0.00 -79.05 0.0 1.0
10.00 0.00 -75.42 0.0 1.0
15.00 0.00 -72.81 0.0 1.0
20.00 0.00 -70.86 0.0 1.0
25.00 0.00 -69.34 0.0 1.0
30.00 0.00 -68.13 0.0 1.0
35.00 0.00 -67.17 0.0 1.0
40.00 0.00 -66.41 0.0 1.0
45.00 0.00 -65.83 0.5 0.5
50.00 0.00 -65.41 0.5 0.5
55.00 0.00 -65.17 0.5 0.5
60.00 0.00 -65.11 0.5 0.5
65.00 0.00 -65.28 0.5 0.5
70.00 0.00 -65.75 0.5 0.5
75.00 0.00 -66.69 0.5 0.5
80.00 0.00 -68.54 0.5 0.5
85.00 0.00 -72.74 0.5 0.5
90.00 0.00 -999.99 0.5 0.5
0.00 10.00 -58.16 0.0 1.0
5.00 10.00 -58.03 0.0 1.0
10.00 10.00 -57.91 0.0 1.0
15.00 10.00 -57.79 0.0 1.0
20.00 10.00 -57.67 0.0 1.0
25.00 10.00 -57.57 0.0 1.0
30.00 10.00 -57.48 0.0 1.0
35.00 10.00 -57.42 0.0 1.0
40.00 10.00 -57.40 0.0 1.0
45.00 10.00 -57.42 0.5 0.5
50.00 10.00 -57.50 0.5 0.5
55.00 10.00 -57.67 0.5 0.5
60.00 10.00 -57.94 0.5 0.5
65.00 10.00 -58.37 0.5 0.5
70.00 10.00 -59.05 0.5 0.5
75.00 10.00 -60.15 0.5 0.5
80.00 10.00 -62.11 0.5 0.5
85.00 10.00 -66.37 0.5 0.5
90.00 10.00 -999.99 0.5 0.5
0.00 20.00 -52.11 0.0 1.0
5.00 20.00 -52.06 0.0 1.0
10.00 20.00 -52.03 0.0 1.0
15.00 20.00 -52.00 0.0 1.0
20.00 20.00 -51.99 0.0 1.0
25.00 20.00 -52.00 0.0 1.0
30.00 20.00 -52.02 0.0 1.0
35.00 20.00 -52.07 0.0 1.0
40.00 20.00 -52.15 0.0 1.0
45.00 20.00 -52.27 0.5 0.5
50.00 20.00 -52.45 0.5 0.5
55.00 20.00 -52.69 0.5 0.5
60.00 20.00 -53.03 0.5 0.5
65.00 20.00 -53.53 0.5 0.5
70.00 20.00 -54.26 0.5 0.5
75.00 20.00 -55.40 0.5 0.5
80.00 20.00 -57.39 0.5 0.5
85.00 20.00 -61.67 0.5 0.5
90.00 20.00 -999.99 0.5 0.5
0.00 30.00 -48.75 0.0 1.0
5.00 30.00 -48.73 0.0 1.0
10.00 30.00 -48.72 0.0 1.0
15.00 30.00 -48.72 0.0 1.0
20.00 30.00 -48.74 0.0 1.0
25.00 30.00 -48.78 0.0 1.0
30.00 30.00 -48.83 0.0 1.0
35.00 30.00 -48.91 0.0 1.0
40.00 30.00 -49.02 0.0 1.0
45.00 30.00 -49.17 0.5 0.5
50.00 30.00 -49.37 0.5 0.5
55.00 30.00 -49.64 0.5 0.5
60.00 30.00 -50.00 0.5 0.5
65.00 30.00 -50.52 0.5 0.5
70.00 30.00 -51.26 0.5 0.5
75.00 30.00 -52.42 0.5 0.5
80.00 30.00 -54.41 0.5 0.5
85.00 30.00 -58.70 0.5 0.5
90.00 30.00 -999.99 0.5 0.5
0.00 40.00 -46.54 0.0 1.0
5.00 40.00 -46.53 0.0 1.0
10.00 40.00 -46.53 0.0 1.0
15.00 40.00 -46.55 0.0 1.0
20.00 40.00 -46.58 0.0 1.0
25.00 40.00 -46.63 0.0 1.0
30.00 40.00 -46.70 0.0 1.0
35.00 40.00 -46.79 0.0 1.0
40.00 40.00 -46.91 0.0 1.0
45.00 40.00 -47.08 0.5 0.5
50.00 40.00 -47.29 0.5 0.5
55.00 40.00 -47.56 0.5 0.5
60.00 40.00 -47.94 0.5 0.5
