# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 52.000 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -29.83 0.0 1.0
5.00 0.00 -29.84 0.0 1.0
10.00 0.00 -29.90 0.0 1.0
15.00 0.00 -30.00 0.0 1.0
20.00 0.00 -30.15 0.0 1.0
25.00 0.00 -30.34 0.0 1.0
30.00 0.00 -30.60 0.0 1.0
35.00 0.00 -30.92 0.0 1.0
40.00 0.00 -31.32 0.0 1.0
45.00 0.00 -31.81 0.5 0.5
50.00 0.00 -32.42 0.5 0.5
55.00 0.00 -33.18 0.5 0.5
60.00 0.00 -34.12 0.5 0.5
65.00 0.00 -35.32 0.5 0.5
70.00 0.00 -36.88 0.5 0.5
75.00 0.00 -38.99 0.5 0.5
80.00 0.00 -42.13 0.5 0.5
85.00 0.00 -47.76 0.5 0.5
0.00 10.00 -29.83 0.0 1.0
5.00 10.00 -29.84 0.0 1.0
10.00 10.00 -29.90 0.0 1.0
15.00 10.00 -29.99 0.0 1.0
20.00 10.00 -30.13 0.0 1.0
25.00 10.00 -30.32 0.0 1.0
30.00 10.00 -30.57 0.0 1.0
35.00 10.00 -30.88 0.0 1.0
40.00 10.00 -31.26 0.0 1.0
45.00 10.00 -31.74 0.5 0.5
50.00 10.00 -32.32 0.5 0.5
55.00 10.00 -33.05 0.5 0.5
60.00 10.00 -33.95 0.5 0.5
65.00 10.00 -35.09 0.5 0.5
70.00 10.00 -36.58 0.5 0.5
75.00 10.00 -38.62 0.5 0.5
80.00 10.00 -41.65 0.5 0.5
85.00 10.00 -47.14 0.5 0.5
0.00 20.00 -29.83 0.0 1.0
5.00 20.00 -29.84 0.0 1.0
10.00 20.00 -29.89 0.0 1.0
15.00 20.00 -29.98 0.0 1.0
20.00 20.00 -30.11 0.0 1.0
25.00 20.00 -30.29 0.0 1.0
30.00 20.00 -30.52 0.0 1.0
35.00 20.00 -30.81 0.0 1.0
40.00 20.00 -31.17 0.0 1.0
45.00 20.00 -31.62 0.5 0.5
50.00 20.00 -32.17 0.5 0.5
55.00 20.00 -32.84 0.5 0.5
60.00 20.00 -33.69 0.5 0.5
