# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 0.136 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -2.65 0.0 1.0
5.00 0.00 -4.33 0.0 1.0
10.00 0.00 -6.43 0.0 1.0
15.00 0.00 -9.05 0.0 1.0
20.00 0.00 -12.28 0.0 1.0
25.00 0.00 -15.64 0.0 1.0
30.00 0.00 -16.77 0.0 1.0
35.00 0.00 -15.03 0.0 1.0
40.00 0.00 -13.07 0.0 1.0
45.00 0.00 -11.71 0.5 0.5
50.00 0.00 -10.97 0.5 0.5
55.00 0.00 -10.74 0.5 0.5
60.00 0.00 -10.99 0.5 0.5
65.00 0.00 -11.71 0.5 0.5
70.00 0.00 -12.98 0.5 0.5
75.00 0.00 -14.97 0.5 0.5
80.00 0.00 -18.13 0.5 0.5
85.00 0.00 -23.91 0.5 0.5
90.00 0.00 -999.99 0.5 0.5
95.00 0.00 -23.80 0.5 0.5
100.00 0.00 -17.90 0.5 0.5
105.00 0.00 -14.62 0.5 0.5
110.00 0.00 -12.49 0.5 0.5
115.00 0.00 -11.07 0.5 0.5
120.00 0.00 -10.18 0.5 0.5
125.00 0.00 -9.72 0.5 0.5
130.00 0.00 -9.68 0.5 0.5
135.00 0.00 -10.07 0.5 0.5
140.00 0.00 -10.95 1.0 0.0
145.00 0.00 -12.36 1.0 0.0
150.00 0.00 -14.21 1.0 0.0
155.00 0.00 -15.44 1.0 0.0
160.00 0.00 -14.07 1.0 0.0
165.00 0.00 -11.06 1.0 0.0
170.00 0.00 -8.19 1.0 0.0
175.00 0.00 -5.81 1.0 0.0
180.00 0.00 -3.91 1.0 0.0
0.00 10.00 -2.78 0.0 1.0
5.00 10.00 -4.39 0.0 1.0
10.00 10.00 -6.38 0.0 1.0
15.00 10.00 -8.83 0.0 1.0
20.00 10.00 -11.82 0.0 1.0
25.00 10.00 -15.06 0.0 1.0
30.00 10.00 -16.87 0.0 1.0
35.00 10.00 -15.85 0.0 1.0
40.00 10.00 -14.03 0.0 1.0
45.00 10.00 -12.66 0.5 0.5
50.00 10.00 -11.87 0.5 0.5
55.00 10.00 -11.60 0.5 0.5
60.00 10.00 -11.81 0.5 0.5
65.00 10.00 -12.51 0.5 0.5
70.00 10.00 -13.76 0.5 0.5
75.00 10.00 -15.73 0.5 0.5
80.00 10.00 -18.88 0.5 0.5
85.00 10.00 -24.65 0.5 0.5
90.00 10.00 -999.99 0.5 0.5
95.00 10.00 -24.53 0.5 0.5
100.00 10.00 -18.63 0.5 0.5
105.00 10.00 -15.35 0.5 0.5
110.00 10.00 -13.24 0.5 0.5
115.00 10.00 -11.83 0.5 0.5
120.00 10.00 -10.94 0.5 0.5
125.00 10.00 -10.50 0.5 0.5
130.00 10.00 -10.48 0.5 0.5
135.00 10.00 -10.90 0.5 0.5
140.00 10.00 -11.79 1.0 0.0
145.00 10.00 -13.18 1.0 0.0
150.00 10.00 -14.82 1.0 0.0
155.00 10.00 -15.46 1.0 0.0
160.00 10.00 -13.69 1.0 0.0
165.00 10.00 -10.80 1.0 0.0
170.00 10.00 -8.10 1.0 0.0
175.00 10.00 -5.86 1.0 0.0
180.00 10.00 -4.04 1.0 0.0
0.00 20.00 -3.19 0.0 1.0
5.00 20.00 -4.57 0.0 1.0
10.00 20.00 -6.24 0.0 1.0
15.00 20.00 -8.25 0.0 1.0
20.00 20.00 -10.61 0.0 1.0
25.00 20.00 -13.26 0.0 1.0
30.00 20.00 -15.75 0.0 1.0
35.00 20.00 -16.97 0.0 1.0
40.00 20.00 -16.55 0.0 1.0
45.00 20.00 -15.56 0.5 0.5
50.00 20.00 -14.78 0.5 0.5
55.00 20.00 -14.43 0.5 0.5
60.00 20.00 -14.55 0.5 0.5
65.00 20.00 -15.16 0.5 0.5
70.00 20.00 -16.34 0.5 0.5
75.00 20.00 -18.26 0.5 0.5
80.00 20.00 -21.37 0.5 0.5
85.00 20.00 -27.11 0.5 0.5
90.00 20.00 -999.99 0.5 0.5
95.00 20.00 -26.96 0.5 0.5
100.00 20.00 -21.06 0.5 0.5
105.00 20.00 -17.79 0.5 0.5
110.00 20.00 -15.69 0.5 0.5
115.00 20.00 -14.31 0.5 0.5
120.00 20.00 -13.46 0.5 0.5
125.00 20.00 -13.07 0.5 0.5
130.00 20.00 -13.09 0.5 0.5
135.00 20.00 -13.53 0.5 0.5
140.00 20.00 -14.33 1.0 0.0
145.00 20.00 -15.29 1.0 0.0
150.00 20.00 -15.71 1.0 0.0
155.00 20.00 -14.70 1.0 0.0
160.00 20.00 -12.51 1.0 0.0
165.00 20.00 -10.08 1.0 0.0
170.00 20.00 -7.88 1.0 0.0
175.00 20.00 -6.01 1.0 0.0
180.00 20.00 -4.45 1.0 0.0
0.00 30.00 -3.90 0.0 1.0
5.00 30.00 -4.91 0.0 1.0
10.00 30.00 -6.10 0.0 1.0
15.00 30.00 -7.46 0.0 1.0
20.00 30.00 -9.01 0.0 1.0
25.00 30.00 -10.71 0.0 1.0
30.00 30.00 -12.51 0.0 1.0
35.00 30.00 -14.29 0.0 1.0
40.00 30.00 -15.85 0.0 1.0
45.00 30.00 -17.01 0.5 0.5
50.00 30.00 -17.76 0.5 0.5
55.00 30.00 -18.30 0.5 0.5
60.00 30.00 -18.87 0.5 0.5
65.00 30.00 -19.69 0.5 0.5
70.00 30.00 -20.96 0.5 0.5
75.00 30.00 -22.90 0.5 0.5
80.00 30.00 -26.00 0.5 0.5
85.00 30.00 -31.72 0.5 0.5
90.00 30.00 -999.99 0.5 0.5
95.00 30.00 -31.54 0.5 0.5
100.00 30.00 -25.62 0.5 0.5
105.00 30.00 -22.33 0.5 0.5
110.00 30.00 -20.20 0.5 0.5
115.00 30.00 -18.77 0.5 0.5
120.00 30.00 -17.83 0.5 0.5
125.00 30.00 -17.23 0.5 0.5
130.00 30.00 -16.86 0.5 0.5
135.00 30.00 -16.55 0.5 0.5
140.00 30.00 -16.08 1.0 0.0
