# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 1.4600002 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
2.00 0.00 -33.56 0.0 1.0
4.00 0.00 -27.54 0.0 1.0
6.00 0.00 -24.03 0.0 1.0
8.00 0.00 -21.54 0.0 1.0
10.00 0.00 -19.62 0.0 1.0
12.00 0.00 -18.06 0.0 1.0
14.00 0.00 -16.74 0.0 1.0
16.00 0.00 -15.60 0.0 1.0
18.00 0.00 -14.61 0.0 1.0
20.00 0.00 -13.73 0.0 1.0
22.00 0.00 -12.93 0.0 1.0
24.00 0.00 -12.22 0.0 1.0
26.00 0.00 -11.57 0.0 1.0
28.00 0.00 -10.97 0.0 1.0
30.00 0.00 -10.42 0.0 1.0
32.00 0.00 -9.91 0.0 1.0
34.00 0.00 -9.44 0.0 1.0
36.00 0.00 -9.01 0.0 1.0
38.00 0.00 -8.60 0.0 1.0
40.00 0.00 -8.23 0.0 1.0
42.00 0.00 -7.88 0.0 1.0
44.00 0.00 -7.55 0.0 1.0
46.00 0.00 -7.25 0.5 0.5
48.00 0.00 -6.96 0.5 0.5
50.00 0.00 -6.70 0.5 0.5
52.00 0.00 -6.45 0.5 0.5
54.00 0.00 -6.22 0.5 0.5
56.00 0.00 -6.01 0.5 0.5
58.00 0.00 -5.81 0.5 0.5
60.00 0.00 -5.63 0.5 0.5
62.00 0.00 -5.46 0.5 0.5
64.00 0.00 -5.30 0.5 0.5
66.00 0.00 -5.16 0.5 0.5
68.00 0.00 -5.03 0.5 0.5
70.00 0.00 -4.92 0.5 0.5
72.00 0.00 -4.82 0.5 0.5
74.00 0.00 -4.73 0.5 0.5
76.00 0.00 -4.66 0.5 0.5
78.00 0.00 -4.60 0.5 0.5
80.00 0.00 -4.55 0.5 0.5
82.00 0.00 -4.52 0.5 0.5
84.00 0.00 -4.52 0.5 0.5
86.00 0.00 -4.57 0.5 0.5
88.00 0.00 -4.77 0.5 0.5
90.00 0.00 -178.13 0.5 0.5
2.00 1.00 -33.56 0.0 1.0
4.00 1.00 -27.54 0.0 1.0
6.00 1.00 -24.03 0.0 1.0
8.00 1.00 -21.54 0.0 1.0
10.00 1.00 -19.62 0.0 1.0
12.00 1.00 -18.06 0.0 1.0
14.00 1.00 -16.74 0.0 1.0
16.00 1.00 -15.60 0.0 1.0
18.00 1.00 -14.61 0.0 1.0
20.00 1.00 -13.73 0.0 1.0
22.00 1.00 -12.93 0.0 1.0
24.00 1.00 -12.22 0.0 1.0
26.00 1.00 -11.57 0.0 1.0
28.00 1.00 -10.97 0.0 1.0
30.00 1.00 -10.42 0.0 1.0
32.00 1.00 -9.91 0.0 1.0
34.00 1.00 -9.44 0.0 1.0
36.00 1.00 -9.01 0.0 1.0
38.00 1.00 -8.60 0.0 1.0
40.00 1.00 -8.23 0.0 1.0
42.00 1.00 -7.88 0.0 1.0
44.00 1.00 -7.55 0.0 1.0
46.00 1.00 -7.25 0.5 0.5
48.00 1.00 -6.96 0.5 0.5
50.00 1.00 -6.70 0.5 0.5
52.00 1.00 -6.45 0.5 0.5
54.00 1.00 -6.22 0.5 0.5
56.00 1.00 -6.01 0.5 0.5
58.00 1.00 -5.81 0.5 0.5
60.00 1.00 -5.63 0.5 0.5
62.00 1.00 -5.46 0.5 0.5
64.00 1.00 -5.30 0.5 0.5
66.00 1.00 -5.16 0.5 0.5
68.00 1.00 -5.03 0.5 0.5
70.00 1.00 -4.92 0.5 0.5
72.00 1.00 -4.82 0.5 0.5
74.00 1.00 -4.73 0.5 0.5
76.00 1.00 -4.66 0.5 0.5
78.00 1.00 -4.60 0.5 0.5
80.00 1.00 -4.55 0.5 0.5
82.00 1.00 -4.52 0.5 0.5
84.00 1.00 -4.52 0.5 0.5
86.00 1.00 -4.57 0.5 0.5
88.00 1.00 -4.77 0.5 0.5
90.00 1.00 -178.13 0.5 0.5
2.00 2.00 -33.56 0.0 1.0
4.00 2.00 -27.54 0.0 1.0
6.00 2.00 -24.03 0.0 1.0
8.00 2.00 -21.54 0.0 1.0
10.00 2.00 -19.62 0.0 1.0
12.00 2.00 -18.06 0.0 1.0
14.00 2.00 -16.74 0.0 1.0
16.00 2.00 -15.60 0.0 1.0
18.00 2.00 -14.61 0.0 1.0
20.00 2.00 -13.73 0.0 1.0
22.00 2.00 -12.93 0.0 1.0
24.00 2.00 -12.22 0.0 1.0
26.00 2.00 -11.57 0.0 1.0
28.00 2.00 -10.97 0.0 1.0
30.00 2.00 -10.42 0.0 1.0
32.00 2.00 -9.91 0.0 1.0
34.00 2.00 -9.44 0.0 1.0
36.00 2.00 -9.01 0.0 1.0
38.00 2.00 -8.60 0.0 1.0
40.00 2.00 -8.23 0.0 1.0
42.00 2.00 -7.88 0.0 1.0
44.00 2.00 -7.55 0.0 1.0
46.00 2.00 -7.25 0.5 0.5
48.00 2.00 -6.96 0.5 0.5
50.00 2.00 -6.70 0.5 0.5
52.00 2.00 -6.45 0.5 0.5
54.00 2.00 -6.22 0.5 0.5
56.00 2.00 -6.01 0.5 0.5
58.00 2.00 -5.81 0.5 0.5
60.00 2.00 -5.63 0.5 0.5
62.00 2.00 -5.46 0.5 0.5
64.00 2.00 -5.30 0.5 0.5
66.00 2.00 -5.16 0.5 0.5
68.00 2.00 -5.03 0.5 0.5
70.00 2.00 -4.92 0.5 0.5
72.00 2.00 -4.82 0.5 0.5
74.00 2.00 -4.73 0.5 0.5
76.00 2.00 -4.66 0.5 0.5
78.00 2.00 -4.60 0.5 0.5
80.00 2.00 -4.55 0.5 0.5
82.00 2.00 -4.52 0.5 0.5
84.00 2.00 -4.52 0.5 0.5
86.00 2.00 -4.57 0.5 0.5
88.00 2.00 -4.77 0.5 0.5
90.00 2.00 -178.13 0.5 0.5
2.00 3.00 -33.56 0.0 1.0
4.00 3.00 -27.54 0.0 1.0
6.00 3.00 -24.03 0.0 1.0
8.00 3.00 -21.54 0.0 1.0
10.00 3.00 -19.62 0.0 1.0
12.00 3.00 -18.06 0.0 1.0
14.00 3.00 -16.74 0.0 1.0
16.00 3.00 -15.60 0.0 1.0
18.00 3.00 -14.61 0.0 1.0
20.00 3.00 -13.73 0.0 1.0
22.00 3.00 -12.93 0.0 1.0
24.00 3.00 -12.22 0.0 1.0
