# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 14.0 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -21.73 0.0 1.0
2.00 0.00 -21.74 0.0 1.0
4.00 0.00 -21.75 0.0 1.0
6.00 0.00 -21.78 0.0 1.0
8.00 0.00 -21.82 0.0 1.0
10.00 0.00 -21.86 0.0 1.0
12.00 0.00 -21.92 0.0 1.0
14.00 0.00 -21.99 0.0 1.0
16.00 0.00 -22.07 0.0 1.0
18.00 0.00 -22.16 0.0 1.0
20.00 0.00 -22.26 0.0 1.0
22.00 0.00 -22.38 0.0 1.0
24.00 0.00 -22.50 0.0 1.0
26.00 0.00 -22.64 0.0 1.0
28.00 0.00 -22.80 0.0 1.0
30.00 0.00 -22.96 0.0 1.0
32.00 0.00 -23.14 0.0 1.0
34.00 0.00 -23.33 0.0 1.0
36.00 0.00 -23.54 0.0 1.0
38.00 0.00 -23.77 0.0 1.0
40.00 0.00 -24.01 0.0 1.0
42.00 0.00 -24.27 0.0 1.0
44.00 0.00 -24.55 0.0 1.0
46.00 0.00 -24.85 0.5 0.5
48.00 0.00 -25.17 0.5 0.5
50.00 0.00 -25.52 0.5 0.5
52.00 0.00 -25.89 0.5 0.5
54.00 0.00 -26.28 0.5 0.5
56.00 0.00 -26.71 0.5 0.5
58.00 0.00 -27.18 0.5 0.5
60.00 0.00 -27.68 0.5 0.5
62.00 0.00 -28.22 0.5 0.5
64.00 0.00 -28.81 0.5 0.5
66.00 0.00 -29.45 0.5 0.5
68.00 0.00 -30.16 0.5 0.5
70.00 0.00 -30.95 0.5 0.5
72.00 0.00 -31.83 0.5 0.5
74.00 0.00 -32.81 0.5 0.5
76.00 0.00 -33.94 0.5 0.5
78.00 0.00 -35.25 0.5 0.5
80.00 0.00 -36.81 0.5 0.5
82.00 0.00 -38.73 0.5 0.5
84.00 0.00 -41.21 0.5 0.5
86.00 0.00 -44.72 0.5 0.5
88.00 0.00 -50.73 0.5 0.5
0.00 1.00 -21.73 0.0 1.0
2.00 1.00 -21.72 0.0 1.0
4.00 1.00 -21.71 0.0 1.0
6.00 1.00 -21.72 0.0 1.0
8.00 1.00 -21.74 0.0 1.0
10.00 1.00 -21.77 0.0 1.0
12.00 1.00 -21.81 0.0 1.0
14.00 1.00 -21.86 0.0 1.0
16.00 1.00 -21.92 0.0 1.0
18.00 1.00 -21.99 0.0 1.0
20.00 1.00 -22.07 0.0 1.0
22.00 1.00 -22.17 0.0 1.0
24.00 1.00 -22.28 0.0 1.0
26.00 1.00 -22.40 0.0 1.0
28.00 1.00 -22.53 0.0 1.0
30.00 1.00 -22.68 0.0 1.0
32.00 1.00 -22.84 0.0 1.0
34.00 1.00 -23.02 0.0 1.0
36.00 1.00 -23.21 0.0 1.0
38.00 1.00 -23.42 0.0 1.0
40.00 1.00 -23.65 0.0 1.0
42.00 1.00 -23.90 0.0 1.0
44.00 1.00 -24.16 0.0 1.0
46.00 1.00 -24.44 0.5 0.5
48.00 1.00 -24.75 0.5 0.5
50.00 1.00 -25.08 0.5 0.5
52.00 1.00 -25.44 0.5 0.5
54.00 1.00 -25.83 0.5 0.5
56.00 1.00 -26.24 0.5 0.5
58.00 1.00 -26.69 0.5 0.5
60.00 1.00 -27.18 0.5 0.5
62.00 1.00 -27.71 0.5 0.5
64.00 1.00 -28.30 0.5 0.5
66.00 1.00 -28.93 0.5 0.5
68.00 1.00 -29.63 0.5 0.5
70.00 1.00 -30.41 0.5 0.5
72.00 1.00 -31.28 0.5 0.5
74.00 1.00 -32.25 0.5 0.5
76.00 1.00 -33.37 0.5 0.5
78.00 1.00 -34.67 0.5 0.5
80.00 1.00 -36.22 0.5 0.5
82.00 1.00 -38.11 0.5 0.5
84.00 1.00 -40.56 0.5 0.5
86.00 1.00 -43.99 0.5 0.5
88.00 1.00 -49.75 0.5 0.5
0.00 2.00 -21.73 0.0 1.0
2.00 2.00 -21.70 0.0 1.0
4.00 2.00 -21.68 0.0 1.0
6.00 2.00 -21.66 0.0 1.0
8.00 2.00 -21.66 0.0 1.0
10.00 2.00 -21.67 0.0 1.0
12.00 2.00 -21.69 0.0 1.0
14.00 2.00 -21.72 0.0 1.0
16.00 2.00 -21.76 0.0 1.0
18.00 2.00 -21.81 0.0 1.0
20.00 2.00 -21.88 0.0 1.0
22.00 2.00 -21.96 0.0 1.0
24.00 2.00 -22.04 0.0 1.0
26.00 2.00 -22.15 0.0 1.0
28.00 2.00 -22.26 0.0 1.0
30.00 2.00 -22.39 0.0 1.0
32.00 2.00 -22.53 0.0 1.0
34.00 2.00 -22.69 0.0 1.0
36.00 2.00 -22.87 0.0 1.0
38.00 2.00 -23.06 0.0 1.0
40.00 2.00 -23.27 0.0 1.0
42.00 2.00 -23.50 0.0 1.0
44.00 2.00 -23.74 0.0 1.0
46.00 2.00 -24.01 0.5 0.5
48.00 2.00 -24.30 0.5 0.5
50.00 2.00 -24.62 0.5 0.5
52.00 2.00 -24.96 0.5 0.5
54.00 2.00 -25.33 0.5 0.5
56.00 2.00 -25.73 0.5 0.5
58.00 2.00 -26.17 0.5 0.5
60.00 2.00 -26.65 0.5 0.5
62.00 2.00 -27.17 0.5 0.5
64.00 2.00 -27.73 0.5 0.5
66.00 2.00 -28.36 0.5 0.5
68.00 2.00 -29.04 0.5 0.5
70.00 2.00 -29.81 0.5 0.5
72.00 2.00 -30.66 0.5 0.5
74.00 2.00 -31.62 0.5 0.5
76.00 2.00 -32.72 0.5 0.5
78.00 2.00 -34.00 0.5 0.5
80.00 2.00 -35.51 0.5 0.5
82.00 2.00 -37.36 0.5 0.5
84.00 2.00 -39.70 0.5 0.5
86.00 2.00 -42.92 0.5 0.5
88.00 2.00 -48.10 0.5 0.5
0.00 3.00 -21.73 0.0 1.0
2.00 3.00 -21.68 0.0 1.0
4.00 3.00 -21.64 0.0 1.0
6.00 3.00 -21.61 0.0 1.0
8.00 3.00 -21.58 0.0 1.0
10.00 3.00 -21.57 0.0 1.0
12.00 3.00 -21.57 0.0 1.0
14.00 3.00 -21.58 0.0 1.0
16.00 3.00 -21.60 0.0 1.0
18.00 3.00 -21.63 0.0 1.0
20.00 3.00 -21.68 0.0 1.0
22.00 3.00 -21.73 0.0 1.0
24.00 3.00 -21.80 0.0 1.0
26.00 3.00 -21.88 0.0 1.0
28.00 3.00 -21.98 0.0 1.0
30.00 3.00 -22.09 0.0 1.0
32.00 3.00 -22.21 0.0 1.0
34.00 3.00 -22.35 0.0 1.0
36.00 3.00 -22.50 0.0 1.0
38.00 3.00 -22.68 0.0 1.0
40.00 3.00 -22.87 0.0 1.0
42.00 3.00 -23.07 0.0 1.0
44.00 3.00 -23.30 0.0 1.0
46.00 3.00 -23.55 0.5 0.5
48.00 3.00 -23.83 0.5 0.5
50.00 3.00 -24.13 0.5 0.5
52.00 3.00 -24.45 0.5 0.5
54.00 3.00 -24.81 0.5 0.5
56.00 3.00 -25.19 0.5 0.5
58.00 3.00 -25.61 0.5 0.5
60.00 3.00 -26.07 0.5 0.5
62.00 3.00 -26.58 0.5 0.5
64.00 3.00 -27.13 0.5 0.5
66.00 3.00 -27.74 0.5 0.5
68.00 3.00 -28.41 0.5 0.5
70.00 3.00 -29.16 0.5 0.5
72.00 3.00 -29.99 0.5 0.5
74.00 3.00 -30.93 0.5 0.5
76.00 3.00 -32.01 0.5 0.5
78.00 3.00 -33.25 0.5 0.5
80.00 3.00 -34.71 0.5 0.5
82.00 3.00 -36.47 0.5 0.5
84.00 3.00 -38.68 0.5 0.5
86.00 3.00 -41.61 0.5 0.5
88.00 3.00 -46.14 0.5 0.5
0.00 4.00 -21.73 0.0 1.0
2.00 4.00 -21.66 0.0 1.0
4.00 4.00 -21.60 0.0 1.0
6.00 4.00 -21.55 0.0 1.0
8.00 4.00 -21.50 0.0 1.0
10.00 4.00 -21.47 0.0 1.0
12.00 4.00 -21.45 0.0 1.0
14.00 4.00 -21.44 0.0 1.0
16.00 4.00 -21.44 0.0 1.0
18.00 4.00 -21.45 0.0 1.0
20.00 4.00 -21.47 0.0 1.0
22.00 4.00 -21.51 0.0 1.0
24.00 4.00 -21.55 0.0 1.0
26.00 4.00 -21.61 0.0 1.0
28.00 4.00 -21.68 0.0 1.0
30.00 4.00 -21.77 0.0 1.0
32.00 4.00 -21.87 0.0 1.0
34.00 4.00 -21.99 0.0 1.0
36.00 4.00 -22.13 0.0 1.0
38.00 4.00 -22.28 0.0 1.0
40.00 4.00 -22.45 0.0 1.0
42.00 4.00 -22.64 0.0 1.0
44.00 4.00 -22.85 0.0 1.0
46.00 4.00 -23.08 0.5 0.5
48.00 4.00 -23.33 0.5 0.5
50.00 4.00 -23.61 0.5 0.5
52.00 4.00 -23.92 0.5 0.5
54.00 4.00 -24.26 0.5 0.5
56.00 4.00 -24.63 0.5 0.5
58.00 4.00 -25.03 0.5 0.5
60.00 4.00 -25.48 0.5 0.5
62.00 4.00 -25.96 0.5 0.5
64.00 4.00 -26.50 0.5 0.5
66.00 4.00 -27.09 0.5 0.5
68.00 4.00 -27.74 0.5 0.5
70.00 4.00 -28.47 0.5 0.5
72.00 4.00 -29.28 0.5 0.5
74.00 4.00 -30.20 0.5 0.5
76.00 4.00 -31.24 0.5 0.5
78.00 4.00 -32.43 0.5 0.5
80.00 4.00 -33.83 0.5 0.5
82.00 4.00 -35.49 0.5 0.5
84.00 4.00 -37.53 0.5 0.5
86.00 4.00 -40.16 0.5 0.5
88.00 4.00 -44.11 0.5 0.5
0.00 5.00 -21.73 0.0 1.0
2.00 5.00 -21.64 0.0 1.0
4.00 5.00 -21.56 0.0 1.0
6.00 5.00 -21.49 0.0 1.0
8.00 5.00 -21.42 0.0 1.0
10.00 5.00 -21.37 0.0 1.0
12.00 5.00 -21.33 0.0 1.0
14.00 5.00 -21.29 0.0 1.0
16.00 5.00 -21.27 0.0 1.0
18.00 5.00 -21.26 0.0 1.0
20.00 5.00 -21.26 0.0 1.0
22.00 5.00 -21.27 0.0 1.0
24.00 5.00 -21.29 0.0 1.0
26.00 5.00 -21.33 0.0 1.0
28.00 5.00 -21.38 0.0 1.0
30.00 5.00 -21.45 0.0 1.0
32.00 5.00 -21.53 0.0 1.0
34.00 5.00 -21.62 0.0 1.0
36.00 5.00 -21.74 0.0 1.0
38.00 5.00 -21.87 0.0 1.0
40.00 5.00 -22.02 0.0 1.0
42.00 5.00 -22.18 0.0 1.0
44.00 5.00 -22.37 0.0 1.0
46.00 5.00 -22.59 0.5 0.5
48.00 5.00 -22.82 0.5 0.5
50.00 5.00 -23.08 0.5 0.5
52.00 5.00 -23.37 0.5 0.5
54.00 5.00 -23.69 0.5 0.5
56.00 5.00 -24.05 0.5 0.5
58.00 5.00 -24.43 0.5 0.5
60.00 5.00 -24.86 0.5 0.5
62.00 5.00 -25.33 0.5 0.5
64.00 5.00 -25.85 0.5 0.5
66.00 5.00 -26.42 0.5 0.5
68.00 5.00 -27.05 0.5 0.5
70.00 5.00 -27.76 0.5 0.5
72.00 5.00 -28.54 0.5 0.5
74.00 5.00 -29.43 0.5 0.5
76.00 5.00 -30.43 0.5 0.5
78.00 5.00 -31.57 0.5 0.5
80.00 5.00 -32.90 0.5 0.5
82.00 5.00 -34.45 0.5 0.5
84.00 5.00 -36.31 0.5 0.5
86.00 5.00 -38.65 0.5 0.5
88.00 5.00 -42.16 0.5 0.5
0.00 6.00 -21.73 0.0 1.0
2.00 6.00 -21.62 0.0 1.0
4.00 6.00 -21.52 0.0 1.0
6.00 6.00 -21.43 0.0 1.0
8.00 6.00 -21.34 0.0 1.0
10.00 6.00 -21.27 0.0 1.0
12.00 6.00 -21.20 0.0 1.0
14.00 6.00 -21.15 0.0 1.0
