# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 432.0 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 46.67 0.0 1.0
5.00 0.00 51.08 0.0 1.0
10.00 0.00 54.64 0.0 1.0
15.00 0.00 53.88 0.0 1.0
20.00 0.00 50.98 0.0 1.0
25.00 0.00 51.12 0.0 1.0
30.00 0.00 50.69 0.0 1.0
35.00 0.00 51.07 0.0 1.0
40.00 0.00 53.07 0.0 1.0
45.00 0.00 54.15 0.5 0.5
50.00 0.00 54.78 0.5 0.5
55.00 0.00 54.87 0.5 0.5
60.00 0.00 53.89 0.5 0.5
65.00 0.00 51.81 0.5 0.5
70.00 0.00 49.03 0.5 0.5
75.00 0.00 46.00 0.5 0.5
80.00 0.00 42.65 0.5 0.5
85.00 0.00 38.49 0.5 0.5
90.00 0.00 35.60 0.5 0.5
95.00 0.00 38.77 0.5 0.5
100.00 0.00 42.86 0.5 0.5
105.00 0.00 46.61 0.5 0.5
110.00 0.00 50.03 0.5 0.5
115.00 0.00 52.72 0.5 0.5
120.00 0.00 54.39 0.5 0.5
125.00 0.00 55.00 0.5 0.5
130.00 0.00 54.84 0.5 0.5
135.00 0.00 54.28 0.5 0.5
140.00 0.00 52.92 1.0 0.0
145.00 0.00 51.22 1.0 0.0
150.00 0.00 51.81 1.0 0.0
155.00 0.00 51.36 1.0 0.0
160.00 0.00 51.13 1.0 0.0
165.00 0.00 54.77 1.0 0.0
170.00 0.00 55.08 1.0 0.0
175.00 0.00 50.38 1.0 0.0
180.00 0.00 46.54 1.0 0.0
0.00 10.00 46.67 0.0 1.0
5.00 10.00 50.88 0.0 1.0
10.00 10.00 54.31 0.0 1.0
15.00 10.00 53.50 0.0 1.0
20.00 10.00 50.34 0.0 1.0
25.00 10.00 50.09 0.0 1.0
30.00 10.00 49.57 0.0 1.0
35.00 10.00 49.11 0.0 1.0
40.00 10.00 50.96 0.0 1.0
45.00 10.00 52.21 0.5 0.5
50.00 10.00 52.40 0.5 0.5
55.00 10.00 51.82 0.5 0.5
60.00 10.00 50.73 0.5 0.5
65.00 10.00 49.35 0.5 0.5
70.00 10.00 47.66 0.5 0.5
