# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 432.0 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 50.91 0.0 1.0
5.00 0.00 56.60 0.0 1.0
10.00 0.00 55.73 0.0 1.0
15.00 0.00 53.94 0.0 1.0
20.00 0.00 52.19 0.0 1.0
25.00 0.00 47.84 0.0 1.0
30.00 0.00 49.97 0.0 1.0
35.00 0.00 41.44 0.0 1.0
40.00 0.00 51.58 0.0 1.0
45.00 0.00 50.64 0.5 0.5
50.00 0.00 45.70 0.5 0.5
55.00 0.00 50.07 0.5 0.5
60.00 0.00 50.32 0.5 0.5
65.00 0.00 45.82 0.5 0.5
70.00 0.00 37.11 0.5 0.5
75.00 0.00 39.55 0.5 0.5
80.00 0.00 40.90 0.5 0.5
85.00 0.00 39.84 0.5 0.5
90.00 0.00 41.15 0.5 0.5
95.00 0.00 45.25 0.5 0.5
100.00 0.00 48.90 0.5 0.5
105.00 0.00 51.51 0.5 0.5
110.00 0.00 53.03 0.5 0.5
115.00 0.00 53.32 0.5 0.5
120.00 0.00 52.17 0.5 0.5
125.00 0.00 49.61 0.5 0.5
130.00 0.00 47.07 0.5 0.5
135.00 0.00 47.24 0.5 0.5
140.00 0.00 46.63 1.0 0.0
145.00 0.00 36.89 1.0 0.0
150.00 0.00 45.54 1.0 0.0
155.00 0.00 50.95 1.0 0.0
160.00 0.00 47.66 1.0 0.0
165.00 0.00 52.33 1.0 0.0
170.00 0.00 56.76 1.0 0.0
175.00 0.00 58.77 1.0 0.0
180.00 0.00 59.38 1.0 0.0
0.00 10.00 50.91 0.0 1.0
5.00 10.00 56.85 0.0 1.0
10.00 10.00 56.08 0.0 1.0
15.00 10.00 53.92 0.0 1.0
20.00 10.00 53.36 0.0 1.0
25.00 10.00 46.27 0.0 1.0
30.00 10.00 50.27 0.0 1.0
35.00 10.00 42.20 0.0 1.0
40.00 10.00 51.10 0.0 1.0
45.00 10.00 51.23 0.5 0.5
50.00 10.00 44.79 0.5 0.5
55.00 10.00 48.91 0.5 0.5
60.00 10.00 51.00 0.5 0.5
65.00 10.00 48.57 0.5 0.5
70.00 10.00 42.12 0.5 0.5
75.00 10.00 35.99 0.5 0.5
80.00 10.00 38.14 0.5 0.5
85.00 10.00 38.48 0.5 0.5
90.00 10.00 40.59 0.5 0.5
95.00 10.00 44.58 0.5 0.5
100.00 10.00 47.83 0.5 0.5
105.00 10.00 49.95 0.5 0.5
110.00 10.00 50.93 0.5 0.5
115.00 10.00 50.61 0.5 0.5
120.00 10.00 48.92 0.5 0.5
125.00 10.00 46.75 0.5 0.5
130.00 10.00 45.42 0.5 0.5
135.00 10.00 45.30 0.5 0.5
140.00 10.00 43.70 1.0 0.0
145.00 10.00 34.68 1.0 0.0
150.00 10.00 45.43 1.0 0.0
155.00 10.00 49.37 1.0 0.0
160.00 10.00 47.50 1.0 0.0
165.00 10.00 52.49 1.0 0.0
170.00 10.00 56.37 1.0 0.0
175.00 10.00 58.53 1.0 0.0
180.00 10.00 59.38 1.0 0.0
0.00 20.00 50.91 0.0 1.0
5.00 20.00 56.92 0.0 1.0
10.00 20.00 56.84 0.0 1.0
15.00 20.00 53.29 0.0 1.0
20.00 20.00 54.88 0.0 1.0
25.00 20.00 45.34 0.0 1.0
30.00 20.00 49.82 0.0 1.0
35.00 20.00 45.51 0.0 1.0
40.00 20.00 48.35 0.0 1.0
45.00 20.00 51.46 0.5 0.5
50.00 20.00 47.79 0.5 0.5
55.00 20.00 41.58 0.5 0.5
60.00 20.00 47.67 0.5 0.5
65.00 20.00 48.48 0.5 0.5
70.00 20.00 46.57 0.5 0.5
75.00 20.00 45.87 0.5 0.5
80.00 20.00 47.20 0.5 0.5
85.00 20.00 48.21 0.5 0.5
90.00 20.00 48.73 0.5 0.5
95.00 20.00 49.19 0.5 0.5
100.00 20.00 49.59 0.5 0.5
105.00 20.00 49.56 0.5 0.5
110.00 20.00 48.52 0.5 0.5
115.00 20.00 45.75 0.5 0.5
120.00 20.00 42.02 0.5 0.5
125.00 20.00 41.85 0.5 0.5
130.00 20.00 40.57 0.5 0.5
135.00 20.00 40.33 0.5 0.5
140.00 20.00 36.83 1.0 0.0
145.00 20.00 41.17 1.0 0.0
150.00 20.00 45.58 1.0 0.0
155.00 20.00 47.18 1.0 0.0
160.00 20.00 48.18 1.0 0.0
165.00 20.00 52.91 1.0 0.0
170.00 20.00 56.06 1.0 0.0
175.00 20.00 58.34 1.0 0.0
180.00 20.00 59.38 1.0 0.0
0.00 30.00 50.91 0.0 1.0
5.00 30.00 56.76 0.0 1.0
10.00 30.00 57.87 0.0 1.0
15.00 30.00 52.40 0.0 1.0
20.00 30.00 55.68 0.0 1.0
25.00 30.00 51.30 0.0 1.0
30.00 30.00 45.35 0.0 1.0
35.00 30.00 48.17 0.0 1.0
40.00 30.00 44.59 0.0 1.0
45.00 30.00 48.97 0.5 0.5
50.00 30.00 49.86 0.5 0.5
55.00 30.00 45.75 0.5 0.5
60.00 30.00 34.24 0.5 0.5
65.00 30.00 39.46 0.5 0.5
70.00 30.00 40.52 0.5 0.5
75.00 30.00 41.77 0.5 0.5
80.00 30.00 46.62 0.5 0.5
85.00 30.00 49.96 0.5 0.5
90.00 30.00 51.71 0.5 0.5
95.00 30.00 52.36 0.5 0.5
100.00 30.00 52.04 0.5 0.5
105.00 30.00 50.59 0.5 0.5
110.00 30.00 47.50 0.5 0.5
115.00 30.00 43.18 0.5 0.5
120.00 30.00 41.95 0.5 0.5
125.00 30.00 39.94 0.5 0.5
130.00 30.00 35.20 0.5 0.5
135.00 30.00 34.54 0.5 0.5
140.00 30.00 41.06 1.0 0.0
145.00 30.00 44.77 1.0 0.0
150.00 30.00 43.22 1.0 0.0
155.00 30.00 45.85 1.0 0.0
160.00 30.00 49.84 1.0 0.0
165.00 30.00 53.26 1.0 0.0
170.00 30.00 55.79 1.0 0.0
175.00 30.00 58.21 1.0 0.0
180.00 30.00 59.38 1.0 0.0
0.00 40.00 50.91 0.0 1.0
5.00 40.00 56.32 0.0 1.0
10.00 40.00 58.86 0.0 1.0
15.00 40.00 53.82 0.0 1.0
20.00 40.00 54.31 0.0 1.0
25.00 40.00 55.45 0.0 1.0
30.00 40.00 49.53 0.0 1.0
35.00 40.00 43.16 0.0 1.0
40.00 40.00 44.95 0.0 1.0
45.00 40.00 44.28 0.5 0.5
50.00 40.00 47.35 0.5 0.5
55.00 40.00 48.22 0.5 0.5
60.00 40.00 45.89 0.5 0.5
65.00 40.00 39.75 0.5 0.5
70.00 40.00 32.90 0.5 0.5
75.00 40.00 36.48 0.5 0.5
80.00 40.00 37.21 0.5 0.5
85.00 40.00 39.02 0.5 0.5
90.00 40.00 42.36 0.5 0.5
95.00 40.00 44.78 0.5 0.5
100.00 40.00 46.29 0.5 0.5
105.00 40.00 47.43 0.5 0.5
110.00 40.00 48.13 0.5 0.5
115.00 40.00 47.59 0.5 0.5
120.00 40.00 44.91 0.5 0.5
125.00 40.00 40.38 0.5 0.5
130.00 40.00 37.50 0.5 0.5
