# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 24.9 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -58.93 0.0 1.0
5.00 0.00 -59.69 0.0 1.0
10.00 0.00 -59.89 0.0 1.0
15.00 0.00 -59.46 0.0 1.0
20.00 0.00 -58.62 0.0 1.0
25.00 0.00 -57.66 0.0 1.0
30.00 0.00 -56.73 0.0 1.0
35.00 0.00 -55.93 0.0 1.0
40.00 0.00 -55.28 0.0 1.0
45.00 0.00 -54.79 0.5 0.5
50.00 0.00 -54.47 0.5 0.5
55.00 0.00 -54.32 0.5 0.5
60.00 0.00 -54.36 0.5 0.5
65.00 0.00 -54.65 0.5 0.5
70.00 0.00 -55.25 0.5 0.5
75.00 0.00 -56.34 0.5 0.5
80.00 0.00 -58.37 0.5 0.5
85.00 0.00 -62.79 0.5 0.5
90.00 0.00 -999.99 0.5 0.5
0.00 10.00 -48.53 0.0 1.0
5.00 10.00 -48.03 0.0 1.0
10.00 10.00 -47.56 0.0 1.0
15.00 10.00 -47.13 0.0 1.0
20.00 10.00 -46.76 0.0 1.0
25.00 10.00 -46.45 0.0 1.0
30.00 10.00 -46.20 0.0 1.0
35.00 10.00 -46.01 0.0 1.0
40.00 10.00 -45.90 0.0 1.0
45.00 10.00 -45.86 0.5 0.5
50.00 10.00 -45.91 0.5 0.5
55.00 10.00 -46.07 0.5 0.5
60.00 10.00 -46.37 0.5 0.5
65.00 10.00 -46.85 0.5 0.5
70.00 10.00 -47.61 0.5 0.5
75.00 10.00 -48.82 0.5 0.5
80.00 10.00 -50.93 0.5 0.5
85.00 10.00 -55.39 0.5 0.5
90.00 10.00 -999.99 0.5 0.5
0.00 20.00 -42.89 0.0 1.0
5.00 20.00 -42.62 0.0 1.0
10.00 20.00 -42.37 0.0 1.0
15.00 20.00 -42.16 0.0 1.0
20.00 20.00 -41.98 0.0 1.0
25.00 20.00 -41.84 0.0 1.0
30.00 20.00 -41.74 0.0 1.0
35.00 20.00 -41.68 0.0 1.0
40.00 20.00 -41.68 0.0 1.0
45.00 20.00 -41.75 0.5 0.5
50.00 20.00 -41.88 0.5 0.5
55.00 20.00 -42.11 0.5 0.5
60.00 20.00 -42.47 0.5 0.5
65.00 20.00 -42.99 0.5 0.5
70.00 20.00 -43.78 0.5 0.5
75.00 20.00 -45.02 0.5 0.5
80.00 20.00 -47.15 0.5 0.5
85.00 20.00 -51.63 0.5 0.5
90.00 20.00 -999.99 0.5 0.5
0.00 30.00 -39.63 0.0 1.0
5.00 30.00 -39.46 0.0 1.0
10.00 30.00 -39.32 0.0 1.0
15.00 30.00 -39.20 0.0 1.0
20.00 30.00 -39.10 0.0 1.0
25.00 30.00 -39.04 0.0 1.0
30.00 30.00 -39.01 0.0 1.0
35.00 30.00 -39.02 0.0 1.0
40.00 30.00 -39.07 0.0 1.0
45.00 30.00 -39.18 0.5 0.5
50.00 30.00 -39.36 0.5 0.5
55.00 30.00 -39.62 0.5 0.5
60.00 30.00 -40.00 0.5 0.5
65.00 30.00 -40.55 0.5 0.5
70.00 30.00 -41.35 0.5 0.5
75.00 30.00 -42.61 0.5 0.5
80.00 30.00 -44.74 0.5 0.5
85.00 30.00 -49.22 0.5 0.5
90.00 30.00 -999.99 0.5 0.5
0.00 40.00 -37.45 0.0 1.0
5.00 40.00 -37.35 0.0 1.0
10.00 40.00 -37.26 0.0 1.0
15.00 40.00 -37.20 0.0 1.0
20.00 40.00 -37.16 0.0 1.0
25.00 40.00 -37.14 0.0 1.0
30.00 40.00 -37.15 0.0 1.0
35.00 40.00 -37.20 0.0 1.0
40.00 40.00 -37.29 0.0 1.0
45.00 40.00 -37.43 0.5 0.5
50.00 40.00 -37.63 0.5 0.5
55.00 40.00 -37.91 0.5 0.5
60.00 40.00 -38.31 0.5 0.5
65.00 40.00 -38.87 0.5 0.5
70.00 40.00 -39.69 0.5 0.5
75.00 40.00 -40.95 0.5 0.5
80.00 40.00 -43.09 0.5 0.5
85.00 40.00 -47.57 0.5 0.5
90.00 40.00 -999.99 0.5 0.5
0.00 50.00 -35.93 0.0 1.0
5.00 50.00 -35.87 0.0 1.0
10.00 50.00 -35.82 0.0 1.0
15.00 50.00 -35.79 0.0 1.0
20.00 50.00 -35.78 0.0 1.0
25.00 50.00 -35.80 0.0 1.0
30.00 50.00 -35.84 0.0 1.0
35.00 50.00 -35.92 0.0 1.0
40.00 50.00 -36.03 0.0 1.0
45.00 50.00 -36.19 0.5 0.5
50.00 50.00 -36.41 0.5 0.5
55.00 50.00 -36.71 0.5 0.5
60.00 50.00 -37.12 0.5 0.5
65.00 50.00 -37.69 0.5 0.5
70.00 50.00 -38.52 0.5 0.5
75.00 50.00 -39.78 0.5 0.5
80.00 50.00 -41.93 0.5 0.5
85.00 50.00 -46.42 0.5 0.5
90.00 50.00 -999.99 0.5 0.5
0.00 60.00 -34.87 0.0 1.0
5.00 60.00 -34.83 0.0 1.0
10.00 60.00 -34.81 0.0 1.0
15.00 60.00 -34.81 0.0 1.0
20.00 60.00 -34.82 0.0 1.0
25.00 60.00 -34.86 0.0 1.0
30.00 60.00 -34.93 0.0 1.0
35.00 60.00 -35.03 0.0 1.0
40.00 60.00 -35.16 0.0 1.0
45.00 60.00 -35.33 0.5 0.5
50.00 60.00 -35.57 0.5 0.5
55.00 60.00 -35.88 0.5 0.5
60.00 60.00 -36.30 0.5 0.5
65.00 60.00 -36.88 0.5 0.5
70.00 60.00 -37.71 0.5 0.5
75.00 60.00 -38.99 0.5 0.5
80.00 60.00 -41.14 0.5 0.5
85.00 60.00 -45.63 0.5 0.5
90.00 60.00 -999.99 0.5 0.5
0.00 70.00 -34.16 0.0 1.0
5.00 70.00 -34.14 0.0 1.0
10.00 70.00 -34.13 0.0 1.0
15.00 70.00 -34.15 0.0 1.0
20.00 70.00 -34.18 0.0 1.0
25.00 70.00 -34.24 0.0 1.0
30.00 70.00 -34.32 0.0 1.0
35.00 70.00 -34.43 0.0 1.0
40.00 70.00 -34.58 0.0 1.0
45.00 70.00 -34.77 0.5 0.5
50.00 70.00 -35.01 0.5 0.5
55.00 70.00 -35.34 0.5 0.5
60.00 70.00 -35.76 0.5 0.5
