# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 3.5 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -79.13 0.0 1.0
5.00 0.00 -79.44 0.0 1.0
10.00 0.00 -79.75 0.0 1.0
15.00 0.00 -80.06 0.0 1.0
20.00 0.00 -80.37 0.0 1.0
25.00 0.00 -80.66 0.0 1.0
30.00 0.00 -80.95 0.0 1.0
35.00 0.00 -81.22 0.0 1.0
40.00 0.00 -81.47 0.0 1.0
45.00 0.00 -81.72 0.5 0.5
50.00 0.00 -81.97 0.5 0.5
55.00 0.00 -82.22 0.5 0.5
60.00 0.00 -82.50 0.5 0.5
65.00 0.00 -82.83 0.5 0.5
70.00 0.00 -83.28 0.5 0.5
75.00 0.00 -83.95 0.5 0.5
80.00 0.00 -85.18 0.5 0.5
85.00 0.00 -88.18 0.5 0.5
90.00 0.00 -999.99 0.5 0.5
0.00 10.00 -65.67 0.0 1.0
5.00 10.00 -65.66 0.0 1.0
10.00 10.00 -65.66 0.0 1.0
15.00 10.00 -65.67 0.0 1.0
20.00 10.00 -65.68 0.0 1.0
25.00 10.00 -65.70 0.0 1.0
30.00 10.00 -65.72 0.0 1.0
35.00 10.00 -65.76 0.0 1.0
40.00 10.00 -65.81 0.0 1.0
45.00 10.00 -65.88 0.5 0.5
50.00 10.00 -65.98 0.5 0.5
55.00 10.00 -66.11 0.5 0.5
60.00 10.00 -66.29 0.5 0.5
65.00 10.00 -66.54 0.5 0.5
70.00 10.00 -66.93 0.5 0.5
75.00 10.00 -67.56 0.5 0.5
80.00 10.00 -68.76 0.5 0.5
85.00 10.00 -71.74 0.5 0.5
90.00 10.00 -999.99 0.5 0.5
0.00 20.00 -60.39 0.0 1.0
5.00 20.00 -60.39 0.0 1.0
10.00 20.00 -60.39 0.0 1.0
15.00 20.00 -60.39 0.0 1.0
