# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 14.0 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -86.14 0.0 1.0
5.00 0.00 -82.85 0.0 1.0
10.00 0.00 -79.88 0.0 1.0
15.00 0.00 -77.56 0.0 1.0
20.00 0.00 -75.74 0.0 1.0
25.00 0.00 -74.30 0.0 1.0
30.00 0.00 -73.13 0.0 1.0
35.00 0.00 -72.19 0.0 1.0
40.00 0.00 -71.44 0.0 1.0
45.00 0.00 -70.85 0.5 0.5
50.00 0.00 -70.43 0.5 0.5
55.00 0.00 -70.16 0.5 0.5
60.00 0.00 -70.07 0.5 0.5
65.00 0.00 -70.18 0.5 0.5
70.00 0.00 -70.59 0.5 0.5
75.00 0.00 -71.45 0.5 0.5
80.00 0.00 -73.17 0.5 0.5
85.00 0.00 -77.19 0.5 0.5
90.00 0.00 -999.99 0.5 0.5
0.00 10.00 -61.38 0.0 1.0
5.00 10.00 -61.30 0.0 1.0
10.00 10.00 -61.23 0.0 1.0
15.00 10.00 -61.15 0.0 1.0
20.00 10.00 -61.09 0.0 1.0
25.00 10.00 -61.03 0.0 1.0
30.00 10.00 -61.00 0.0 1.0
35.00 10.00 -60.98 0.0 1.0
40.00 10.00 -60.99 0.0 1.0
45.00 10.00 -61.04 0.5 0.5
50.00 10.00 -61.14 0.5 0.5
55.00 10.00 -61.30 0.5 0.5
60.00 10.00 -61.57 0.5 0.5
65.00 10.00 -61.97 0.5 0.5
70.00 10.00 -62.61 0.5 0.5
75.00 10.00 -63.64 0.5 0.5
80.00 10.00 -65.48 0.5 0.5
85.00 10.00 -69.57 0.5 0.5
90.00 10.00 -999.99 0.5 0.5
0.00 20.00 -55.29 0.0 1.0
5.00 20.00 -55.27 0.0 1.0
10.00 20.00 -55.25 0.0 1.0
15.00 20.00 -55.24 0.0 1.0
20.00 20.00 -55.25 0.0 1.0
25.00 20.00 -55.27 0.0 1.0
30.00 20.00 -55.30 0.0 1.0
35.00 20.00 -55.36 0.0 1.0
40.00 20.00 -55.45 0.0 1.0
45.00 20.00 -55.57 0.5 0.5
50.00 20.00 -55.74 0.5 0.5
55.00 20.00 -55.97 0.5 0.5
60.00 20.00 -56.29 0.5 0.5
65.00 20.00 -56.74 0.5 0.5
70.00 20.00 -57.41 0.5 0.5
75.00 20.00 -58.47 0.5 0.5
80.00 20.00 -60.34 0.5 0.5
85.00 20.00 -64.45 0.5 0.5
90.00 20.00 -999.99 0.5 0.5
0.00 30.00 -51.93 0.0 1.0
5.00 30.00 -51.92 0.0 1.0
10.00 30.00 -51.91 0.0 1.0
15.00 30.00 -51.92 0.0 1.0
20.00 30.00 -51.95 0.0 1.0
25.00 30.00 -51.99 0.0 1.0
30.00 30.00 -52.04 0.0 1.0
35.00 30.00 -52.12 0.0 1.0
40.00 30.00 -52.23 0.0 1.0
45.00 30.00 -52.37 0.5 0.5
50.00 30.00 -52.55 0.5 0.5
55.00 30.00 -52.80 0.5 0.5
60.00 30.00 -53.13 0.5 0.5
65.00 30.00 -53.60 0.5 0.5
70.00 30.00 -54.28 0.5 0.5
75.00 30.00 -55.35 0.5 0.5
80.00 30.00 -57.23 0.5 0.5
