# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 24.9 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 2.51 0.0 1.0
5.00 0.00 0.73 0.0 1.0
10.00 0.00 -1.98 0.0 1.0
15.00 0.00 -3.57 0.0 1.0
20.00 0.00 -0.15 0.0 1.0
25.00 0.00 3.97 0.0 1.0
30.00 0.00 6.96 0.0 1.0
35.00 0.00 8.87 0.0 1.0
40.00 0.00 9.88 0.0 1.0
45.00 0.00 10.13 0.5 0.5
50.00 0.00 9.84 0.5 0.5
55.00 0.00 9.31 0.5 0.5
60.00 0.00 8.59 0.5 0.5
65.00 0.00 7.45 0.5 0.5
70.00 0.00 6.14 0.5 0.5
75.00 0.00 6.02 0.5 0.5
80.00 0.00 6.30 0.5 0.5
85.00 0.00 3.69 0.5 0.5
90.00 0.00 -198.31 0.5 0.5
0.00 10.00 2.37 0.0 1.0
5.00 10.00 0.59 0.0 1.0
10.00 10.00 -2.07 0.0 1.0
15.00 10.00 -3.45 0.0 1.0
20.00 10.00 -0.03 0.0 1.0
25.00 10.00 4.02 0.0 1.0
30.00 10.00 6.96 0.0 1.0
35.00 10.00 8.85 0.0 1.0
40.00 10.00 9.84 0.0 1.0
45.00 10.00 10.08 0.5 0.5
50.00 10.00 9.79 0.5 0.5
55.00 10.00 9.26 0.5 0.5
60.00 10.00 8.56 0.5 0.5
65.00 10.00 7.43 0.5 0.5
70.00 10.00 6.13 0.5 0.5
75.00 10.00 6.05 0.5 0.5
80.00 10.00 6.35 0.5 0.5
85.00 10.00 3.75 0.5 0.5
90.00 10.00 -198.47 0.5 0.5
0.00 20.00 1.96 0.0 1.0
5.00 20.00 0.17 0.0 1.0
10.00 20.00 -2.31 0.0 1.0
15.00 20.00 -3.11 0.0 1.0
20.00 20.00 0.32 0.0 1.0
25.00 20.00 4.15 0.0 1.0
30.00 20.00 6.96 0.0 1.0
35.00 20.00 8.78 0.0 1.0
40.00 20.00 9.73 0.0 1.0
45.00 20.00 9.94 0.5 0.5
50.00 20.00 9.64 0.5 0.5
55.00 20.00 9.14 0.5 0.5
60.00 20.00 8.48 0.5 0.5
65.00 20.00 7.38 0.5 0.5
70.00 20.00 6.12 0.5 0.5
75.00 20.00 6.13 0.5 0.5
80.00 20.00 6.51 0.5 0.5
85.00 20.00 3.94 0.5 0.5
90.00 20.00 -198.41 0.5 0.5
0.00 30.00 1.25 0.0 1.0
5.00 30.00 -0.55 0.0 1.0
10.00 30.00 -2.68 0.0 1.0
15.00 30.00 -2.57 0.0 1.0
20.00 30.00 0.85 0.0 1.0
25.00 30.00 4.37 0.0 1.0
30.00 30.00 6.99 0.0 1.0
35.00 30.00 8.69 0.0 1.0
40.00 30.00 9.56 0.0 1.0
45.00 30.00 9.72 0.5 0.5
50.00 30.00 9.42 0.5 0.5
55.00 30.00 8.96 0.5 0.5
60.00 30.00 8.37 0.5 0.5
65.00 30.00 7.31 0.5 0.5
70.00 30.00 6.12 0.5 0.5
75.00 30.00 6.30 0.5 0.5
80.00 30.00 6.78 0.5 0.5
85.00 30.00 4.25 0.5 0.5
90.00 30.00 -197.92 0.5 0.5
0.00 40.00 0.18 0.0 1.0
5.00 40.00 -1.62 0.0 1.0
10.00 40.00 -3.12 0.0 1.0
15.00 40.00 -1.89 0.0 1.0
20.00 40.00 1.50 0.0 1.0
25.00 40.00 4.68 0.0 1.0
30.00 40.00 7.06 0.0 1.0
35.00 40.00 8.61 0.0 1.0
40.00 40.00 9.38 0.0 1.0
45.00 40.00 9.49 0.5 0.5
50.00 40.00 9.19 0.5 0.5
55.00 40.00 8.79 0.5 0.5
60.00 40.00 8.27 0.5 0.5
65.00 40.00 7.26 0.5 0.5
70.00 40.00 6.18 0.5 0.5
75.00 40.00 6.58 0.5 0.5
80.00 40.00 7.19 0.5 0.5
85.00 40.00 4.68 0.5 0.5
90.00 40.00 -197.40 0.5 0.5
0.00 50.00 -1.35 0.0 1.0
5.00 50.00 -3.11 0.0 1.0
10.00 50.00 -3.52 0.0 1.0
15.00 50.00 -1.12 0.0 1.0
20.00 50.00 2.22 0.0 1.0
25.00 50.00 5.08 0.0 1.0
30.00 50.00 7.22 0.0 1.0
35.00 50.00 8.59 0.0 1.0
40.00 50.00 9.25 0.0 1.0
45.00 50.00 9.30 0.5 0.5
50.00 50.00 9.02 0.5 0.5
55.00 50.00 8.71 0.5 0.5
60.00 50.00 8.26 0.5 0.5
65.00 50.00 7.30 0.5 0.5
70.00 50.00 6.36 0.5 0.5
75.00 50.00 7.02 0.5 0.5
80.00 50.00 7.72 0.5 0.5
85.00 50.00 5.22 0.5 0.5
90.00 50.00 -197.15 0.5 0.5
0.00 60.00 -3.54 0.0 1.0
5.00 60.00 -5.09 0.0 1.0
10.00 60.00 -3.71 0.0 1.0
15.00 60.00 -0.32 0.0 1.0
20.00 60.00 2.93 0.0 1.0
25.00 60.00 5.54 0.0 1.0
30.00 60.00 7.45 0.0 1.0
35.00 60.00 8.67 0.0 1.0
40.00 60.00 9.23 0.0 1.0
45.00 60.00 9.25 0.5 0.5
50.00 60.00 9.02 0.5 0.5
55.00 60.00 8.80 0.5 0.5
60.00 60.00 8.42 0.5 0.5
