# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 130.0 MHz
# Altitude: 10000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 65.78 0.0 1.0
5.00 0.00 75.14 0.0 1.0
10.00 0.00 71.13 0.0 1.0
15.00 0.00 74.92 0.0 1.0
20.00 0.00 78.06 0.0 1.0
25.00 0.00 65.82 0.0 1.0
30.00 0.00 79.94 0.0 1.0
35.00 0.00 81.60 0.0 1.0
40.00 0.00 82.91 0.0 1.0
45.00 0.00 86.10 0.5 0.5
50.00 0.00 88.88 0.5 0.5
55.00 0.00 92.35 0.5 0.5
60.00 0.00 92.89 0.5 0.5
65.00 0.00 91.60 0.5 0.5
70.00 0.00 89.44 0.5 0.5
75.00 0.00 82.38 0.5 0.5
80.00 0.00 82.85 0.5 0.5
85.00 0.00 91.28 0.5 0.5
90.00 0.00 93.66 0.5 0.5
95.00 0.00 94.11 0.5 0.5
100.00 0.00 92.72 0.5 0.5
105.00 0.00 88.66 0.5 0.5
110.00 0.00 82.55 0.5 0.5
115.00 0.00 78.99 0.5 0.5
120.00 0.00 67.64 0.5 0.5
125.00 0.00 69.36 0.5 0.5
130.00 0.00 72.09 0.5 0.5
135.00 0.00 63.31 0.5 0.5
140.00 0.00 74.87 1.0 0.0
145.00 0.00 73.76 1.0 0.0
150.00 0.00 61.07 1.0 0.0
155.00 0.00 71.05 1.0 0.0
160.00 0.00 66.47 1.0 0.0
165.00 0.00 59.11 1.0 0.0
170.00 0.00 54.46 1.0 0.0
175.00 0.00 69.48 1.0 0.0
180.00 0.00 70.31 1.0 0.0
0.00 10.00 65.78 0.0 1.0
5.00 10.00 74.90 0.0 1.0
10.00 10.00 71.64 0.0 1.0
15.00 10.00 75.83 0.0 1.0
20.00 10.00 74.25 0.0 1.0
25.00 10.00 71.20 0.0 1.0
30.00 10.00 72.08 0.0 1.0
35.00 10.00 79.86 0.0 1.0
40.00 10.00 77.38 0.0 1.0
45.00 10.00 84.09 0.5 0.5
50.00 10.00 89.14 0.5 0.5
55.00 10.00 92.83 0.5 0.5
60.00 10.00 94.82 0.5 0.5
65.00 10.00 94.81 0.5 0.5
70.00 10.00 94.78 0.5 0.5
75.00 10.00 94.56 0.5 0.5
80.00 10.00 95.11 0.5 0.5
85.00 10.00 96.39 0.5 0.5
90.00 10.00 96.81 0.5 0.5
95.00 10.00 96.16 0.5 0.5
100.00 10.00 94.04 0.5 0.5
105.00 10.00 89.57 0.5 0.5
110.00 10.00 83.05 0.5 0.5
115.00 10.00 78.36 0.5 0.5
120.00 10.00 69.63 0.5 0.5
125.00 10.00 73.13 0.5 0.5
130.00 10.00 73.66 0.5 0.5
135.00 10.00 69.86 0.5 0.5
140.00 10.00 62.78 1.0 0.0
145.00 10.00 64.22 1.0 0.0
150.00 10.00 65.52 1.0 0.0
155.00 10.00 52.57 1.0 0.0
160.00 10.00 65.85 1.0 0.0
165.00 10.00 64.71 1.0 0.0
170.00 10.00 59.15 1.0 0.0
175.00 10.00 68.35 1.0 0.0
180.00 10.00 70.31 1.0 0.0
0.00 20.00 65.78 0.0 1.0
5.00 20.00 74.78 0.0 1.0
10.00 20.00 71.89 0.0 1.0
15.00 20.00 73.84 0.0 1.0
20.00 20.00 72.48 0.0 1.0
25.00 20.00 72.99 0.0 1.0
30.00 20.00 70.96 0.0 1.0
35.00 20.00 68.86 0.0 1.0
40.00 20.00 77.93 0.0 1.0
45.00 20.00 80.86 0.5 0.5
50.00 20.00 88.91 0.5 0.5
55.00 20.00 91.89 0.5 0.5
60.00 20.00 94.89 0.5 0.5
65.00 20.00 96.49 0.5 0.5
70.00 20.00 97.46 0.5 0.5
75.00 20.00 97.93 0.5 0.5
80.00 20.00 97.81 0.5 0.5
85.00 20.00 97.24 0.5 0.5
90.00 20.00 96.12 0.5 0.5
95.00 20.00 94.49 0.5 0.5
100.00 20.00 91.61 0.5 0.5
105.00 20.00 87.36 0.5 0.5
110.00 20.00 82.29 0.5 0.5
115.00 20.00 79.98 0.5 0.5
120.00 20.00 75.81 0.5 0.5
125.00 20.00 76.47 0.5 0.5
130.00 20.00 74.84 0.5 0.5
135.00 20.00 70.44 0.5 0.5
140.00 20.00 75.48 1.0 0.0
145.00 20.00 63.05 1.0 0.0
150.00 20.00 70.41 1.0 0.0
155.00 20.00 69.35 1.0 0.0
160.00 20.00 65.51 1.0 0.0
165.00 20.00 65.84 1.0 0.0
170.00 20.00 63.62 1.0 0.0
175.00 20.00 67.40 1.0 0.0
180.00 20.00 70.31 1.0 0.0
0.00 30.00 65.78 0.0 1.0
5.00 30.00 74.59 0.0 1.0
10.00 30.00 72.38 0.0 1.0
15.00 30.00 70.98 0.0 1.0
20.00 30.00 72.53 0.0 1.0
25.00 30.00 69.89 0.0 1.0
30.00 30.00 72.61 0.0 1.0
35.00 30.00 68.31 0.0 1.0
40.00 30.00 68.39 0.0 1.0
45.00 30.00 79.81 0.5 0.5
50.00 30.00 83.64 0.5 0.5
55.00 30.00 88.65 0.5 0.5
60.00 30.00 91.05 0.5 0.5
65.00 30.00 92.59 0.5 0.5
70.00 30.00 93.48 0.5 0.5
75.00 30.00 93.80 0.5 0.5
80.00 30.00 93.43 0.5 0.5
85.00 30.00 92.15 0.5 0.5
90.00 30.00 90.55 0.5 0.5
95.00 30.00 88.90 0.5 0.5
100.00 30.00 86.91 0.5 0.5
105.00 30.00 84.32 0.5 0.5
110.00 30.00 81.11 0.5 0.5
115.00 30.00 75.21 0.5 0.5
120.00 30.00 68.66 0.5 0.5
125.00 30.00 78.30 0.5 0.5
130.00 30.00 77.37 0.5 0.5
135.00 30.00 67.46 0.5 0.5
140.00 30.00 74.74 1.0 0.0
145.00 30.00 70.19 1.0 0.0
150.00 30.00 67.94 1.0 0.0
155.00 30.00 69.27 1.0 0.0
160.00 30.00 62.78 1.0 0.0
165.00 30.00 63.02 1.0 0.0
170.00 30.00 65.91 1.0 0.0
175.00 30.00 67.10 1.0 0.0
180.00 30.00 70.31 1.0 0.0
0.00 40.00 65.78 0.0 1.0
5.00 40.00 74.16 0.0 1.0
