# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 121.5 MHz
# Altitude: 1500 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -35.42 0.0 1.0
5.00 0.00 -35.99 0.0 1.0
10.00 0.00 -36.73 0.0 1.0
15.00 0.00 -37.72 0.0 1.0
20.00 0.00 -39.22 0.0 1.0
25.00 0.00 -41.30 0.0 1.0
30.00 0.00 -42.71 0.0 1.0
35.00 0.00 -42.08 0.0 1.0
40.00 0.00 -41.52 0.0 1.0
45.00 0.00 -42.41 0.5 0.5
50.00 0.00 -43.75 0.5 0.5
55.00 0.00 -43.20 0.5 0.5
60.00 0.00 -42.61 0.5 0.5
65.00 0.00 -43.91 0.5 0.5
70.00 0.00 -45.31 0.5 0.5
75.00 0.00 -45.81 0.5 0.5
80.00 0.00 -42.87 0.5 0.5
85.00 0.00 -42.65 0.5 0.5
0.00 10.00 -35.42 0.0 1.0
5.00 10.00 -36.29 0.0 1.0
10.00 10.00 -37.52 0.0 1.0
15.00 10.00 -39.00 0.0 1.0
20.00 10.00 -40.78 0.0 1.0
25.00 10.00 -42.64 0.0 1.0
30.00 10.00 -43.05 0.0 1.0
35.00 10.00 -41.68 0.0 1.0
40.00 10.00 -40.69 0.0 1.0
45.00 10.00 -40.96 0.5 0.5
50.00 10.00 -41.89 0.5 0.5
55.00 10.00 -42.08 0.5 0.5
60.00 10.00 -42.21 0.5 0.5
65.00 10.00 -43.56 0.5 0.5
70.00 10.00 -44.97 0.5 0.5
75.00 10.00 -48.09 0.5 0.5
80.00 10.00 -44.60 0.5 0.5
85.00 10.00 -43.10 0.5 0.5
0.00 20.00 -35.42 0.0 1.0
5.00 20.00 -36.59 0.0 1.0
10.00 20.00 -38.27 0.0 1.0
15.00 20.00 -39.88 0.0 1.0
20.00 20.00 -41.03 0.0 1.0
25.00 20.00 -41.72 0.0 1.0
30.00 20.00 -41.43 0.0 1.0
35.00 20.00 -40.01 0.0 1.0
40.00 20.00 -38.74 0.0 1.0
45.00 20.00 -38.58 0.5 0.5
50.00 20.00 -39.78 0.5 0.5
55.00 20.00 -41.92 0.5 0.5
60.00 20.00 -43.37 0.5 0.5
65.00 20.00 -42.16 0.5 0.5
70.00 20.00 -40.90 0.5 0.5
75.00 20.00 -44.46 0.5 0.5
80.00 20.00 -50.00 0.5 0.5
85.00 20.00 -45.05 0.5 0.5
0.00 30.00 -35.42 0.0 1.0
5.00 30.00 -36.85 0.0 1.0
10.00 30.00 -38.87 0.0 1.0
15.00 30.00 -40.07 0.0 1.0
20.00 30.00 -40.00 0.0 1.0
25.00 30.00 -39.58 0.0 1.0
30.00 30.00 -38.95 0.0 1.0
35.00 30.00 -37.99 0.0 1.0
