# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 121.5 MHz
# Altitude: 3000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -27.72 0.0 1.0
5.00 0.00 -33.85 0.0 1.0
10.00 0.00 -40.67 0.0 1.0
15.00 0.00 -28.84 0.0 1.0
20.00 0.00 -25.04 0.0 1.0
25.00 0.00 -25.56 0.0 1.0
30.00 0.00 -35.29 0.0 1.0
35.00 0.00 -26.87 0.0 1.0
40.00 0.00 -20.14 0.0 1.0
45.00 0.00 -19.29 0.5 0.5
50.00 0.00 -22.05 0.5 0.5
55.00 0.00 -21.33 0.5 0.5
60.00 0.00 -18.77 0.5 0.5
65.00 0.00 -18.87 0.5 0.5
70.00 0.00 -18.91 0.5 0.5
75.00 0.00 -20.14 0.5 0.5
80.00 0.00 -19.32 0.5 0.5
85.00 0.00 -18.69 0.5 0.5
0.00 10.00 -27.72 0.0 1.0
5.00 10.00 -33.95 0.0 1.0
10.00 10.00 -37.66 0.0 1.0
15.00 10.00 -27.89 0.0 1.0
20.00 10.00 -24.30 0.0 1.0
25.00 10.00 -24.69 0.0 1.0
30.00 10.00 -31.50 0.0 1.0
35.00 10.00 -26.31 0.0 1.0
40.00 10.00 -20.06 0.0 1.0
45.00 10.00 -19.29 0.5 0.5
50.00 10.00 -22.25 0.5 0.5
55.00 10.00 -21.87 0.5 0.5
60.00 10.00 -19.29 0.5 0.5
65.00 10.00 -19.22 0.5 0.5
70.00 10.00 -19.05 0.5 0.5
75.00 10.00 -20.40 0.5 0.5
80.00 10.00 -18.67 0.5 0.5
85.00 10.00 -17.88 0.5 0.5
0.00 20.00 -27.72 0.0 1.0
5.00 20.00 -33.51 0.0 1.0
10.00 20.00 -34.46 0.0 1.0
15.00 20.00 -26.80 0.0 1.0
20.00 20.00 -23.45 0.0 1.0
25.00 20.00 -23.56 0.0 1.0
30.00 20.00 -28.05 0.0 1.0
35.00 20.00 -25.58 0.0 1.0
40.00 20.00 -19.96 0.0 1.0
45.00 20.00 -19.13 0.5 0.5
50.00 20.00 -22.08 0.5 0.5
55.00 20.00 -22.18 0.5 0.5
60.00 20.00 -19.45 0.5 0.5
65.00 20.00 -19.32 0.5 0.5
70.00 20.00 -18.97 0.5 0.5
75.00 20.00 -20.33 0.5 0.5
80.00 20.00 -18.19 0.5 0.5
85.00 20.00 -17.08 0.5 0.5
0.00 30.00 -27.72 0.0 1.0
5.00 30.00 -32.73 0.0 1.0
10.00 30.00 -32.13 0.0 1.0
15.00 30.00 -25.84 0.0 1.0
20.00 30.00 -22.68 0.0 1.0
25.00 30.00 -22.52 0.0 1.0
30.00 30.00 -25.67 0.0 1.0
35.00 30.00 -24.81 0.0 1.0
40.00 30.00 -19.83 0.0 1.0
45.00 30.00 -18.76 0.5 0.5
50.00 30.00 -21.45 0.5 0.5
55.00 30.00 -22.22 0.5 0.5
60.00 30.00 -19.23 0.5 0.5
65.00 30.00 -19.06 0.5 0.5
70.00 30.00 -18.64 0.5 0.5
75.00 30.00 -19.75 0.5 0.5
80.00 30.00 -17.96 0.5 0.5
85.00 30.00 -16.61 0.5 0.5
0.00 40.00 -27.72 0.0 1.0
5.00 40.00 -31.80 0.0 1.0
10.00 40.00 -30.43 0.0 1.0
15.00 40.00 -25.08 0.0 1.0
20.00 40.00 -22.06 0.0 1.0
25.00 40.00 -21.60 0.0 1.0
30.00 40.00 -23.78 0.0 1.0
35.00 40.00 -23.83 0.0 1.0
40.00 40.00 -19.60 0.0 1.0
45.00 40.00 -18.20 0.5 0.5
50.00 40.00 -20.43 0.5 0.5
55.00 40.00 -21.96 0.5 0.5
60.00 40.00 -18.65 0.5 0.5
65.00 40.00 -18.38 0.5 0.5
70.00 40.00 -18.20 0.5 0.5
75.00 40.00 -18.96 0.5 0.5
80.00 40.00 -18.16 0.5 0.5
85.00 40.00 -16.69 0.5 0.5
0.00 50.00 -27.72 0.0 1.0
5.00 50.00 -30.86 0.0 1.0
10.00 50.00 -29.14 0.0 1.0
15.00 50.00 -24.49 0.0 1.0
20.00 50.00 -21.56 0.0 1.0
25.00 50.00 -20.78 0.0 1.0
30.00 50.00 -22.12 0.0 1.0
35.00 50.00 -22.60 0.0 1.0
40.00 50.00 -19.26 0.0 1.0
45.00 50.00 -17.56 0.5 0.5
50.00 50.00 -19.29 0.5 0.5
55.00 50.00 -21.38 0.5 0.5
60.00 50.00 -17.78 0.5 0.5
65.00 50.00 -17.42 0.5 0.5
70.00 50.00 -18.04 0.5 0.5
75.00 50.00 -18.53 0.5 0.5
80.00 50.00 -18.87 0.5 0.5
85.00 50.00 -17.41 0.5 0.5
0.00 60.00 -27.72 0.0 1.0
5.00 60.00 -29.99 0.0 1.0
