# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 121.5 MHz
# Altitude: 4000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 31.86 0.0 1.0
5.00 0.00 32.15 0.0 1.0
10.00 0.00 31.26 0.0 1.0
15.00 0.00 28.80 0.0 1.0
20.00 0.00 30.83 0.0 1.0
25.00 0.00 33.42 0.0 1.0
30.00 0.00 30.25 0.0 1.0
35.00 0.00 27.01 0.0 1.0
40.00 0.00 35.50 0.0 1.0
45.00 0.00 36.03 0.5 0.5
50.00 0.00 31.34 0.5 0.5
55.00 0.00 31.45 0.5 0.5
60.00 0.00 32.67 0.5 0.5
65.00 0.00 34.61 0.5 0.5
70.00 0.00 37.22 0.5 0.5
75.00 0.00 30.41 0.5 0.5
80.00 0.00 40.83 0.5 0.5
85.00 0.00 44.09 0.5 0.5
90.00 0.00 -157.43 0.5 0.5
0.00 10.00 31.86 0.0 1.0
5.00 10.00 32.27 0.0 1.0
10.00 10.00 31.39 0.0 1.0
15.00 10.00 28.43 0.0 1.0
20.00 10.00 30.31 0.0 1.0
25.00 10.00 33.26 0.0 1.0
30.00 10.00 30.50 0.0 1.0
35.00 10.00 29.49 0.0 1.0
40.00 10.00 36.00 0.0 1.0
45.00 10.00 36.06 0.5 0.5
50.00 10.00 31.02 0.5 0.5
55.00 10.00 29.49 0.5 0.5
60.00 10.00 30.71 0.5 0.5
65.00 10.00 33.41 0.5 0.5
70.00 10.00 37.26 0.5 0.5
75.00 10.00 32.21 0.5 0.5
80.00 10.00 40.02 0.5 0.5
85.00 10.00 43.87 0.5 0.5
90.00 10.00 -157.55 0.5 0.5
0.00 20.00 31.86 0.0 1.0
5.00 20.00 32.37 0.0 1.0
10.00 20.00 31.53 0.0 1.0
15.00 20.00 28.19 0.0 1.0
20.00 20.00 29.80 0.0 1.0
25.00 20.00 33.36 0.0 1.0
30.00 20.00 31.60 0.0 1.0
35.00 20.00 30.84 0.0 1.0
40.00 20.00 36.06 0.0 1.0
45.00 20.00 35.89 0.5 0.5
50.00 20.00 31.10 0.5 0.5
55.00 20.00 29.99 0.5 0.5
60.00 20.00 30.74 0.5 0.5
65.00 20.00 31.25 0.5 0.5
70.00 20.00 36.08 0.5 0.5
75.00 20.00 31.95 0.5 0.5
80.00 20.00 39.11 0.5 0.5
85.00 20.00 43.11 0.5 0.5
90.00 20.00 -158.24 0.5 0.5
0.00 30.00 31.86 0.0 1.0
5.00 30.00 32.44 0.0 1.0
10.00 30.00 31.67 0.0 1.0
15.00 30.00 28.14 0.0 1.0
20.00 30.00 29.23 0.0 1.0
25.00 30.00 33.53 0.0 1.0
30.00 30.00 32.83 0.0 1.0
35.00 30.00 31.26 0.0 1.0
40.00 30.00 35.61 0.0 1.0
45.00 30.00 35.51 0.5 0.5
50.00 30.00 31.14 0.5 0.5
55.00 30.00 31.77 0.5 0.5
60.00 30.00 33.40 0.5 0.5
65.00 30.00 29.77 0.5 0.5
70.00 30.00 34.65 0.5 0.5
75.00 30.00 33.80 0.5 0.5
80.00 30.00 38.61 0.5 0.5
85.00 30.00 42.25 0.5 0.5
90.00 30.00 -159.11 0.5 0.5
0.00 40.00 31.86 0.0 1.0
5.00 40.00 32.49 0.0 1.0
10.00 40.00 31.82 0.0 1.0
15.00 40.00 28.35 0.0 1.0
20.00 40.00 28.56 0.0 1.0
25.00 40.00 33.65 0.0 1.0
30.00 40.00 34.03 0.0 1.0
35.00 40.00 31.36 0.0 1.0
40.00 40.00 34.35 0.0 1.0
45.00 40.00 34.63 0.5 0.5
50.00 40.00 29.92 0.5 0.5
55.00 40.00 32.75 0.5 0.5
60.00 40.00 35.75 0.5 0.5
65.00 40.00 32.00 0.5 0.5
70.00 40.00 34.52 0.5 0.5
75.00 40.00 36.93 0.5 0.5
80.00 40.00 38.67 0.5 0.5
85.00 40.00 41.33 0.5 0.5
90.00 40.00 -160.15 0.5 0.5
0.00 50.00 31.86 0.0 1.0
5.00 50.00 32.52 0.0 1.0
10.00 50.00 31.99 0.0 1.0
15.00 50.00 28.85 0.0 1.0
20.00 50.00 28.00 0.0 1.0
25.00 50.00 33.63 0.0 1.0
30.00 50.00 35.13 0.0 1.0
35.00 50.00 32.27 0.0 1.0
40.00 50.00 31.89 0.0 1.0
45.00 50.00 33.02 0.5 0.5
50.00 50.00 27.09 0.5 0.5
55.00 50.00 32.15 0.5 0.5
60.00 50.00 36.42 0.5 0.5
65.00 50.00 33.70 0.5 0.5
70.00 50.00 33.70 0.5 0.5
75.00 50.00 38.32 0.5 0.5
80.00 50.00 38.53 0.5 0.5
85.00 50.00 39.22 0.5 0.5
90.00 50.00 -162.49 0.5 0.5
0.00 60.00 31.86 0.0 1.0
5.00 60.00 32.53 0.0 1.0
10.00 60.00 32.15 0.0 1.0
15.00 60.00 29.61 0.0 1.0
20.00 60.00 28.02 0.0 1.0
25.00 60.00 33.43 0.0 1.0
30.00 60.00 35.94 0.0 1.0
35.00 60.00 34.08 0.0 1.0
40.00 60.00 28.74 0.0 1.0
45.00 60.00 30.94 0.5 0.5
50.00 60.00 29.51 0.5 0.5
55.00 60.00 31.29 0.5 0.5
60.00 60.00 35.30 0.5 0.5
65.00 60.00 32.62 0.5 0.5
70.00 60.00 29.62 0.5 0.5
75.00 60.00 37.70 0.5 0.5
80.00 60.00 37.73 0.5 0.5
85.00 60.00 35.29 0.5 0.5
90.00 60.00 -167.09 0.5 0.5
0.00 70.00 31.86 0.0 1.0
5.00 70.00 32.52 0.0 1.0
10.00 70.00 32.33 0.0 1.0
15.00 70.00 30.53 0.0 1.0
20.00 70.00 29.02 0.0 1.0
25.00 70.00 33.18 0.0 1.0
30.00 70.00 36.24 0.0 1.0
35.00 70.00 35.61 0.0 1.0
40.00 70.00 29.15 0.0 1.0
45.00 70.00 28.72 0.5 0.5
50.00 70.00 33.66 0.5 0.5
55.00 70.00 33.60 0.5 0.5
60.00 70.00 32.41 0.5 0.5
65.00 70.00 27.74 0.5 0.5
70.00 70.00 26.63 0.5 0.5
75.00 70.00 35.48 0.5 0.5
80.00 70.00 36.89 0.5 0.5
85.00 70.00 34.39 0.5 0.5
90.00 70.00 -168.56 0.5 0.5
0.00 80.00 31.86 0.0 1.0
5.00 80.00 32.49 0.0 1.0
10.00 80.00 32.49 0.0 1.0
15.00 80.00 31.50 0.0 1.0
20.00 80.00 30.69 0.0 1.0
25.00 80.00 33.24 0.0 1.0
30.00 80.00 36.07 0.0 1.0
35.00 80.00 36.23 0.0 1.0
40.00 80.00 32.07 0.0 1.0
45.00 80.00 28.31 0.5 0.5
50.00 80.00 34.91 0.5 0.5
55.00 80.00 36.24 0.5 0.5
60.00 80.00 32.49 0.5 0.5
65.00 80.00 16.07 0.5 0.5
70.00 80.00 32.46 0.5 0.5
75.00 80.00 35.22 0.5 0.5
80.00 80.00 35.75 0.5 0.5
85.00 80.00 33.41 0.5 0.5
90.00 80.00 -169.57 0.5 0.5
0.00 90.00 31.86 0.0 1.0
5.00 90.00 32.44 0.0 1.0
10.00 90.00 32.65 0.0 1.0
15.00 90.00 32.40 0.0 1.0
20.00 90.00 32.39 0.0 1.0
