# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 121.5 MHz
# Altitude: 5000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -29.01 0.0 1.0
5.00 0.00 -29.78 0.0 1.0
10.00 0.00 -30.41 0.0 1.0
15.00 0.00 -31.05 0.0 1.0
20.00 0.00 -31.81 0.0 1.0
25.00 0.00 -32.39 0.0 1.0
30.00 0.00 -31.62 0.0 1.0
35.00 0.00 -28.96 0.0 1.0
40.00 0.00 -26.21 0.0 1.0
45.00 0.00 -24.42 0.5 0.5
50.00 0.00 -23.66 0.5 0.5
55.00 0.00 -23.77 0.5 0.5
60.00 0.00 -24.55 0.5 0.5
65.00 0.00 -25.87 0.5 0.5
70.00 0.00 -27.41 0.5 0.5
75.00 0.00 -29.30 0.5 0.5
80.00 0.00 -33.62 0.5 0.5
85.00 0.00 -41.33 0.5 0.5
0.00 10.00 -29.01 0.0 1.0
5.00 10.00 -29.42 0.0 1.0
10.00 10.00 -29.60 0.0 1.0
15.00 10.00 -29.87 0.0 1.0
20.00 10.00 -30.53 0.0 1.0
25.00 10.00 -31.48 0.0 1.0
30.00 10.00 -31.14 0.0 1.0
35.00 10.00 -28.48 0.0 1.0
40.00 10.00 -25.79 0.0 1.0
45.00 10.00 -24.12 0.5 0.5
50.00 10.00 -23.44 0.5 0.5
55.00 10.00 -23.72 0.5 0.5
60.00 10.00 -24.85 0.5 0.5
65.00 10.00 -26.92 0.5 0.5
70.00 10.00 -29.95 0.5 0.5
75.00 10.00 -31.68 0.5 0.5
80.00 10.00 -33.20 0.5 0.5
85.00 10.00 -37.72 0.5 0.5
0.00 20.00 -29.01 0.0 1.0
5.00 20.00 -29.08 0.0 1.0
10.00 20.00 -28.96 0.0 1.0
15.00 20.00 -29.02 0.0 1.0
20.00 20.00 -29.58 0.0 1.0
25.00 20.00 -30.53 0.0 1.0
30.00 20.00 -30.36 0.0 1.0
35.00 20.00 -28.09 0.0 1.0
40.00 20.00 -25.74 0.0 1.0
45.00 20.00 -24.30 0.5 0.5
50.00 20.00 -23.90 0.5 0.5
55.00 20.00 -24.64 0.5 0.5
60.00 20.00 -26.56 0.5 0.5
65.00 20.00 -29.25 0.5 0.5
70.00 20.00 -28.36 0.5 0.5
75.00 20.00 -25.91 0.5 0.5
80.00 20.00 -26.50 0.5 0.5
85.00 20.00 -31.27 0.5 0.5
0.00 30.00 -29.01 0.0 1.0
5.00 30.00 -28.80 0.0 1.0
10.00 30.00 -28.52 0.0 1.0
