# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 121.5 MHz
# Altitude: 5000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 15.25 0.0 1.0
5.00 0.00 12.99 0.0 1.0
10.00 0.00 11.23 0.0 1.0
15.00 0.00 12.95 0.0 1.0
20.00 0.00 14.14 0.0 1.0
25.00 0.00 12.78 0.0 1.0
30.00 0.00 9.14 0.0 1.0
35.00 0.00 9.17 0.0 1.0
40.00 0.00 9.52 0.0 1.0
45.00 0.00 4.83 0.5 0.5
50.00 0.00 11.78 0.5 0.5
55.00 0.00 16.45 0.5 0.5
60.00 0.00 16.42 0.5 0.5
65.00 0.00 13.00 0.5 0.5
70.00 0.00 14.08 0.5 0.5
75.00 0.00 15.64 0.5 0.5
80.00 0.00 15.33 0.5 0.5
85.00 0.00 13.10 0.5 0.5
90.00 0.00 -189.63 0.5 0.5
0.00 10.00 15.25 0.0 1.0
5.00 10.00 12.94 0.0 1.0
10.00 10.00 11.12 0.0 1.0
15.00 10.00 12.76 0.0 1.0
20.00 10.00 13.72 0.0 1.0
25.00 10.00 11.93 0.0 1.0
30.00 10.00 8.34 0.0 1.0
35.00 10.00 10.54 0.0 1.0
40.00 10.00 11.88 0.0 1.0
45.00 10.00 10.15 0.5 0.5
50.00 10.00 13.76 0.5 0.5
55.00 10.00 17.22 0.5 0.5
60.00 10.00 16.49 0.5 0.5
65.00 10.00 11.35 0.5 0.5
70.00 10.00 13.34 0.5 0.5
75.00 10.00 15.57 0.5 0.5
80.00 10.00 13.13 0.5 0.5
85.00 10.00 7.03 0.5 0.5
90.00 10.00 -196.90 0.5 0.5
0.00 20.00 15.25 0.0 1.0
5.00 20.00 12.96 0.0 1.0
10.00 20.00 11.01 0.0 1.0
15.00 20.00 12.34 0.0 1.0
20.00 20.00 13.10 0.0 1.0
25.00 20.00 11.18 0.0 1.0
30.00 20.00 9.18 0.0 1.0
35.00 20.00 12.71 0.0 1.0
40.00 20.00 14.28 0.0 1.0
