# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 121.5 MHz
# Altitude: 6000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -63.11 0.0 1.0
5.00 0.00 -65.16 0.0 1.0
10.00 0.00 -66.78 0.0 1.0
15.00 0.00 -67.66 0.0 1.0
20.00 0.00 -66.98 0.0 1.0
25.00 0.00 -64.91 0.0 1.0
30.00 0.00 -62.55 0.0 1.0
35.00 0.00 -60.13 0.0 1.0
40.00 0.00 -57.54 0.0 1.0
45.00 0.00 -55.07 0.5 0.5
50.00 0.00 -53.09 0.5 0.5
55.00 0.00 -51.48 0.5 0.5
60.00 0.00 -50.09 0.5 0.5
65.00 0.00 -49.17 0.5 0.5
70.00 0.00 -49.17 0.5 0.5
75.00 0.00 -50.24 0.5 0.5
80.00 0.00 -52.51 0.5 0.5
85.00 0.00 -57.35 0.5 0.5
0.00 10.00 -63.11 0.0 1.0
5.00 10.00 -64.98 0.0 1.0
10.00 10.00 -66.10 0.0 1.0
15.00 10.00 -66.24 0.0 1.0
20.00 10.00 -65.03 0.0 1.0
25.00 10.00 -63.10 0.0 1.0
30.00 10.00 -61.36 0.0 1.0
35.00 10.00 -59.89 0.0 1.0
40.00 10.00 -58.19 0.0 1.0
45.00 10.00 -56.13 0.5 0.5
50.00 10.00 -54.01 0.5 0.5
55.00 10.00 -51.88 0.5 0.5
60.00 10.00 -49.89 0.5 0.5
65.00 10.00 -48.59 0.5 0.5
70.00 10.00 -48.37 0.5 0.5
75.00 10.00 -49.30 0.5 0.5
80.00 10.00 -51.45 0.5 0.5
85.00 10.00 -56.24 0.5 0.5
0.00 20.00 -63.11 0.0 1.0
5.00 20.00 -64.74 0.0 1.0
10.00 20.00 -65.30 0.0 1.0
15.00 20.00 -64.67 0.0 1.0
20.00 20.00 -62.93 0.0 1.0
25.00 20.00 -60.95 0.0 1.0
30.00 20.00 -59.50 0.0 1.0
35.00 20.00 -58.66 0.0 1.0
40.00 20.00 -58.04 0.0 1.0
45.00 20.00 -57.10 0.5 0.5
50.00 20.00 -55.50 0.5 0.5
55.00 20.00 -53.18 0.5 0.5
60.00 20.00 -50.77 0.5 0.5
65.00 20.00 -49.15 0.5 0.5
70.00 20.00 -48.73 0.5 0.5
75.00 20.00 -49.48 0.5 0.5
80.00 20.00 -51.52 0.5 0.5
85.00 20.00 -56.30 0.5 0.5
0.00 30.00 -63.11 0.0 1.0
5.00 30.00 -64.46 0.0 1.0
