# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 121.5 MHz
# Altitude: 7000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -31.68 0.0 1.0
5.00 0.00 -33.82 0.0 1.0
10.00 0.00 -34.84 0.0 1.0
15.00 0.00 -35.66 0.0 1.0
20.00 0.00 -36.65 0.0 1.0
25.00 0.00 -37.11 0.0 1.0
30.00 0.00 -37.41 0.0 1.0
35.00 0.00 -38.08 0.0 1.0
40.00 0.00 -38.66 0.0 1.0
45.00 0.00 -38.58 0.5 0.5
50.00 0.00 -37.66 0.5 0.5
55.00 0.00 -36.81 0.5 0.5
60.00 0.00 -37.09 0.5 0.5
65.00 0.00 -38.07 0.5 0.5
70.00 0.00 -38.48 0.5 0.5
75.00 0.00 -38.97 0.5 0.5
80.00 0.00 -41.37 0.5 0.5
85.00 0.00 -46.77 0.5 0.5
0.00 10.00 -31.68 0.0 1.0
5.00 10.00 -34.42 0.0 1.0
10.00 10.00 -35.42 0.0 1.0
15.00 10.00 -36.15 0.0 1.0
20.00 10.00 -36.91 0.0 1.0
25.00 10.00 -37.12 0.0 1.0
30.00 10.00 -37.53 0.0 1.0
35.00 10.00 -38.41 0.0 1.0
40.00 10.00 -39.56 0.0 1.0
45.00 10.00 -41.27 0.5 0.5
50.00 10.00 -43.38 0.5 0.5
55.00 10.00 -46.11 0.5 0.5
60.00 10.00 -52.23 0.5 0.5
65.00 10.00 -54.23 0.5 0.5
70.00 10.00 -49.95 0.5 0.5
75.00 10.00 -48.12 0.5 0.5
80.00 10.00 -47.71 0.5 0.5
85.00 10.00 -50.18 0.5 0.5
0.00 20.00 -31.68 0.0 1.0
5.00 20.00 -34.94 0.0 1.0
10.00 20.00 -35.84 0.0 1.0
15.00 20.00 -36.44 0.0 1.0
20.00 20.00 -37.11 0.0 1.0
25.00 20.00 -37.61 0.0 1.0
30.00 20.00 -38.84 0.0 1.0
35.00 20.00 -40.84 0.0 1.0
40.00 20.00 -43.58 0.0 1.0
45.00 20.00 -47.59 0.5 0.5
50.00 20.00 -48.43 0.5 0.5
55.00 20.00 -44.41 0.5 0.5
60.00 20.00 -41.07 0.5 0.5
65.00 20.00 -39.52 0.5 0.5
70.00 20.00 -40.13 0.5 0.5
75.00 20.00 -42.37 0.5 0.5
80.00 20.00 -44.83 0.5 0.5
