# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 14.0 MHz
# Altitude: 12000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 18.88 0.0 1.0
5.00 0.00 19.01 0.0 1.0
10.00 0.00 19.00 0.0 1.0
15.00 0.00 18.86 0.0 1.0
20.00 0.00 18.59 0.0 1.0
25.00 0.00 18.18 0.0 1.0
30.00 0.00 17.64 0.0 1.0
35.00 0.00 16.95 0.0 1.0
40.00 0.00 16.11 0.0 1.0
45.00 0.00 15.10 0.5 0.5
50.00 0.00 13.90 0.5 0.5
55.00 0.00 12.51 0.5 0.5
60.00 0.00 10.88 0.5 0.5
65.00 0.00 8.99 0.5 0.5
70.00 0.00 6.77 0.5 0.5
75.00 0.00 4.10 0.5 0.5
80.00 0.00 0.63 0.5 0.5
85.00 0.00 -4.93 0.5 0.5
0.00 10.00 18.88 0.0 1.0
5.00 10.00 18.99 0.0 1.0
10.00 10.00 18.95 0.0 1.0
15.00 10.00 18.78 0.0 1.0
20.00 10.00 18.46 0.0 1.0
25.00 10.00 18.01 0.0 1.0
30.00 10.00 17.42 0.0 1.0
35.00 10.00 16.68 0.0 1.0
40.00 10.00 15.80 0.0 1.0
45.00 10.00 14.75 0.5 0.5
50.00 10.00 13.54 0.5 0.5
55.00 10.00 12.13 0.5 0.5
60.00 10.00 10.51 0.5 0.5
65.00 10.00 8.66 0.5 0.5
70.00 10.00 6.53 0.5 0.5
75.00 10.00 4.03 0.5 0.5
80.00 10.00 0.88 0.5 0.5
85.00 10.00 -4.17 0.5 0.5
90.00 10.00 -197.94 0.5 0.5
0.00 20.00 18.88 0.0 1.0
5.00 20.00 18.97 0.0 1.0
10.00 20.00 18.91 0.0 1.0
15.00 20.00 18.71 0.0 1.0
20.00 20.00 18.38 0.0 1.0
25.00 20.00 17.91 0.0 1.0
30.00 20.00 17.32 0.0 1.0
35.00 20.00 16.60 0.0 1.0
40.00 20.00 15.75 0.0 1.0
45.00 20.00 14.76 0.5 0.5
50.00 20.00 13.65 0.5 0.5
55.00 20.00 12.38 0.5 0.5
60.00 20.00 10.96 0.5 0.5
65.00 20.00 9.35 0.5 0.5
70.00 20.00 7.53 0.5 0.5
75.00 20.00 5.37 0.5 0.5
80.00 20.00 2.55 0.5 0.5
85.00 20.00 -2.25 0.5 0.5
90.00 20.00 -198.98 0.5 0.5
0.00 30.00 18.88 0.0 1.0
5.00 30.00 18.95 0.0 1.0
10.00 30.00 18.87 0.0 1.0
15.00 30.00 18.67 0.0 1.0
20.00 30.00 18.34 0.0 1.0
25.00 30.00 17.89 0.0 1.0
30.00 30.00 17.33 0.0 1.0
35.00 30.00 16.67 0.0 1.0
40.00 30.00 15.90 0.0 1.0
45.00 30.00 15.03 0.5 0.5
50.00 30.00 14.06 0.5 0.5
55.00 30.00 12.97 0.5 0.5
60.00 30.00 11.74 0.5 0.5
65.00 30.00 10.35 0.5 0.5
70.00 30.00 8.73 0.5 0.5
75.00 30.00 6.72 0.5 0.5
80.00 30.00 3.98 0.5 0.5
85.00 30.00 -0.86 0.5 0.5
90.00 30.00 -193.50 0.5 0.5
0.00 40.00 18.88 0.0 1.0
5.00 40.00 18.93 0.0 1.0
10.00 40.00 18.84 0.0 1.0
15.00 40.00 18.64 0.0 1.0
20.00 40.00 18.33 0.0 1.0
25.00 40.00 17.93 0.0 1.0
30.00 40.00 17.43 0.0 1.0
35.00 40.00 16.84 0.0 1.0
40.00 40.00 16.17 0.0 1.0
45.00 40.00 15.42 0.5 0.5
50.00 40.00 14.58 0.5 0.5
55.00 40.00 13.63 0.5 0.5
60.00 40.00 12.55 0.5 0.5
65.00 40.00 11.27 0.5 0.5
70.00 40.00 9.72 0.5 0.5
75.00 40.00 7.73 0.5 0.5
80.00 40.00 4.91 0.5 0.5
85.00 40.00 -0.10 0.5 0.5
90.00 40.00 -198.87 0.5 0.5
0.00 50.00 18.88 0.0 1.0
5.00 50.00 18.90 0.0 1.0
10.00 50.00 18.82 0.0 1.0
15.00 50.00 18.63 0.0 1.0
20.00 50.00 18.36 0.0 1.0
25.00 50.00 18.00 0.0 1.0
30.00 50.00 17.57 0.0 1.0
35.00 50.00 17.07 0.0 1.0
40.00 50.00 16.50 0.0 1.0
45.00 50.00 15.85 0.5 0.5
50.00 50.00 15.12 0.5 0.5
55.00 50.00 14.27 0.5 0.5
60.00 50.00 13.26 0.5 0.5
65.00 50.00 12.04 0.5 0.5
70.00 50.00 10.51 0.5 0.5
75.00 50.00 8.47 0.5 0.5
80.00 50.00 5.53 0.5 0.5
85.00 50.00 0.28 0.5 0.5
90.00 50.00 -199.26 0.5 0.5
0.00 60.00 18.88 0.0 1.0
5.00 60.00 18.88 0.0 1.0
10.00 60.00 18.80 0.0 1.0
15.00 60.00 18.63 0.0 1.0
20.00 60.00 18.39 0.0 1.0
25.00 60.00 18.09 0.0 1.0
30.00 60.00 17.73 0.0 1.0
35.00 60.00 17.31 0.0 1.0
40.00 60.00 16.83 0.0 1.0
45.00 60.00 16.27 0.5 0.5
50.00 60.00 15.61 0.5 0.5
55.00 60.00 14.83 0.5 0.5
60.00 60.00 13.88 0.5 0.5
65.00 60.00 12.69 0.5 0.5
70.00 60.00 11.15 0.5 0.5
75.00 60.00 9.07 0.5 0.5
80.00 60.00 6.00 0.5 0.5
85.00 60.00 0.53 0.5 0.5
90.00 60.00 -195.48 0.5 0.5
0.00 70.00 18.88 0.0 1.0
5.00 70.00 18.86 0.0 1.0
10.00 70.00 18.77 0.0 1.0
15.00 70.00 18.63 0.0 1.0
20.00 70.00 18.43 0.0 1.0
25.00 70.00 18.18 0.0 1.0
30.00 70.00 17.88 0.0 1.0
35.00 70.00 17.53 0.0 1.0
40.00 70.00 17.11 0.0 1.0
45.00 70.00 16.62 0.5 0.5
50.00 70.00 16.03 0.5 0.5
55.00 70.00 15.30 0.5 0.5
60.00 70.00 14.40 0.5 0.5
65.00 70.00 13.24 0.5 0.5
70.00 70.00 11.71 0.5 0.5
75.00 70.00 9.61 0.5 0.5
80.00 70.00 6.47 0.5 0.5
85.00 70.00 0.83 0.5 0.5
90.00 70.00 -197.08 0.5 0.5
0.00 80.00 18.88 0.0 1.0
5.00 80.00 18.84 0.0 1.0
10.00 80.00 18.75 0.0 1.0
15.00 80.00 18.61 0.0 1.0
20.00 80.00 18.44 0.0 1.0
25.00 80.00 18.24 0.0 1.0
30.00 80.00 17.99 0.0 1.0
35.00 80.00 17.69 0.0 1.0
40.00 80.00 17.33 0.0 1.0
45.00 80.00 16.89 0.5 0.5
50.00 80.00 16.35 0.5 0.5
55.00 80.00 15.67 0.5 0.5
60.00 80.00 14.80 0.5 0.5
65.00 80.00 13.67 0.5 0.5
70.00 80.00 12.17 0.5 0.5
75.00 80.00 10.08 0.5 0.5
80.00 80.00 6.93 0.5 0.5
85.00 80.00 1.25 0.5 0.5
90.00 80.00 -197.72 0.5 0.5
0.00 90.00 18.88 0.0 1.0
5.00 90.00 18.81 0.0 1.0
10.00 90.00 18.71 0.0 1.0
15.00 90.00 18.59 0.0 1.0
20.00 90.00 18.43 0.0 1.0
25.00 90.00 18.25 0.0 1.0
30.00 90.00 18.03 0.0 1.0
35.00 90.00 17.77 0.0 1.0
40.00 90.00 17.45 0.0 1.0
45.00 90.00 17.04 0.5 0.5
50.00 90.00 16.53 0.5 0.5
55.00 90.00 15.88 0.5 0.5
60.00 90.00 15.04 0.5 0.5
65.00 90.00 13.94 0.5 0.5
70.00 90.00 12.47 0.5 0.5
75.00 90.00 10.41 0.5 0.5
80.00 90.00 7.29 0.5 0.5
85.00 90.00 1.65 0.5 0.5
90.00 90.00 -199.75 0.5 0.5
0.00 100.00 18.88 0.0 1.0
5.00 100.00 18.79 0.0 1.0
10.00 100.00 18.67 0.0 1.0
15.00 100.00 18.54 0.0 1.0
20.00 100.00 18.39 0.0 1.0
25.00 100.00 18.21 0.0 1.0
30.00 100.00 18.01 0.0 1.0
35.00 100.00 17.76 0.0 1.0
40.00 100.00 17.44 0.0 1.0
45.00 100.00 17.05 0.5 0.5
50.00 100.00 16.55 0.5 0.5
55.00 100.00 15.92 0.5 0.5
60.00 100.00 15.09 0.5 0.5
65.00 100.00 14.00 0.5 0.5
70.00 100.00 12.54 0.5 0.5
75.00 100.00 10.49 0.5 0.5
80.00 100.00 7.41 0.5 0.5
85.00 100.00 1.82 0.5 0.5
90.00 100.00 -195.36 0.5 0.5
0.00 110.00 18.88 0.0 1.0
5.00 110.00 18.76 0.0 1.0
10.00 110.00 18.62 0.0 1.0
15.00 110.00 18.47 0.0 1.0
20.00 110.00 18.31 0.0 1.0
25.00 110.00 18.12 0.0 1.0
30.00 110.00 17.90 0.0 1.0
35.00 110.00 17.63 0.0 1.0
40.00 110.00 17.31 0.0 1.0
45.00 110.00 16.90 0.5 0.5
50.00 110.00 16.39 0.5 0.5
55.00 110.00 15.74 0.5 0.5
60.00 110.00 14.90 0.5 0.5
65.00 110.00 13.79 0.5 0.5
70.00 110.00 12.32 0.5 0.5
75.00 110.00 10.26 0.5 0.5
80.00 110.00 7.17 0.5 0.5
85.00 110.00 1.57 0.5 0.5
90.00 110.00 -198.28 0.5 0.5
0.00 120.00 18.88 0.0 1.0
5.00 120.00 18.73 0.0 1.0
10.00 120.00 18.57 0.0 1.0
15.00 120.00 18.38 0.0 1.0
20.00 120.00 18.18 0.0 1.0
25.00 120.00 17.96 0.0 1.0
30.00 120.00 17.70 0.0 1.0
35.00 120.00 17.41 0.0 1.0
40.00 120.00 17.05 0.0 1.0
45.00 120.00 16.61 0.5 0.5
50.00 120.00 16.06 0.5 0.5
55.00 120.00 15.37 0.5 0.5
60.00 120.00 14.49 0.5 0.5
65.00 120.00 13.35 0.5 0.5
70.00 120.00 11.83 0.5 0.5
75.00 120.00 9.73 0.5 0.5
80.00 120.00 6.58 0.5 0.5
85.00 120.00 0.92 0.5 0.5
90.00 120.00 -191.25 0.5 0.5
0.00 130.00 18.88 0.0 1.0
5.00 130.00 18.71 0.0 1.0
10.00 130.00 18.50 0.0 1.0
15.00 130.00 18.28 0.0 1.0
20.00 130.00 18.03 0.0 1.0
25.00 130.00 17.75 0.0 1.0
30.00 130.00 17.44 0.0 1.0
35.00 130.00 17.09 0.0 1.0
40.00 130.00 16.68 0.0 1.0
45.00 130.00 16.20 0.5 0.5
50.00 130.00 15.61 0.5 0.5
55.00 130.00 14.89 0.5 0.5
60.00 130.00 13.97 0.5 0.5
65.00 130.00 12.80 0.5 0.5
70.00 130.00 11.26 0.5 0.5
75.00 130.00 9.14 0.5 0.5
80.00 130.00 5.98 0.5 0.5
85.00 130.00 0.32 0.5 0.5
0.00 140.00 18.88 0.0 1.0
5.00 140.00 18.68 0.0 1.0
10.00 140.00 18.44 0.0 1.0
15.00 140.00 18.16 0.0 1.0
20.00 140.00 17.84 0.0 1.0
25.00 140.00 17.50 0.0 1.0
30.00 140.00 17.13 0.0 1.0
35.00 140.00 16.72 0.0 1.0
40.00 140.00 16.26 0.0 1.0
45.00 140.00 15.74 0.5 0.5
50.00 140.00 15.14 0.5 0.5
55.00 140.00 14.42 0.5 0.5
60.00 140.00 13.53 0.5 0.5
65.00 140.00 12.41 0.5 0.5
70.00 140.00 10.95 0.5 0.5
75.00 140.00 8.96 0.5 0.5
80.00 140.00 6.01 0.5 0.5
85.00 140.00 0.67 0.5 0.5
90.00 140.00 -193.91 0.5 0.5
0.00 150.00 18.88 0.0 1.0
5.00 150.00 18.66 0.0 1.0
10.00 150.00 18.37 0.0 1.0
15.00 150.00 18.04 0.0 1.0
20.00 150.00 17.65 0.0 1.0
25.00 150.00 17.23 0.0 1.0
30.00 150.00 16.78 0.0 1.0
35.00 150.00 16.31 0.0 1.0
40.00 150.00 15.82 0.0 1.0
45.00 150.00 15.31 0.5 0.5
50.00 150.00 14.74 0.5 0.5
55.00 150.00 14.10 0.5 0.5
60.00 150.00 13.35 0.5 0.5
65.00 150.00 12.41 0.5 0.5
70.00 150.00 11.20 0.5 0.5
75.00 150.00 9.53 0.5 0.5
80.00 150.00 6.98 0.5 0.5
85.00 150.00 2.15 0.5 0.5
0.00 160.00 18.88 0.0 1.0
5.00 160.00 18.64 0.0 1.0
10.00 160.00 18.32 0.0 1.0
15.00 160.00 17.92 0.0 1.0
20.00 160.00 17.46 0.0 1.0
25.00 160.00 16.96 0.0 1.0
30.00 160.00 16.44 0.0 1.0
35.00 160.00 15.92 0.0 1.0
40.00 160.00 15.41 0.0 1.0
45.00 160.00 14.93 0.5 0.5
50.00 160.00 14.47 0.5 0.5
55.00 160.00 13.99 0.5 0.5
60.00 160.00 13.44 0.5 0.5
65.00 160.00 12.77 0.5 0.5
70.00 160.00 11.86 0.5 0.5
75.00 160.00 10.52 0.5 0.5
80.00 160.00 8.33 0.5 0.5
85.00 160.00 3.85 0.5 0.5
90.00 160.00 -198.53 0.5 0.5
0.00 170.00 18.88 0.0 1.0
5.00 170.00 18.63 0.0 1.0
10.00 170.00 18.28 0.0 1.0
15.00 170.00 17.83 0.0 1.0
20.00 170.00 17.30 0.0 1.0
25.00 170.00 16.72 0.0 1.0
30.00 170.00 16.12 0.0 1.0
35.00 170.00 15.54 0.0 1.0
