# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 125.0 MHz
# Altitude: 7000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 85.93 0.0 1.0
5.00 0.00 89.29 0.0 1.0
10.00 0.00 90.97 0.0 1.0
15.00 0.00 92.43 0.0 1.0
20.00 0.00 94.41 0.0 1.0
25.00 0.00 96.56 0.0 1.0
30.00 0.00 98.26 0.0 1.0
35.00 0.00 99.07 0.0 1.0
40.00 0.00 98.56 0.0 1.0
45.00 0.00 95.78 0.5 0.5
50.00 0.00 90.44 0.5 0.5
55.00 0.00 98.27 0.5 0.5
60.00 0.00 104.71 0.5 0.5
65.00 0.00 108.50 0.5 0.5
70.00 0.00 110.57 0.5 0.5
75.00 0.00 111.08 0.5 0.5
80.00 0.00 109.72 0.5 0.5
85.00 0.00 105.10 0.5 0.5
90.00 0.00 -98.91 0.5 0.5
0.00 10.00 85.93 0.0 1.0
5.00 10.00 90.04 0.0 1.0
10.00 10.00 92.00 0.0 1.0
15.00 10.00 94.13 0.0 1.0
20.00 10.00 96.89 0.0 1.0
25.00 10.00 99.46 0.0 1.0
30.00 10.00 101.34 0.0 1.0
35.00 10.00 102.21 0.0 1.0
40.00 10.00 101.61 0.0 1.0
45.00 10.00 98.58 0.5 0.5
50.00 10.00 97.37 0.5 0.5
55.00 10.00 105.27 0.5 0.5
60.00 10.00 110.76 0.5 0.5
65.00 10.00 114.22 0.5 0.5
70.00 10.00 116.18 0.5 0.5
75.00 10.00 116.69 0.5 0.5
80.00 10.00 115.39 0.5 0.5
85.00 10.00 110.82 0.5 0.5
90.00 10.00 -93.14 0.5 0.5
0.00 20.00 85.93 0.0 1.0
5.00 20.00 90.63 0.0 1.0
10.00 20.00 93.01 0.0 1.0
15.00 20.00 96.06 0.0 1.0
20.00 20.00 99.28 0.0 1.0
25.00 20.00 101.89 0.0 1.0
30.00 20.00 103.76 0.0 1.0
35.00 20.00 104.63 0.0 1.0
40.00 20.00 104.01 0.0 1.0
45.00 20.00 101.82 0.5 0.5
50.00 20.00 104.52 0.5 0.5
55.00 20.00 110.86 0.5 0.5
60.00 20.00 115.43 0.5 0.5
65.00 20.00 118.45 0.5 0.5
70.00 20.00 120.21 0.5 0.5
75.00 20.00 120.66 0.5 0.5
80.00 20.00 119.39 0.5 0.5
85.00 20.00 114.87 0.5 0.5
90.00 20.00 -89.06 0.5 0.5
0.00 30.00 85.93 0.0 1.0
5.00 30.00 91.07 0.0 1.0
10.00 30.00 93.99 0.0 1.0
15.00 30.00 97.80 0.0 1.0
20.00 30.00 101.24 0.0 1.0
25.00 30.00 103.92 0.0 1.0
30.00 30.00 105.81 0.0 1.0
35.00 30.00 106.58 0.0 1.0
40.00 30.00 105.87 0.0 1.0
45.00 30.00 105.35 0.5 0.5
50.00 30.00 109.91 0.5 0.5
55.00 30.00 115.06 0.5 0.5
60.00 30.00 118.67 0.5 0.5
65.00 30.00 121.04 0.5 0.5
70.00 30.00 122.42 0.5 0.5
75.00 30.00 122.75 0.5 0.5
80.00 30.00 121.51 0.5 0.5
85.00 30.00 117.08 0.5 0.5
90.00 30.00 -86.80 0.5 0.5
0.00 40.00 85.93 0.0 1.0
5.00 40.00 91.40 0.0 1.0
10.00 40.00 94.81 0.0 1.0
15.00 40.00 99.09 0.0 1.0
20.00 40.00 102.70 0.0 1.0
25.00 40.00 105.50 0.0 1.0
30.00 40.00 107.41 0.0 1.0
35.00 40.00 108.00 0.0 1.0
40.00 40.00 107.09 0.0 1.0
45.00 40.00 108.06 0.5 0.5
50.00 40.00 113.44 0.5 0.5
55.00 40.00 117.87 0.5 0.5
60.00 40.00 120.58 0.5 0.5
65.00 40.00 121.99 0.5 0.5
70.00 40.00 122.64 0.5 0.5
75.00 40.00 122.73 0.5 0.5
80.00 40.00 121.65 0.5 0.5
85.00 40.00 117.48 0.5 0.5
90.00 40.00 -86.24 0.5 0.5
0.00 50.00 85.93 0.0 1.0
5.00 50.00 91.61 0.0 1.0
10.00 50.00 95.35 0.0 1.0
15.00 50.00 99.87 0.0 1.0
20.00 50.00 103.57 0.0 1.0
25.00 50.00 106.46 0.0 1.0
30.00 50.00 108.34 0.0 1.0
35.00 50.00 108.69 0.0 1.0
40.00 50.00 107.37 0.0 1.0
45.00 50.00 109.47 0.5 0.5
50.00 50.00 115.44 0.5 0.5
55.00 50.00 119.53 0.5 0.5
60.00 50.00 121.51 0.5 0.5
65.00 50.00 121.70 0.5 0.5
70.00 50.00 120.75 0.5 0.5
75.00 50.00 120.09 0.5 0.5
80.00 50.00 119.57 0.5 0.5
85.00 50.00 116.13 0.5 0.5
90.00 50.00 -87.21 0.5 0.5
0.00 60.00 85.93 0.0 1.0
5.00 60.00 91.70 0.0 1.0
10.00 60.00 95.55 0.0 1.0
15.00 60.00 100.11 0.0 1.0
20.00 60.00 103.81 0.0 1.0
25.00 60.00 106.68 0.0 1.0
30.00 60.00 108.46 0.0 1.0
35.00 60.00 108.57 0.0 1.0
40.00 60.00 106.86 0.0 1.0
45.00 60.00 110.00 0.5 0.5
50.00 60.00 116.33 0.5 0.5
55.00 60.00 120.26 0.5 0.5
60.00 60.00 121.87 0.5 0.5
65.00 60.00 121.18 0.5 0.5
70.00 60.00 117.89 0.5 0.5
75.00 60.00 114.42 0.5 0.5
80.00 60.00 115.79 0.5 0.5
85.00 60.00 113.90 0.5 0.5
90.00 60.00 -88.88 0.5 0.5
0.00 70.00 85.93 0.0 1.0
5.00 70.00 91.68 0.0 1.0
10.00 70.00 95.40 0.0 1.0
15.00 70.00 99.83 0.0 1.0
20.00 70.00 103.43 0.0 1.0
25.00 70.00 106.23 0.0 1.0
30.00 70.00 107.98 0.0 1.0
35.00 70.00 108.10 0.0 1.0
40.00 70.00 106.66 0.0 1.0
45.00 70.00 109.99 0.5 0.5
50.00 70.00 116.12 0.5 0.5
55.00 70.00 120.01 0.5 0.5
60.00 70.00 121.72 0.5 0.5
65.00 70.00 121.39 0.5 0.5
70.00 70.00 119.37 0.5 0.5
75.00 70.00 117.90 0.5 0.5
80.00 70.00 117.97 0.5 0.5
85.00 70.00 115.10 0.5 0.5
90.00 70.00 -88.00 0.5 0.5
0.00 80.00 85.93 0.0 1.0
5.00 80.00 91.53 0.0 1.0
10.00 80.00 94.93 0.0 1.0
15.00 80.00 99.07 0.0 1.0
20.00 80.00 102.56 0.0 1.0
25.00 80.00 105.34 0.0 1.0
30.00 80.00 107.23 0.0 1.0
35.00 80.00 107.76 0.0 1.0
40.00 80.00 106.92 0.0 1.0
45.00 80.00 108.91 0.5 0.5
50.00 80.00 114.49 0.5 0.5
55.00 80.00 118.67 0.5 0.5
60.00 80.00 121.04 0.5 0.5
65.00 80.00 122.01 0.5 0.5
70.00 80.00 122.20 0.5 0.5
75.00 80.00 122.11 0.5 0.5
80.00 80.00 121.16 0.5 0.5
85.00 80.00 117.18 0.5 0.5
90.00 80.00 -86.43 0.5 0.5
0.00 90.00 85.93 0.0 1.0
5.00 90.00 91.27 0.0 1.0
10.00 90.00 94.19 0.0 1.0
15.00 90.00 97.89 0.0 1.0
