# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 125.0 MHz
# Altitude: 9000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 69.17 0.0 1.0
5.00 0.00 69.04 0.0 1.0
10.00 0.00 68.41 0.0 1.0
15.00 0.00 67.75 0.0 1.0
20.00 0.00 67.61 0.0 1.0
25.00 0.00 67.11 0.0 1.0
30.00 0.00 64.55 0.0 1.0
35.00 0.00 58.61 0.0 1.0
40.00 0.00 44.66 0.0 1.0
45.00 0.00 51.26 0.5 0.5
50.00 0.00 53.72 0.5 0.5
55.00 0.00 37.17 0.5 0.5
60.00 0.00 53.27 0.5 0.5
65.00 0.00 54.26 0.5 0.5
70.00 0.00 49.03 0.5 0.5
75.00 0.00 50.13 0.5 0.5
80.00 0.00 50.12 0.5 0.5
85.00 0.00 53.45 0.5 0.5
90.00 0.00 -147.75 0.5 0.5
0.00 10.00 69.17 0.0 1.0
5.00 10.00 69.05 0.0 1.0
10.00 10.00 68.46 0.0 1.0
15.00 10.00 67.82 0.0 1.0
20.00 10.00 67.65 0.0 1.0
25.00 10.00 67.14 0.0 1.0
30.00 10.00 64.64 0.0 1.0
35.00 10.00 58.69 0.0 1.0
40.00 10.00 45.38 0.0 1.0
45.00 10.00 50.90 0.5 0.5
50.00 10.00 53.46 0.5 0.5
55.00 10.00 45.58 0.5 0.5
60.00 10.00 54.73 0.5 0.5
65.00 10.00 55.01 0.5 0.5
70.00 10.00 51.48 0.5 0.5
75.00 10.00 50.81 0.5 0.5
80.00 10.00 53.43 0.5 0.5
85.00 10.00 56.06 0.5 0.5
90.00 10.00 -145.63 0.5 0.5
0.00 20.00 69.17 0.0 1.0
5.00 20.00 69.09 0.0 1.0
10.00 20.00 68.61 0.0 1.0
15.00 20.00 68.04 0.0 1.0
20.00 20.00 67.77 0.0 1.0
25.00 20.00 67.20 0.0 1.0
30.00 20.00 64.75 0.0 1.0
35.00 20.00 58.61 0.0 1.0
40.00 20.00 50.39 0.0 1.0
45.00 20.00 54.49 0.5 0.5
50.00 20.00 56.02 0.5 0.5
55.00 20.00 53.71 0.5 0.5
60.00 20.00 56.88 0.5 0.5
65.00 20.00 55.67 0.5 0.5
70.00 20.00 51.61 0.5 0.5
75.00 20.00 53.42 0.5 0.5
80.00 20.00 53.99 0.5 0.5
85.00 20.00 56.50 0.5 0.5
90.00 20.00 -145.25 0.5 0.5
0.00 30.00 69.17 0.0 1.0
5.00 30.00 69.15 0.0 1.0
10.00 30.00 68.84 0.0 1.0
15.00 30.00 68.40 0.0 1.0
20.00 30.00 68.03 0.0 1.0
25.00 30.00 67.29 0.0 1.0
30.00 30.00 64.77 0.0 1.0
35.00 30.00 57.97 0.0 1.0
40.00 30.00 56.39 0.0 1.0
45.00 30.00 60.89 0.5 0.5
50.00 30.00 61.37 0.5 0.5
55.00 30.00 58.80 0.5 0.5
60.00 30.00 56.23 0.5 0.5
65.00 30.00 56.56 0.5 0.5
70.00 30.00 54.19 0.5 0.5
75.00 30.00 55.49 0.5 0.5
80.00 30.00 48.50 0.5 0.5
85.00 30.00 42.48 0.5 0.5
90.00 30.00 -155.40 0.5 0.5
0.00 40.00 69.17 0.0 1.0
5.00 40.00 69.21 0.0 1.0
10.00 40.00 69.12 0.0 1.0
15.00 40.00 68.90 0.0 1.0
20.00 40.00 68.51 0.0 1.0
25.00 40.00 67.57 0.0 1.0
30.00 40.00 64.82 0.0 1.0
35.00 40.00 56.73 0.0 1.0
40.00 40.00 60.13 0.0 1.0
45.00 40.00 65.34 0.5 0.5
50.00 40.00 65.41 0.5 0.5
55.00 40.00 61.31 0.5 0.5
60.00 40.00 52.87 0.5 0.5
65.00 40.00 62.30 0.5 0.5
70.00 40.00 62.92 0.5 0.5
75.00 40.00 54.12 0.5 0.5
80.00 40.00 61.80 0.5 0.5
