# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 243.0 MHz
# Altitude: 5000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 228.92 0.0 1.0
5.00 0.00 226.76 0.0 1.0
10.00 0.00 222.10 0.0 1.0
15.00 0.00 223.59 0.0 1.0
20.00 0.00 223.29 0.0 1.0
25.00 0.00 219.47 0.0 1.0
30.00 0.00 206.40 0.0 1.0
35.00 0.00 217.95 0.0 1.0
40.00 0.00 216.76 0.0 1.0
45.00 0.00 211.63 0.5 0.5
50.00 0.00 219.85 0.5 0.5
55.00 0.00 218.06 0.5 0.5
60.00 0.00 219.19 0.5 0.5
65.00 0.00 212.61 0.5 0.5
70.00 0.00 216.26 0.5 0.5
75.00 0.00 215.04 0.5 0.5
80.00 0.00 215.32 0.5 0.5
85.00 0.00 217.11 0.5 0.5
90.00 0.00 21.72 0.5 0.5
0.00 10.00 228.92 0.0 1.0
5.00 10.00 227.08 0.0 1.0
10.00 10.00 223.98 0.0 1.0
15.00 10.00 225.44 0.0 1.0
20.00 10.00 223.06 0.0 1.0
25.00 10.00 220.69 0.0 1.0
30.00 10.00 212.90 0.0 1.0
35.00 10.00 220.21 0.0 1.0
40.00 10.00 218.09 0.0 1.0
45.00 10.00 219.72 0.5 0.5
50.00 10.00 209.67 0.5 0.5
55.00 10.00 217.40 0.5 0.5
60.00 10.00 209.28 0.5 0.5
65.00 10.00 200.60 0.5 0.5
70.00 10.00 211.98 0.5 0.5
75.00 10.00 209.52 0.5 0.5
80.00 10.00 212.84 0.5 0.5
85.00 10.00 216.39 0.5 0.5
90.00 10.00 20.61 0.5 0.5
0.00 20.00 228.92 0.0 1.0
5.00 20.00 227.55 0.0 1.0
10.00 20.00 225.93 0.0 1.0
15.00 20.00 226.98 0.0 1.0
20.00 20.00 223.42 0.0 1.0
25.00 20.00 220.36 0.0 1.0
30.00 20.00 209.89 0.0 1.0
35.00 20.00 219.37 0.0 1.0
40.00 20.00 220.06 0.0 1.0
45.00 20.00 220.03 0.5 0.5
50.00 20.00 218.53 0.5 0.5
55.00 20.00 217.81 0.5 0.5
60.00 20.00 214.55 0.5 0.5
65.00 20.00 210.73 0.5 0.5
70.00 20.00 207.76 0.5 0.5
75.00 20.00 212.29 0.5 0.5
80.00 20.00 213.76 0.5 0.5
85.00 20.00 217.88 0.5 0.5
90.00 20.00 25.79 0.5 0.5
0.00 30.00 228.92 0.0 1.0
5.00 30.00 228.08 0.0 1.0
10.00 30.00 227.40 0.0 1.0
15.00 30.00 227.94 0.0 1.0
20.00 30.00 224.48 0.0 1.0
25.00 30.00 221.73 0.0 1.0
30.00 30.00 210.33 0.0 1.0
35.00 30.00 215.49 0.0 1.0
40.00 30.00 218.95 0.0 1.0
45.00 30.00 219.64 0.5 0.5
50.00 30.00 218.69 0.5 0.5
55.00 30.00 212.07 0.5 0.5
60.00 30.00 220.95 0.5 0.5
65.00 30.00 214.17 0.5 0.5
70.00 30.00 219.20 0.5 0.5
75.00 30.00 212.82 0.5 0.5
80.00 30.00 214.21 0.5 0.5
85.00 30.00 208.34 0.5 0.5
90.00 30.00 23.14 0.5 0.5
0.00 40.00 228.92 0.0 1.0
5.00 40.00 228.57 0.0 1.0
10.00 40.00 228.29 0.0 1.0
15.00 40.00 228.20 0.0 1.0
20.00 40.00 225.73 0.0 1.0
25.00 40.00 224.89 0.0 1.0
30.00 40.00 219.25 0.0 1.0
35.00 40.00 219.90 0.0 1.0
40.00 40.00 222.09 0.0 1.0
45.00 40.00 219.64 0.5 0.5
50.00 40.00 221.15 0.5 0.5
55.00 40.00 219.70 0.5 0.5
60.00 40.00 221.38 0.5 0.5
65.00 40.00 220.13 0.5 0.5
70.00 40.00 215.34 0.5 0.5
75.00 40.00 213.70 0.5 0.5
80.00 40.00 216.14 0.5 0.5
