# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 40.0 MHz
# Altitude: 18000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 31.69 0.0 1.0
5.00 0.00 31.55 0.0 1.0
10.00 0.00 31.70 0.0 1.0
15.00 0.00 31.97 0.0 1.0
20.00 0.00 32.11 0.0 1.0
25.00 0.00 31.98 0.0 1.0
30.00 0.00 31.58 0.0 1.0
35.00 0.00 31.00 0.0 1.0
40.00 0.00 30.41 0.0 1.0
45.00 0.00 29.84 0.5 0.5
50.00 0.00 29.20 0.5 0.5
55.00 0.00 28.35 0.5 0.5
60.00 0.00 27.17 0.5 0.5
65.00 0.00 25.61 0.5 0.5
70.00 0.00 23.65 0.5 0.5
75.00 0.00 21.20 0.5 0.5
80.00 0.00 17.90 0.5 0.5
85.00 0.00 12.29 0.5 0.5
90.00 0.00 -191.88 0.5 0.5
0.00 10.00 31.69 0.0 1.0
5.00 10.00 31.62 0.0 1.0
10.00 10.00 31.90 0.0 1.0
15.00 10.00 32.23 0.0 1.0
20.00 10.00 32.33 0.0 1.0
25.00 10.00 32.06 0.0 1.0
30.00 10.00 31.44 0.0 1.0
35.00 10.00 30.60 0.0 1.0
40.00 10.00 29.68 0.0 1.0
45.00 10.00 28.69 0.5 0.5
50.00 10.00 27.47 0.5 0.5
55.00 10.00 25.80 0.5 0.5
60.00 10.00 23.52 0.5 0.5
65.00 10.00 20.63 0.5 0.5
70.00 10.00 17.53 0.5 0.5
75.00 10.00 14.99 0.5 0.5
80.00 10.00 12.65 0.5 0.5
85.00 10.00 8.09 0.5 0.5
90.00 10.00 -195.44 0.5 0.5
0.00 20.00 31.69 0.0 1.0
5.00 20.00 31.70 0.0 1.0
10.00 20.00 32.06 0.0 1.0
15.00 20.00 32.43 0.0 1.0
20.00 20.00 32.50 0.0 1.0
25.00 20.00 32.14 0.0 1.0
30.00 20.00 31.39 0.0 1.0
35.00 20.00 30.36 0.0 1.0
40.00 20.00 29.18 0.0 1.0
45.00 20.00 27.87 0.5 0.5
50.00 20.00 26.26 0.5 0.5
55.00 20.00 24.12 0.5 0.5
60.00 20.00 21.32 0.5 0.5
65.00 20.00 18.11 0.5 0.5
70.00 20.00 15.69 0.5 0.5
75.00 20.00 14.73 0.5 0.5
80.00 20.00 13.35 0.5 0.5
85.00 20.00 9.01 0.5 0.5
90.00 20.00 -194.60 0.5 0.5
0.00 30.00 31.69 0.0 1.0
5.00 30.00 31.76 0.0 1.0
10.00 30.00 32.19 0.0 1.0
15.00 30.00 32.59 0.0 1.0
20.00 30.00 32.66 0.0 1.0
25.00 30.00 32.29 0.0 1.0
30.00 30.00 31.52 0.0 1.0
35.00 30.00 30.44 0.0 1.0
40.00 30.00 29.17 0.0 1.0
45.00 30.00 27.76 0.5 0.5
50.00 30.00 26.15 0.5 0.5
55.00 30.00 24.25 0.5 0.5
60.00 30.00 22.09 0.5 0.5
65.00 30.00 19.91 0.5 0.5
70.00 30.00 17.98 0.5 0.5
75.00 30.00 16.24 0.5 0.5
80.00 30.00 13.94 0.5 0.5
85.00 30.00 9.19 0.5 0.5
90.00 30.00 -194.52 0.5 0.5
0.00 40.00 31.69 0.0 1.0
5.00 40.00 31.82 0.0 1.0
10.00 40.00 32.29 0.0 1.0
15.00 40.00 32.71 0.0 1.0
20.00 40.00 32.81 0.0 1.0
25.00 40.00 32.52 0.0 1.0
30.00 40.00 31.84 0.0 1.0
35.00 40.00 30.86 0.0 1.0
40.00 40.00 29.67 0.0 1.0
45.00 40.00 28.29 0.5 0.5
50.00 40.00 26.70 0.5 0.5
55.00 40.00 24.78 0.5 0.5
60.00 40.00 22.48 0.5 0.5
65.00 40.00 19.87 0.5 0.5
70.00 40.00 17.27 0.5 0.5
75.00 40.00 15.10 0.5 0.5
80.00 40.00 12.97 0.5 0.5
85.00 40.00 8.71 0.5 0.5
90.00 40.00 -194.51 0.5 0.5
0.00 50.00 31.69 0.0 1.0
5.00 50.00 31.86 0.0 1.0
