# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 50.0 MHz
# Altitude: 9050 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0 0 0 0.0 1.0
0 10 0 0.0 1.0
0 20 0 0.0 1.0
0 30 0 0.0 1.0
0 40 0 0.0 1.0
0 50 0 0.0 1.0
0 60 0 0.0 1.0
0 70 0 0.0 1.0
0 80 0 0.0 1.0
0 90 0 0.0 1.0
0 100 0 0.0 1.0
0 110 0 0.0 1.0
0 120 0 0.0 1.0
0 130 0 0.0 1.0
0 140 0 0.0 1.0
0 150 0 0.0 1.0
0 160 0 0.0 1.0
0 170 0 0.0 1.0
0 180 0 0.0 1.0
0 190 0 0.0 1.0
0 200 0 0.0 1.0
0 210 0 0.0 1.0
0 220 0 0.0 1.0
0 230 0 0.0 1.0
0 240 0 0.0 1.0
0 250 0 0.0 1.0
0 260 0 0.0 1.0
0 270 0 0.0 1.0
0 280 0 0.0 1.0
0 290 0 0.0 1.0
0 300 0 0.0 1.0
0 310 0 0.0 1.0
0 320 0 0.0 1.0
0 330 0 0.0 1.0
0 340 0 0.0 1.0
0 350 0 0.0 1.0
5 0 7.14 0.0 1.0
5 10 7.14 0.0 1.0
5 20 7.14 0.0 1.0
5 30 7.14 0.0 1.0
5 40 7.14 0.0 1.0
5 50 7.14 0.0 1.0
5 60 7.14 0.0 1.0
5 70 7.14 0.0 1.0
5 80 7.14 0.0 1.0
5 90 7.14 0.0 1.0
5 100 7.14 0.0 1.0
5 110 7.14 0.0 1.0
5 120 7.14 0.0 1.0
5 130 7.14 0.0 1.0
5 140 7.14 0.0 1.0
5 150 7.14 0.0 1.0
5 160 7.14 0.0 1.0
5 170 7.14 0.0 1.0
5 180 7.14 0.0 1.0
5 190 7.14 0.0 1.0
5 200 7.14 0.0 1.0
5 210 7.14 0.0 1.0
5 220 7.14 0.0 1.0
5 230 7.14 0.0 1.0
5 240 7.14 0.0 1.0
5 250 7.14 0.0 1.0
5 260 7.14 0.0 1.0
5 270 7.14 0.0 1.0
5 280 7.14 0.0 1.0
5 290 7.14 0.0 1.0
5 300 7.14 0.0 1.0
5 310 7.14 0.0 1.0
5 320 7.14 0.0 1.0
5 330 7.14 0.0 1.0
5 340 7.14 0.0 1.0
5 350 7.14 0.0 1.0
10 0 7.14 0.0 1.0
10 10 7.14 0.0 1.0
10 20 7.14 0.0 1.0
10 30 7.14 0.0 1.0
10 40 7.14 0.0 1.0
10 50 7.14 0.0 1.0
10 60 7.14 0.0 1.0
10 70 7.14 0.0 1.0
10 80 7.14 0.0 1.0
10 90 7.14 0.0 1.0
10 100 7.14 0.0 1.0
10 110 7.14 0.0 1.0
10 120 7.14 0.0 1.0
10 130 7.14 0.0 1.0
10 140 7.14 0.0 1.0
10 150 7.14 0.0 1.0
10 160 7.14 0.0 1.0
10 170 7.14 0.0 1.0
10 180 7.14 0.0 1.0
10 190 7.14 0.0 1.0
10 200 7.14 0.0 1.0
10 210 7.14 0.0 1.0
10 220 7.14 0.0 1.0
10 230 7.14 0.0 1.0
10 240 7.14 0.0 1.0
10 250 7.14 0.0 1.0
10 260 7.14 0.0 1.0
10 270 7.14 0.0 1.0
10 280 7.14 0.0 1.0
10 290 7.14 0.0 1.0
10 300 7.14 0.0 1.0
10 310 7.14 0.0 1.0
10 320 7.14 0.0 1.0
10 330 7.14 0.0 1.0
10 340 7.14 0.0 1.0
10 350 7.14 0.0 1.0
15 0 7.14 0.0 1.0
15 10 7.14 0.0 1.0
15 20 7.14 0.0 1.0
15 30 7.14 0.0 1.0
15 40 7.14 0.0 1.0
15 50 7.14 0.0 1.0
15 60 7.14 0.0 1.0
15 70 7.14 0.0 1.0
15 80 7.14 0.0 1.0
15 90 7.14 0.0 1.0
15 100 7.14 0.0 1.0
15 110 7.14 0.0 1.0
15 120 7.14 0.0 1.0
15 130 7.14 0.0 1.0
15 140 7.14 0.0 1.0
15 150 7.14 0.0 1.0
15 160 7.14 0.0 1.0
15 170 7.14 0.0 1.0
15 180 7.14 0.0 1.0
15 190 7.14 0.0 1.0
15 200 7.14 0.0 1.0
15 210 7.14 0.0 1.0
15 220 7.14 0.0 1.0
15 230 7.14 0.0 1.0
15 240 7.14 0.0 1.0
15 250 7.14 0.0 1.0
15 260 7.14 0.0 1.0
15 270 7.14 0.0 1.0
15 280 7.14 0.0 1.0
15 290 7.14 0.0 1.0
15 300 7.14 0.0 1.0
15 310 7.14 0.0 1.0
15 320 7.14 0.0 1.0
15 330 7.14 0.0 1.0
15 340 7.14 0.0 1.0
15 350 7.14 0.0 1.0
20 0 7.14 0.0 1.0
20 10 7.14 0.0 1.0
20 20 7.14 0.0 1.0
20 30 7.14 0.0 1.0
20 40 7.14 0.0 1.0
20 50 7.14 0.0 1.0
20 60 7.14 0.0 1.0
20 70 7.14 0.0 1.0
20 80 7.14 0.0 1.0
20 90 7.14 0.0 1.0
20 100 7.14 0.0 1.0
20 110 7.14 0.0 1.0
20 120 7.14 0.0 1.0
20 130 7.14 0.0 1.0
20 140 7.14 0.0 1.0
20 150 7.14 0.0 1.0
20 160 7.14 0.0 1.0
20 170 7.14 0.0 1.0
20 180 7.14 0.0 1.0
20 190 7.14 0.0 1.0
20 200 7.14 0.0 1.0
20 210 7.14 0.0 1.0
20 220 7.14 0.0 1.0
20 230 7.14 0.0 1.0
20 240 7.14 0.0 1.0
20 250 7.14 0.0 1.0
20 260 7.14 0.0 1.0
20 270 7.14 0.0 1.0
20 280 7.14 0.0 1.0
20 290 7.14 0.0 1.0
20 300 7.14 0.0 1.0
