# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 14.0 MHz
# Altitude: 4050 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 72.52 0.0 1.0
5.00 0.00 71.69 0.0 1.0
10.00 0.00 71.07 0.0 1.0
15.00 0.00 70.62 0.0 1.0
20.00 0.00 70.15 0.0 1.0
25.00 0.00 69.54 0.0 1.0
30.00 0.00 68.70 0.0 1.0
35.00 0.00 67.65 0.0 1.0
40.00 0.00 66.52 0.0 1.0
45.00 0.00 65.58 0.5 0.5
50.00 0.00 65.09 0.5 0.5
55.00 0.00 65.09 0.5 0.5
60.00 0.00 65.33 0.5 0.5
65.00 0.00 65.52 0.5 0.5
70.00 0.00 65.41 0.5 0.5
75.00 0.00 64.78 0.5 0.5
80.00 0.00 63.21 0.5 0.5
85.00 0.00 59.28 0.5 0.5
90.00 0.00 -143.15 0.5 0.5
0.00 10.00 70.94 0.0 1.0
5.00 10.00 69.15 0.0 1.0
10.00 10.00 67.55 0.0 1.0
15.00 10.00 66.95 0.0 1.0
20.00 10.00 68.02 0.0 1.0
25.00 10.00 70.13 0.0 1.0
30.00 10.00 72.37 0.0 1.0
35.00 10.00 74.36 0.0 1.0
40.00 10.00 76.01 0.0 1.0
45.00 10.00 77.33 0.5 0.5
50.00 10.00 78.33 0.5 0.5
55.00 10.00 79.04 0.5 0.5
60.00 10.00 79.46 0.5 0.5
65.00 10.00 79.58 0.5 0.5
70.00 10.00 79.33 0.5 0.5
75.00 10.00 78.58 0.5 0.5
80.00 10.00 76.92 0.5 0.5
85.00 10.00 72.94 0.5 0.5
90.00 10.00 -129.51 0.5 0.5
0.00 20.00 69.76 0.0 1.0
5.00 20.00 69.43 0.0 1.0
10.00 20.00 70.74 0.0 1.0
15.00 20.00 72.95 0.0 1.0
20.00 20.00 75.23 0.0 1.0
25.00 20.00 77.28 0.0 1.0
30.00 20.00 79.05 0.0 1.0
35.00 20.00 80.54 0.0 1.0
40.00 20.00 81.77 0.0 1.0
45.00 20.00 82.76 0.5 0.5
50.00 20.00 83.52 0.5 0.5
55.00 20.00 84.05 0.5 0.5
60.00 20.00 84.34 0.5 0.5
65.00 20.00 84.37 0.5 0.5
70.00 20.00 84.07 0.5 0.5
75.00 20.00 83.28 0.5 0.5
80.00 20.00 81.60 0.5 0.5
85.00 20.00 77.61 0.5 0.5
90.00 20.00 -124.84 0.5 0.5
0.00 30.00 69.72 0.0 1.0
5.00 30.00 71.77 0.0 1.0
10.00 30.00 74.31 0.0 1.0
15.00 30.00 76.69 0.0 1.0
20.00 30.00 78.77 0.0 1.0
25.00 30.00 80.55 0.0 1.0
30.00 30.00 82.07 0.0 1.0
35.00 30.00 83.36 0.0 1.0
40.00 30.00 84.43 0.0 1.0
45.00 30.00 85.29 0.5 0.5
50.00 30.00 85.96 0.5 0.5
55.00 30.00 86.42 0.5 0.5
60.00 30.00 86.67 0.5 0.5
65.00 30.00 86.68 0.5 0.5
70.00 30.00 86.36 0.5 0.5
75.00 30.00 85.57 0.5 0.5
80.00 30.00 83.89 0.5 0.5
85.00 30.00 79.89 0.5 0.5
90.00 30.00 -122.56 0.5 0.5
0.00 40.00 70.85 0.0 1.0
5.00 40.00 73.90 0.0 1.0
10.00 40.00 76.50 0.0 1.0
15.00 40.00 78.68 0.0 1.0
20.00 40.00 80.53 0.0 1.0
25.00 40.00 82.11 0.0 1.0
30.00 40.00 83.45 0.0 1.0
35.00 40.00 84.60 0.0 1.0
40.00 40.00 85.55 0.0 1.0
45.00 40.00 86.33 0.5 0.5
50.00 40.00 86.93 0.5 0.5
55.00 40.00 87.35 0.5 0.5
60.00 40.00 87.57 0.5 0.5
65.00 40.00 87.56 0.5 0.5
70.00 40.00 87.24 0.5 0.5
75.00 40.00 86.44 0.5 0.5
80.00 40.00 84.76 0.5 0.5
85.00 40.00 80.76 0.5 0.5
90.00 40.00 -121.69 0.5 0.5
0.00 50.00 72.43 0.0 1.0
5.00 50.00 75.38 0.0 1.0
10.00 50.00 77.70 0.0 1.0
15.00 50.00 79.60 0.0 1.0
20.00 50.00 81.21 0.0 1.0
25.00 50.00 82.58 0.0 1.0
30.00 50.00 83.75 0.0 1.0
35.00 50.00 84.76 0.0 1.0
40.00 50.00 85.60 0.0 1.0
45.00 50.00 86.28 0.5 0.5
50.00 50.00 86.81 0.5 0.5
55.00 50.00 87.18 0.5 0.5
60.00 50.00 87.36 0.5 0.5
65.00 50.00 87.32 0.5 0.5
70.00 50.00 86.98 0.5 0.5
75.00 50.00 86.17 0.5 0.5
80.00 50.00 84.49 0.5 0.5
85.00 50.00 80.49 0.5 0.5
90.00 50.00 -121.96 0.5 0.5
0.00 60.00 73.93 0.0 1.0
5.00 60.00 76.27 0.0 1.0
10.00 60.00 78.17 0.0 1.0
15.00 60.00 79.74 0.0 1.0
