# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 145.0 MHz
# Altitude: 8000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 29.02 0.0 1.0
5.00 0.00 24.93 0.0 1.0
10.00 0.00 18.36 0.0 1.0
15.00 0.00 17.83 0.0 1.0
20.00 0.00 25.95 0.0 1.0
25.00 0.00 27.42 0.0 1.0
30.00 0.00 20.22 0.0 1.0
35.00 0.00 21.60 0.0 1.0
40.00 0.00 27.37 0.0 1.0
45.00 0.00 30.05 0.5 0.5
50.00 0.00 31.42 0.5 0.5
55.00 0.00 31.35 0.5 0.5
60.00 0.00 28.92 0.5 0.5
65.00 0.00 26.53 0.5 0.5
70.00 0.00 21.52 0.5 0.5
75.00 0.00 25.33 0.5 0.5
80.00 0.00 26.34 0.5 0.5
85.00 0.00 34.45 0.5 0.5
90.00 0.00 -163.39 0.5 0.5
0.00 10.00 29.02 0.0 1.0
5.00 10.00 25.00 0.0 1.0
10.00 10.00 18.40 0.0 1.0
15.00 10.00 17.21 0.0 1.0
20.00 10.00 25.55 0.0 1.0
25.00 10.00 27.37 0.0 1.0
30.00 10.00 20.02 0.0 1.0
35.00 10.00 19.73 0.0 1.0
40.00 10.00 26.16 0.0 1.0
45.00 10.00 29.47 0.5 0.5
50.00 10.00 31.35 0.5 0.5
55.00 10.00 31.77 0.5 0.5
60.00 10.00 29.95 0.5 0.5
65.00 10.00 28.96 0.5 0.5
70.00 10.00 28.04 0.5 0.5
75.00 10.00 27.87 0.5 0.5
80.00 10.00 28.97 0.5 0.5
85.00 10.00 35.49 0.5 0.5
90.00 10.00 -162.37 0.5 0.5
0.00 20.00 29.02 0.0 1.0
5.00 20.00 25.19 0.0 1.0
10.00 20.00 18.56 0.0 1.0
15.00 20.00 15.19 0.0 1.0
20.00 20.00 24.06 0.0 1.0
25.00 20.00 26.94 0.0 1.0
30.00 20.00 19.34 0.0 1.0
35.00 20.00 11.97 0.0 1.0
40.00 20.00 20.74 0.0 1.0
45.00 20.00 27.14 0.5 0.5
50.00 20.00 30.50 0.5 0.5
55.00 20.00 31.73 0.5 0.5
60.00 20.00 30.81 0.5 0.5
65.00 20.00 31.89 0.5 0.5
70.00 20.00 31.46 0.5 0.5
75.00 20.00 30.57 0.5 0.5
80.00 20.00 31.42 0.5 0.5
85.00 20.00 36.11 0.5 0.5
90.00 20.00 -161.72 0.5 0.5
0.00 30.00 29.02 0.0 1.0
5.00 30.00 25.51 0.0 1.0
10.00 30.00 19.02 0.0 1.0
15.00 30.00 11.42 0.0 1.0
20.00 30.00 20.42 0.0 1.0
25.00 30.00 25.26 0.0 1.0
30.00 30.00 17.44 0.0 1.0
35.00 30.00 19.54 0.0 1.0
40.00 30.00 15.07 0.0 1.0
45.00 30.00 21.46 0.5 0.5
50.00 30.00 26.77 0.5 0.5
55.00 30.00 28.31 0.5 0.5
60.00 30.00 28.84 0.5 0.5
65.00 30.00 31.58 0.5 0.5
70.00 30.00 30.14 0.5 0.5
75.00 30.00 30.12 0.5 0.5
80.00 30.00 30.50 0.5 0.5
85.00 30.00 32.43 0.5 0.5
90.00 30.00 -165.10 0.5 0.5
0.00 40.00 29.02 0.0 1.0
5.00 40.00 25.95 0.0 1.0
10.00 40.00 19.96 0.0 1.0
15.00 40.00 9.25 0.0 1.0
20.00 40.00 11.37 0.0 1.0
25.00 40.00 20.34 0.0 1.0
30.00 40.00 15.46 0.0 1.0
35.00 40.00 25.46 0.0 1.0
40.00 40.00 26.16 0.0 1.0
45.00 40.00 16.21 0.5 0.5
50.00 40.00 6.39 0.5 0.5
55.00 40.00 17.13 0.5 0.5
60.00 40.00 19.44 0.5 0.5
65.00 40.00 22.58 0.5 0.5
70.00 40.00 20.39 0.5 0.5
75.00 40.00 22.07 0.5 0.5
80.00 40.00 24.37 0.5 0.5
85.00 40.00 12.70 0.5 0.5
90.00 40.00 -176.70 0.5 0.5
0.00 50.00 29.02 0.0 1.0
5.00 50.00 26.48 0.0 1.0
10.00 50.00 21.43 0.0 1.0
15.00 50.00 12.63 0.0 1.0
20.00 50.00 17.83 0.0 1.0
25.00 50.00 17.43 0.0 1.0
30.00 50.00 20.57 0.0 1.0
35.00 50.00 26.53 0.0 1.0
40.00 50.00 27.62 0.0 1.0
45.00 50.00 13.71 0.5 0.5
50.00 50.00 25.88 0.5 0.5
55.00 50.00 21.62 0.5 0.5
60.00 50.00 19.99 0.5 0.5
65.00 50.00 23.49 0.5 0.5
70.00 50.00 21.55 0.5 0.5
75.00 50.00 19.03 0.5 0.5
80.00 50.00 22.79 0.5 0.5
85.00 50.00 25.28 0.5 0.5
90.00 50.00 -171.86 0.5 0.5
0.00 60.00 29.02 0.0 1.0
5.00 60.00 27.09 0.0 1.0
10.00 60.00 23.25 0.0 1.0
15.00 60.00 15.26 0.0 1.0
20.00 60.00 22.51 0.0 1.0
25.00 60.00 25.01 0.0 1.0
30.00 60.00 24.26 0.0 1.0
35.00 60.00 23.09 0.0 1.0
40.00 60.00 21.97 0.0 1.0
45.00 60.00 25.96 0.5 0.5
50.00 60.00 26.90 0.5 0.5
55.00 60.00 22.38 0.5 0.5
60.00 60.00 24.84 0.5 0.5
65.00 60.00 13.46 0.5 0.5
70.00 60.00 20.72 0.5 0.5
75.00 60.00 12.91 0.5 0.5
80.00 60.00 20.24 0.5 0.5
85.00 60.00 21.84 0.5 0.5
90.00 60.00 -175.25 0.5 0.5
0.00 70.00 29.02 0.0 1.0
5.00 70.00 27.72 0.0 1.0
10.00 70.00 25.18 0.0 1.0
15.00 70.00 18.31 0.0 1.0
20.00 70.00 21.53 0.0 1.0
25.00 70.00 27.09 0.0 1.0
30.00 70.00 25.92 0.0 1.0
35.00 70.00 13.08 0.0 1.0
40.00 70.00 22.10 0.0 1.0
45.00 70.00 26.82 0.5 0.5
50.00 70.00 19.04 0.5 0.5
55.00 70.00 29.33 0.5 0.5
60.00 70.00 25.12 0.5 0.5
65.00 70.00 30.44 0.5 0.5
70.00 70.00 24.14 0.5 0.5
75.00 70.00 29.76 0.5 0.5
80.00 70.00 19.39 0.5 0.5
85.00 70.00 27.63 0.5 0.5
90.00 70.00 -173.51 0.5 0.5
0.00 80.00 29.02 0.0 1.0
5.00 80.00 28.35 0.0 1.0
10.00 80.00 26.96 0.0 1.0
15.00 80.00 22.79 0.0 1.0
20.00 80.00 9.06 0.0 1.0
25.00 80.00 26.10 0.0 1.0
30.00 80.00 29.28 0.0 1.0
35.00 80.00 23.92 0.0 1.0
40.00 80.00 24.18 0.0 1.0
45.00 80.00 29.22 0.5 0.5
50.00 80.00 15.84 0.5 0.5
55.00 80.00 28.55 0.5 0.5
60.00 80.00 26.80 0.5 0.5
65.00 80.00 28.60 0.5 0.5
70.00 80.00 30.67 0.5 0.5
75.00 80.00 32.64 0.5 0.5
80.00 80.00 29.58 0.5 0.5
85.00 80.00 36.55 0.5 0.5
90.00 80.00 -162.09 0.5 0.5
0.00 90.00 29.02 0.0 1.0
5.00 90.00 28.94 0.0 1.0
10.00 90.00 28.45 0.0 1.0
15.00 90.00 26.68 0.0 1.0
20.00 90.00 23.53 0.0 1.0
25.00 90.00 28.10 0.0 1.0
30.00 90.00 32.20 0.0 1.0
35.00 90.00 29.99 0.0 1.0
40.00 90.00 28.21 0.0 1.0
45.00 90.00 34.40 0.5 0.5
50.00 90.00 25.51 0.5 0.5
55.00 90.00 35.10 0.5 0.5
60.00 90.00 26.53 0.5 0.5
65.00 90.00 35.12 0.5 0.5
70.00 90.00 22.20 0.5 0.5
75.00 90.00 34.09 0.5 0.5
80.00 90.00 15.31 0.5 0.5
85.00 90.00 32.06 0.5 0.5
90.00 90.00 -169.39 0.5 0.5
0.00 100.00 29.02 0.0 1.0
5.00 100.00 29.46 0.0 1.0
10.00 100.00 29.57 0.0 1.0
15.00 100.00 29.19 0.0 1.0
20.00 100.00 29.37 0.0 1.0
25.00 100.00 31.27 0.0 1.0
30.00 100.00 32.36 0.0 1.0
35.00 100.00 30.59 0.0 1.0
40.00 100.00 30.13 0.0 1.0
45.00 100.00 31.01 0.5 0.5
50.00 100.00 25.32 0.5 0.5
55.00 100.00 28.91 0.5 0.5
60.00 100.00 25.96 0.5 0.5
65.00 100.00 28.24 0.5 0.5
70.00 100.00 29.92 0.5 0.5
75.00 100.00 32.13 0.5 0.5
80.00 100.00 29.09 0.5 0.5
85.00 100.00 35.93 0.5 0.5
90.00 100.00 -162.72 0.5 0.5
0.00 110.00 29.02 0.0 1.0
5.00 110.00 29.89 0.0 1.0
10.00 110.00 30.28 0.0 1.0
15.00 110.00 30.40 0.0 1.0
20.00 110.00 31.09 0.0 1.0
25.00 110.00 31.60 0.0 1.0
30.00 110.00 29.66 0.0 1.0
35.00 110.00 25.51 0.0 1.0
40.00 110.00 26.55 0.0 1.0
45.00 110.00 28.17 0.5 0.5
50.00 110.00 27.06 0.5 0.5
55.00 110.00 31.47 0.5 0.5
60.00 110.00 29.31 0.5 0.5
65.00 110.00 31.88 0.5 0.5
70.00 110.00 27.40 0.5 0.5
75.00 110.00 29.70 0.5 0.5
80.00 110.00 22.01 0.5 0.5
85.00 110.00 25.60 0.5 0.5
90.00 110.00 -176.54 0.5 0.5
0.00 120.00 29.02 0.0 1.0
5.00 120.00 30.23 0.0 1.0
10.00 120.00 30.63 0.0 1.0
15.00 120.00 30.49 0.0 1.0
20.00 120.00 30.30 0.0 1.0
25.00 120.00 28.98 0.0 1.0
30.00 120.00 26.73 0.0 1.0
35.00 120.00 27.19 0.0 1.0
40.00 120.00 29.59 0.0 1.0
45.00 120.00 30.60 0.5 0.5
50.00 120.00 30.64 0.5 0.5
55.00 120.00 27.65 0.5 0.5
60.00 120.00 26.08 0.5 0.5
65.00 120.00 18.02 0.5 0.5
70.00 120.00 18.55 0.5 0.5
75.00 120.00 17.44 0.5 0.5
