# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 145.0 MHz
# Altitude: 9000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 161.66 0.0 1.0
5.00 0.00 158.06 0.0 1.0
10.00 0.00 156.01 0.0 1.0
15.00 0.00 157.62 0.0 1.0
20.00 0.00 159.20 0.0 1.0
25.00 0.00 160.60 0.0 1.0
30.00 0.00 161.52 0.0 1.0
35.00 0.00 160.23 0.0 1.0
40.00 0.00 155.18 0.0 1.0
45.00 0.00 139.96 0.5 0.5
50.00 0.00 153.30 0.5 0.5
55.00 0.00 157.14 0.5 0.5
60.00 0.00 153.36 0.5 0.5
65.00 0.00 150.91 0.5 0.5
70.00 0.00 156.43 0.5 0.5
75.00 0.00 158.56 0.5 0.5
80.00 0.00 158.32 0.5 0.5
85.00 0.00 153.47 0.5 0.5
90.00 0.00 -52.27 0.5 0.5
0.00 10.00 161.66 0.0 1.0
5.00 10.00 158.66 0.0 1.0
10.00 10.00 156.25 0.0 1.0
15.00 10.00 156.67 0.0 1.0
20.00 10.00 158.04 0.0 1.0
25.00 10.00 159.93 0.0 1.0
30.00 10.00 161.72 0.0 1.0
35.00 10.00 161.70 0.0 1.0
40.00 10.00 158.99 0.0 1.0
45.00 10.00 152.18 0.5 0.5
50.00 10.00 153.30 0.5 0.5
55.00 10.00 158.52 0.5 0.5
60.00 10.00 156.85 0.5 0.5
65.00 10.00 149.57 0.5 0.5
70.00 10.00 152.97 0.5 0.5
75.00 10.00 158.18 0.5 0.5
80.00 10.00 157.62 0.5 0.5
85.00 10.00 153.17 0.5 0.5
90.00 10.00 -50.34 0.5 0.5
0.00 20.00 161.66 0.0 1.0
5.00 20.00 159.32 0.0 1.0
10.00 20.00 156.83 0.0 1.0
15.00 20.00 155.78 0.0 1.0
20.00 20.00 156.42 0.0 1.0
25.00 20.00 158.69 0.0 1.0
30.00 20.00 161.29 0.0 1.0
35.00 20.00 162.38 0.0 1.0
40.00 20.00 161.22 0.0 1.0
45.00 20.00 157.25 0.5 0.5
50.00 20.00 156.73 0.5 0.5
55.00 20.00 159.91 0.5 0.5
60.00 20.00 158.88 0.5 0.5
65.00 20.00 155.45 0.5 0.5
70.00 20.00 152.91 0.5 0.5
75.00 20.00 157.91 0.5 0.5
80.00 20.00 158.96 0.5 0.5
85.00 20.00 157.59 0.5 0.5
90.00 20.00 -44.33 0.5 0.5
0.00 30.00 161.66 0.0 1.0
5.00 30.00 160.02 0.0 1.0
10.00 30.00 157.87 0.0 1.0
15.00 30.00 156.01 0.0 1.0
20.00 30.00 155.69 0.0 1.0
