# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 150.0 MHz
# Altitude: 10000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 32.76 0.0 1.0
5.00 0.00 31.43 0.0 1.0
10.00 0.00 32.87 0.0 1.0
15.00 0.00 35.78 0.0 1.0
20.00 0.00 34.64 0.0 1.0
25.00 0.00 30.82 0.0 1.0
30.00 0.00 27.86 0.0 1.0
35.00 0.00 32.14 0.0 1.0
40.00 0.00 33.14 0.0 1.0
45.00 0.00 37.71 0.5 0.5
50.00 0.00 35.68 0.5 0.5
55.00 0.00 34.35 0.5 0.5
60.00 0.00 37.12 0.5 0.5
65.00 0.00 35.45 0.5 0.5
70.00 0.00 40.77 0.5 0.5
75.00 0.00 35.25 0.5 0.5
80.00 0.00 38.51 0.5 0.5
85.00 0.00 41.04 0.5 0.5
90.00 0.00 -159.78 0.5 0.5
0.00 10.00 32.76 0.0 1.0
5.00 10.00 32.10 0.0 1.0
10.00 10.00 34.64 0.0 1.0
15.00 10.00 36.54 0.0 1.0
20.00 10.00 34.92 0.0 1.0
25.00 10.00 31.44 0.0 1.0
30.00 10.00 33.89 0.0 1.0
35.00 10.00 37.36 0.0 1.0
40.00 10.00 32.29 0.0 1.0
45.00 10.00 37.83 0.5 0.5
50.00 10.00 38.33 0.5 0.5
55.00 10.00 38.30 0.5 0.5
60.00 10.00 42.67 0.5 0.5
65.00 10.00 39.96 0.5 0.5
70.00 10.00 43.10 0.5 0.5
75.00 10.00 42.96 0.5 0.5
80.00 10.00 35.32 0.5 0.5
85.00 10.00 47.41 0.5 0.5
90.00 10.00 -152.29 0.5 0.5
0.00 20.00 32.76 0.0 1.0
5.00 20.00 32.74 0.0 1.0
10.00 20.00 35.48 0.0 1.0
15.00 20.00 36.88 0.0 1.0
20.00 20.00 35.09 0.0 1.0
25.00 20.00 30.88 0.0 1.0
30.00 20.00 33.61 0.0 1.0
35.00 20.00 37.77 0.0 1.0
40.00 20.00 30.12 0.0 1.0
45.00 20.00 38.61 0.5 0.5
50.00 20.00 38.12 0.5 0.5
55.00 20.00 39.91 0.5 0.5
60.00 20.00 45.04 0.5 0.5
65.00 20.00 30.00 0.5 0.5
70.00 20.00 41.65 0.5 0.5
75.00 20.00 44.50 0.5 0.5
80.00 20.00 41.85 0.5 0.5
85.00 20.00 48.67 0.5 0.5
90.00 20.00 -150.58 0.5 0.5
