# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 150.0 MHz
# Altitude: 10000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 180.25 0.0 1.0
5.00 0.00 177.80 0.0 1.0
10.00 0.00 178.63 0.0 1.0
15.00 0.00 177.95 0.0 1.0
20.00 0.00 160.44 0.0 1.0
25.00 0.00 179.95 0.0 1.0
30.00 0.00 181.95 0.0 1.0
35.00 0.00 183.03 0.0 1.0
40.00 0.00 183.19 0.0 1.0
45.00 0.00 180.82 0.5 0.5
50.00 0.00 185.50 0.5 0.5
55.00 0.00 191.47 0.5 0.5
60.00 0.00 193.93 0.5 0.5
65.00 0.00 192.21 0.5 0.5
70.00 0.00 184.59 0.5 0.5
75.00 0.00 194.79 0.5 0.5
80.00 0.00 198.59 0.5 0.5
85.00 0.00 196.36 0.5 0.5
90.00 0.00 -6.93 0.5 0.5
0.00 10.00 180.25 0.0 1.0
5.00 10.00 177.49 0.0 1.0
10.00 10.00 178.52 0.0 1.0
15.00 10.00 170.36 0.0 1.0
20.00 10.00 177.82 0.0 1.0
25.00 10.00 181.54 0.0 1.0
30.00 10.00 184.44 0.0 1.0
35.00 10.00 186.99 0.0 1.0
40.00 10.00 187.09 0.0 1.0
45.00 10.00 185.76 0.5 0.5
50.00 10.00 190.79 0.5 0.5
55.00 10.00 196.21 0.5 0.5
60.00 10.00 198.46 0.5 0.5
65.00 10.00 196.93 0.5 0.5
70.00 10.00 191.82 0.5 0.5
75.00 10.00 199.81 0.5 0.5
80.00 10.00 203.49 0.5 0.5
85.00 10.00 201.33 0.5 0.5
90.00 10.00 -1.92 0.5 0.5
0.00 20.00 180.25 0.0 1.0
5.00 20.00 177.36 0.0 1.0
10.00 20.00 177.75 0.0 1.0
15.00 20.00 163.01 0.0 1.0
20.00 20.00 180.21 0.0 1.0
25.00 20.00 182.96 0.0 1.0
30.00 20.00 187.36 0.0 1.0
35.00 20.00 189.66 0.0 1.0
40.00 20.00 189.84 0.0 1.0
45.00 20.00 189.72 0.5 0.5
50.00 20.00 195.09 0.5 0.5
55.00 20.00 199.70 0.5 0.5
60.00 20.00 201.39 0.5 0.5
65.00 20.00 199.94 0.5 0.5
70.00 20.00 197.50 0.5 0.5
75.00 20.00 203.14 0.5 0.5
80.00 20.00 206.42 0.5 0.5
85.00 20.00 204.33 0.5 0.5
90.00 20.00 1.14 0.5 0.5
0.00 30.00 180.25 0.0 1.0
5.00 30.00 177.33 0.0 1.0
10.00 30.00 176.57 0.0 1.0
15.00 30.00 172.88 0.0 1.0
20.00 30.00 180.55 0.0 1.0
25.00 30.00 184.97 0.0 1.0
30.00 30.00 189.18 0.0 1.0
35.00 30.00 191.47 0.0 1.0
40.00 30.00 191.65 0.0 1.0
45.00 30.00 192.69 0.5 0.5
50.00 30.00 198.27 0.5 0.5
55.00 30.00 202.01 0.5 0.5
60.00 30.00 202.64 0.5 0.5
65.00 30.00 201.13 0.5 0.5
70.00 30.00 201.66 0.5 0.5
75.00 30.00 204.77 0.5 0.5
80.00 30.00 206.97 0.5 0.5
85.00 30.00 204.96 0.5 0.5
90.00 30.00 1.90 0.5 0.5
0.00 40.00 180.25 0.0 1.0
5.00 40.00 177.33 0.0 1.0
10.00 40.00 175.46 0.0 1.0
15.00 40.00 175.54 0.0 1.0
20.00 40.00 180.80 0.0 1.0
25.00 40.00 186.17 0.0 1.0
30.00 40.00 190.26 0.0 1.0
35.00 40.00 192.50 0.0 1.0
40.00 40.00 192.63 0.0 1.0
45.00 40.00 194.60 0.5 0.5
50.00 40.00 200.29 0.5 0.5
55.00 40.00 203.28 0.5 0.5
60.00 40.00 202.38 0.5 0.5
65.00 40.00 200.65 0.5 0.5
70.00 40.00 204.29 0.5 0.5
75.00 40.00 204.88 0.5 0.5
80.00 40.00 203.91 0.5 0.5
85.00 40.00 202.14 0.5 0.5
90.00 40.00 -0.45 0.5 0.5
0.00 50.00 180.25 0.0 1.0
5.00 50.00 177.34 0.0 1.0
10.00 50.00 174.93 0.0 1.0
15.00 50.00 176.23 0.0 1.0
20.00 50.00 180.97 0.0 1.0
25.00 50.00 186.58 0.0 1.0
30.00 50.00 190.64 0.0 1.0
35.00 50.00 192.83 0.0 1.0
40.00 50.00 192.94 0.0 1.0
45.00 50.00 195.41 0.5 0.5
50.00 50.00 201.11 0.5 0.5
55.00 50.00 203.75 0.5 0.5
60.00 50.00 201.79 0.5 0.5
65.00 50.00 200.03 0.5 0.5
70.00 50.00 205.39 0.5 0.5
75.00 50.00 204.54 0.5 0.5
80.00 50.00 193.05 0.5 0.5
85.00 50.00 194.52 0.5 0.5
90.00 50.00 -5.21 0.5 0.5
0.00 60.00 180.25 0.0 1.0
5.00 60.00 177.34 0.0 1.0
10.00 60.00 175.24 0.0 1.0
15.00 60.00 175.71 0.0 1.0
20.00 60.00 180.83 0.0 1.0
25.00 60.00 186.27 0.0 1.0
30.00 60.00 190.32 0.0 1.0
35.00 60.00 192.50 0.0 1.0
40.00 60.00 192.63 0.0 1.0
45.00 60.00 195.04 0.5 0.5
50.00 60.00 200.74 0.5 0.5
55.00 60.00 203.56 0.5 0.5
60.00 60.00 202.39 0.5 0.5
65.00 60.00 200.98 0.5 0.5
70.00 60.00 204.97 0.5 0.5
75.00 60.00 205.21 0.5 0.5
80.00 60.00 203.52 0.5 0.5
85.00 60.00 201.81 0.5 0.5
90.00 60.00 -0.64 0.5 0.5
0.00 70.00 180.25 0.0 1.0
5.00 70.00 177.34 0.0 1.0
10.00 70.00 176.23 0.0 1.0
15.00 70.00 173.49 0.0 1.0
20.00 70.00 180.52 0.0 1.0
25.00 70.00 185.19 0.0 1.0
30.00 70.00 189.31 0.0 1.0
35.00 70.00 191.48 0.0 1.0
40.00 70.00 191.61 0.0 1.0
45.00 70.00 193.45 0.5 0.5
50.00 70.00 199.17 0.5 0.5
55.00 70.00 202.62 0.5 0.5
60.00 70.00 202.94 0.5 0.5
65.00 70.00 201.59 0.5 0.5
70.00 70.00 202.97 0.5 0.5
75.00 70.00 205.76 0.5 0.5
80.00 70.00 207.61 0.5 0.5
85.00 70.00 205.53 0.5 0.5
90.00 70.00 2.47 0.5 0.5
0.00 80.00 180.25 0.0 1.0
5.00 80.00 177.39 0.0 1.0
10.00 80.00 177.40 0.0 1.0
15.00 80.00 166.05 0.0 1.0
20.00 80.00 180.19 0.0 1.0
25.00 80.00 183.25 0.0 1.0
30.00 80.00 187.57 0.0 1.0
35.00 80.00 189.70 0.0 1.0
40.00 80.00 189.74 0.0 1.0
45.00 80.00 190.58 0.5 0.5
50.00 80.00 196.42 0.5 0.5
55.00 80.00 200.68 0.5 0.5
60.00 80.00 202.04 0.5 0.5
65.00 80.00 200.47 0.5 0.5
70.00 80.00 199.35 0.5 0.5
75.00 80.00 204.75 0.5 0.5
80.00 80.00 207.66 0.5 0.5
85.00 80.00 205.47 0.5 0.5
90.00 80.00 2.26 0.5 0.5
0.00 90.00 180.25 0.0 1.0
5.00 90.00 177.53 0.0 1.0
10.00 90.00 178.27 0.0 1.0
15.00 90.00 167.36 0.0 1.0
20.00 90.00 178.38 0.0 1.0
25.00 90.00 181.48 0.0 1.0
30.00 90.00 184.79 0.0 1.0
35.00 90.00 187.09 0.0 1.0
40.00 90.00 186.91 0.0 1.0
45.00 90.00 186.47 0.5 0.5
50.00 90.00 192.50 0.5 0.5
55.00 90.00 197.49 0.5 0.5
60.00 90.00 199.38 0.5 0.5
65.00 90.00 197.53 0.5 0.5
70.00 90.00 194.04 0.5 0.5
75.00 90.00 201.81 0.5 0.5
80.00 90.00 205.09 0.5 0.5
85.00 90.00 202.81 0.5 0.5
90.00 90.00 -0.46 0.5 0.5
0.00 100.00 180.25 0.0 1.0
5.00 100.00 177.85 0.0 1.0
10.00 100.00 178.55 0.0 1.0
15.00 100.00 176.84 0.0 1.0
20.00 100.00 166.74 0.0 1.0
25.00 100.00 180.39 0.0 1.0
30.00 100.00 181.76 0.0 1.0
35.00 100.00 183.18 0.0 1.0
40.00 100.00 183.03 0.0 1.0
45.00 100.00 181.16 0.5 0.5
50.00 100.00 187.50 0.5 0.5
55.00 100.00 193.00 0.5 0.5
60.00 100.00 195.06 0.5 0.5
65.00 100.00 192.89 0.5 0.5
70.00 100.00 187.00 0.5 0.5
75.00 100.00 196.96 0.5 0.5
80.00 100.00 200.38 0.5 0.5
85.00 100.00 198.03 0.5 0.5
90.00 100.00 -5.29 0.5 0.5
0.00 110.00 180.25 0.0 1.0
5.00 110.00 178.38 0.0 1.0
10.00 110.00 178.46 0.0 1.0
15.00 110.00 179.84 0.0 1.0
20.00 110.00 177.26 0.0 1.0
25.00 110.00 163.20 0.0 1.0
30.00 110.00 179.04 0.0 1.0
35.00 110.00 180.52 0.0 1.0
40.00 110.00 177.85 0.0 1.0
45.00 110.00 174.36 0.5 0.5
50.00 110.00 181.03 0.5 0.5
55.00 110.00 187.18 0.5 0.5
60.00 110.00 189.28 0.5 0.5
65.00 110.00 186.78 0.5 0.5
70.00 110.00 178.41 0.5 0.5
75.00 110.00 190.46 0.5 0.5
80.00 110.00 193.87 0.5 0.5
85.00 110.00 191.45 0.5 0.5
90.00 110.00 -11.91 0.5 0.5
0.00 120.00 180.25 0.0 1.0
5.00 120.00 179.06 0.0 1.0
10.00 120.00 178.85 0.0 1.0
15.00 120.00 180.14 0.0 1.0
20.00 120.00 181.79 0.0 1.0
25.00 120.00 181.80 0.0 1.0
30.00 120.00 178.36 0.0 1.0
35.00 120.00 166.35 0.0 1.0
40.00 120.00 169.12 0.0 1.0
45.00 120.00 166.46 0.5 0.5
50.00 120.00 175.82 0.5 0.5
55.00 120.00 181.92 0.5 0.5
60.00 120.00 183.00 0.5 0.5
65.00 120.00 179.34 0.5 0.5
70.00 120.00 168.20 0.5 0.5
75.00 120.00 181.94 0.5 0.5
80.00 120.00 185.14 0.5 0.5
85.00 120.00 182.58 0.5 0.5
90.00 120.00 -20.82 0.5 0.5
0.00 130.00 180.25 0.0 1.0
5.00 130.00 179.79 0.0 1.0
10.00 130.00 180.07 0.0 1.0
15.00 130.00 181.13 0.0 1.0
20.00 130.00 182.49 0.0 1.0
25.00 130.00 183.67 0.0 1.0
30.00 130.00 184.21 0.0 1.0
35.00 130.00 183.49 0.0 1.0
40.00 130.00 180.25 0.0 1.0
45.00 130.00 170.35 0.5 0.5
50.00 130.00 177.30 0.5 0.5
55.00 130.00 182.36 0.5 0.5
60.00 130.00 182.54 0.5 0.5
65.00 130.00 177.92 0.5 0.5
70.00 130.00 159.98 0.5 0.5
75.00 130.00 177.55 0.5 0.5
80.00 130.00 179.81 0.5 0.5
85.00 130.00 176.51 0.5 0.5
90.00 130.00 -27.15 0.5 0.5
0.00 140.00 180.25 0.0 1.0
5.00 140.00 180.49 0.0 1.0
10.00 140.00 181.32 0.0 1.0
15.00 140.00 182.89 0.0 1.0
20.00 140.00 184.84 0.0 1.0
25.00 140.00 186.57 0.0 1.0
30.00 140.00 187.58 0.0 1.0
35.00 140.00 187.41 0.0 1.0
40.00 140.00 185.27 0.0 1.0
45.00 140.00 179.30 0.5 0.5
50.00 140.00 179.84 0.5 0.5
55.00 140.00 186.26 0.5 0.5
60.00 140.00 187.93 0.5 0.5
65.00 140.00 185.14 0.5 0.5
70.00 140.00 171.43 0.5 0.5
75.00 140.00 184.94 0.5 0.5
80.00 140.00 188.51 0.5 0.5
85.00 140.00 185.93 0.5 0.5
90.00 140.00 -17.49 0.5 0.5
0.00 150.00 180.25 0.0 1.0
5.00 150.00 181.12 0.0 1.0
10.00 150.00 182.19 0.0 1.0
15.00 150.00 183.54 0.0 1.0
20.00 150.00 185.11 0.0 1.0
25.00 150.00 186.65 0.0 1.0
30.00 150.00 187.84 0.0 1.0
35.00 150.00 188.43 0.0 1.0
40.00 150.00 188.31 0.0 1.0
45.00 150.00 187.56 0.5 0.5
50.00 150.00 186.59 0.5 0.5
55.00 150.00 185.66 0.5 0.5
60.00 150.00 184.33 0.5 0.5
65.00 150.00 183.83 0.5 0.5
70.00 150.00 186.52 0.5 0.5
75.00 150.00 188.91 0.5 0.5
80.00 150.00 188.88 0.5 0.5
85.00 150.00 184.97 0.5 0.5
90.00 150.00 -18.82 0.5 0.5
0.00 160.00 180.25 0.0 1.0
5.00 160.00 181.70 0.0 1.0
10.00 160.00 182.96 0.0 1.0
15.00 160.00 184.05 0.0 1.0
20.00 160.00 185.01 0.0 1.0
25.00 160.00 185.67 0.0 1.0
30.00 160.00 186.19 0.0 1.0
35.00 160.00 188.06 0.0 1.0
40.00 160.00 191.85 0.0 1.0
45.00 160.00 195.56 0.5 0.5
50.00 160.00 198.09 0.5 0.5
55.00 160.00 198.88 0.5 0.5
60.00 160.00 196.60 0.5 0.5
65.00 160.00 183.67 0.5 0.5
70.00 160.00 198.50 0.5 0.5
75.00 160.00 204.51 0.5 0.5
80.00 160.00 205.86 0.5 0.5
85.00 160.00 202.60 0.5 0.5
90.00 160.00 -0.99 0.5 0.5
0.00 170.00 180.25 0.0 1.0
5.00 170.00 182.25 0.0 1.0
10.00 170.00 184.01 0.0 1.0
15.00 170.00 185.68 0.0 1.0
20.00 170.00 186.77 0.0 1.0
25.00 170.00 186.39 0.0 1.0
30.00 170.00 183.67 0.0 1.0
35.00 170.00 187.54 0.0 1.0
40.00 170.00 196.51 0.0 1.0
45.00 170.00 202.76 0.5 0.5
50.00 170.00 206.83 0.5 0.5
55.00 170.00 208.74 0.5 0.5
60.00 170.00 207.60 0.5 0.5
65.00 170.00 199.23 0.5 0.5
70.00 170.00 207.73 0.5 0.5
75.00 170.00 214.42 0.5 0.5
80.00 170.00 216.04 0.5 0.5
85.00 170.00 212.92 0.5 0.5
90.00 170.00 9.36 0.5 0.5
0.00 180.00 180.25 0.0 1.0
5.00 180.00 182.78 0.0 1.0
10.00 180.00 185.42 0.0 1.0
15.00 180.00 188.17 0.0 1.0
20.00 180.00 190.30 0.0 1.0
25.00 180.00 191.25 0.0 1.0
30.00 180.00 189.35 0.0 1.0
35.00 180.00 188.96 0.0 1.0
40.00 180.00 201.31 0.0 1.0
45.00 180.00 208.64 0.5 0.5
50.00 180.00 213.09 0.5 0.5
55.00 180.00 215.09 0.5 0.5
60.00 180.00 214.02 0.5 0.5
65.00 180.00 207.28 0.5 0.5
70.00 180.00 214.38 0.5 0.5
75.00 180.00 220.63 0.5 0.5
80.00 180.00 222.16 0.5 0.5
85.00 180.00 219.01 0.5 0.5
90.00 180.00 15.46 0.5 0.5
0.00 190.00 180.25 0.0 1.0
5.00 190.00 183.30 0.0 1.0
10.00 190.00 186.93 0.0 1.0
15.00 190.00 190.73 0.0 1.0
20.00 190.00 193.95 0.0 1.0
25.00 190.00 196.01 0.0 1.0
30.00 190.00 195.05 0.0 1.0
35.00 190.00 193.37 0.0 1.0
40.00 190.00 205.80 0.0 1.0
45.00 190.00 213.11 0.5 0.5
50.00 190.00 217.26 0.5 0.5
55.00 190.00 218.85 0.5 0.5
60.00 190.00 217.40 0.5 0.5
65.00 190.00 212.47 0.5 0.5
70.00 190.00 218.64 0.5 0.5
75.00 190.00 223.89 0.5 0.5
80.00 190.00 225.13 0.5 0.5
85.00 190.00 221.88 0.5 0.5
90.00 190.00 18.31 0.5 0.5
0.00 200.00 180.25 0.0 1.0
5.00 200.00 183.77 0.0 1.0
10.00 200.00 188.31 0.0 1.0
15.00 200.00 192.93 0.0 1.0
20.00 200.00 196.92 0.0 1.0
25.00 200.00 199.43 0.0 1.0
30.00 200.00 198.63 0.0 1.0
35.00 200.00 197.71 0.0 1.0
40.00 200.00 209.50 0.0 1.0
45.00 200.00 216.24 0.5 0.5
50.00 200.00 219.70 0.5 0.5
55.00 200.00 220.45 0.5 0.5
60.00 200.00 218.37 0.5 0.5
65.00 200.00 215.93 0.5 0.5
70.00 200.00 220.82 0.5 0.5
75.00 200.00 224.67 0.5 0.5
80.00 200.00 225.50 0.5 0.5
85.00 200.00 222.15 0.5 0.5
90.00 200.00 18.58 0.5 0.5
0.00 210.00 180.25 0.0 1.0
5.00 210.00 184.15 0.0 1.0
10.00 210.00 189.39 0.0 1.0
15.00 210.00 194.62 0.0 1.0
20.00 210.00 199.07 0.0 1.0
25.00 210.00 201.74 0.0 1.0
30.00 210.00 200.87 0.0 1.0
35.00 210.00 201.22 0.0 1.0
40.00 210.00 212.24 0.0 1.0
45.00 210.00 218.26 0.5 0.5
50.00 210.00 220.79 0.5 0.5
55.00 210.00 220.24 0.5 0.5
60.00 210.00 217.25 0.5 0.5
65.00 210.00 218.05 0.5 0.5
70.00 210.00 221.46 0.5 0.5
75.00 210.00 223.49 0.5 0.5
80.00 210.00 223.79 0.5 0.5
85.00 210.00 220.49 0.5 0.5
90.00 210.00 17.01 0.5 0.5
0.00 220.00 180.25 0.0 1.0
5.00 220.00 184.40 0.0 1.0
10.00 220.00 190.12 0.0 1.0
15.00 220.00 195.73 0.0 1.0
20.00 220.00 200.44 0.0 1.0
25.00 220.00 203.19 0.0 1.0
30.00 220.00 202.35 0.0 1.0
35.00 220.00 203.85 0.0 1.0
40.00 220.00 214.03 0.0 1.0
45.00 220.00 219.44 0.5 0.5
50.00 220.00 221.10 0.5 0.5
55.00 220.00 218.70 0.5 0.5
60.00 220.00 213.84 0.5 0.5
65.00 220.00 219.25 0.5 0.5
70.00 220.00 221.46 0.5 0.5
75.00 220.00 220.74 0.5 0.5
80.00 220.00 219.75 0.5 0.5
85.00 220.00 216.96 0.5 0.5
90.00 220.00 13.88 0.5 0.5
0.00 230.00 180.25 0.0 1.0
5.00 230.00 184.50 0.0 1.0
10.00 230.00 190.44 0.0 1.0
15.00 230.00 196.25 0.0 1.0
20.00 230.00 201.09 0.0 1.0
25.00 230.00 203.95 0.0 1.0
30.00 230.00 203.45 0.0 1.0
35.00 230.00 205.60 0.0 1.0
40.00 230.00 214.97 0.0 1.0
45.00 230.00 220.08 0.5 0.5
50.00 230.00 221.32 0.5 0.5
55.00 230.00 217.48 0.5 0.5
60.00 230.00 208.32 0.5 0.5
65.00 230.00 220.06 0.5 0.5
70.00 230.00 221.79 0.5 0.5
75.00 230.00 217.72 0.5 0.5
80.00 230.00 206.76 0.5 0.5
85.00 230.00 210.88 0.5 0.5
90.00 230.00 9.77 0.5 0.5
0.00 240.00 180.25 0.0 1.0
5.00 240.00 184.43 0.0 1.0
10.00 240.00 190.33 0.0 1.0
15.00 240.00 196.16 0.0 1.0
20.00 240.00 201.05 0.0 1.0
25.00 240.00 204.05 0.0 1.0
30.00 240.00 204.13 0.0 1.0
35.00 240.00 206.45 0.0 1.0
40.00 240.00 215.09 0.0 1.0
45.00 240.00 220.25 0.5 0.5
50.00 240.00 221.81 0.5 0.5
55.00 240.00 219.12 0.5 0.5
60.00 240.00 213.78 0.5 0.5
65.00 240.00 220.60 0.5 0.5
70.00 240.00 222.55 0.5 0.5
75.00 240.00 220.25 0.5 0.5
80.00 240.00 217.90 0.5 0.5
85.00 240.00 216.28 0.5 0.5
90.00 240.00 13.74 0.5 0.5
0.00 250.00 180.25 0.0 1.0
5.00 250.00 184.20 0.0 1.0
10.00 250.00 189.80 0.0 1.0
15.00 250.00 195.46 0.0 1.0
20.00 250.00 200.29 0.0 1.0
25.00 250.00 203.43 0.0 1.0
30.00 250.00 204.11 0.0 1.0
35.00 250.00 206.35 0.0 1.0
40.00 250.00 214.35 0.0 1.0
45.00 250.00 219.83 0.5 0.5
50.00 250.00 222.20 0.5 0.5
55.00 250.00 221.53 0.5 0.5
60.00 250.00 218.85 0.5 0.5
65.00 250.00 220.47 0.5 0.5
70.00 250.00 223.13 0.5 0.5
75.00 250.00 224.45 0.5 0.5
80.00 250.00 224.93 0.5 0.5
85.00 250.00 222.07 0.5 0.5
90.00 250.00 18.77 0.5 0.5
0.00 260.00 180.25 0.0 1.0
5.00 260.00 183.82 0.0 1.0
10.00 260.00 188.83 0.0 1.0
15.00 260.00 194.13 0.0 1.0
20.00 260.00 198.73 0.0 1.0
25.00 260.00 201.93 0.0 1.0
30.00 260.00 203.06 0.0 1.0
35.00 260.00 205.20 0.0 1.0
40.00 260.00 212.67 0.0 1.0
45.00 260.00 218.56 0.5 0.5
50.00 260.00 221.80 0.5 0.5
55.00 260.00 222.55 0.5 0.5
60.00 260.00 220.92 0.5 0.5
65.00 260.00 219.30 0.5 0.5
70.00 260.00 222.92 0.5 0.5
75.00 260.00 226.65 0.5 0.5
80.00 260.00 227.80 0.5 0.5
85.00 260.00 224.73 0.5 0.5
90.00 260.00 21.26 0.5 0.5
0.00 270.00 180.25 0.0 1.0
5.00 270.00 183.34 0.0 1.0
10.00 270.00 187.46 0.0 1.0
15.00 270.00 192.14 0.0 1.0
20.00 270.00 196.28 0.0 1.0
25.00 270.00 199.35 0.0 1.0
30.00 270.00 200.69 0.0 1.0
35.00 270.00 202.82 0.0 1.0
40.00 270.00 209.96 0.0 1.0
45.00 270.00 216.21 0.5 0.5
50.00 270.00 220.10 0.5 0.5
55.00 270.00 221.68 0.5 0.5
60.00 270.00 220.58 0.5 0.5
65.00 270.00 216.82 0.5 0.5
70.00 270.00 221.43 0.5 0.5
75.00 270.00 226.61 0.5 0.5
80.00 270.00 228.03 0.5 0.5
85.00 270.00 224.92 0.5 0.5
90.00 270.00 21.40 0.5 0.5
0.00 280.00 180.25 0.0 1.0
5.00 280.00 182.78 0.0 1.0
10.00 280.00 185.80 0.0 1.0
15.00 280.00 189.48 0.0 1.0
20.00 280.00 192.88 0.0 1.0
25.00 280.00 195.43 0.0 1.0
30.00 280.00 196.71 0.0 1.0
35.00 280.00 199.13 0.0 1.0
40.00 280.00 206.19 0.0 1.0
45.00 280.00 212.55 0.5 0.5
50.00 280.00 216.76 0.5 0.5
55.00 280.00 218.72 0.5 0.5
60.00 280.00 217.81 0.5 0.5
65.00 280.00 212.62 0.5 0.5
70.00 280.00 218.15 0.5 0.5
75.00 280.00 224.13 0.5 0.5
80.00 280.00 225.68 0.5 0.5
85.00 280.00 222.56 0.5 0.5
90.00 280.00 19.02 0.5 0.5
0.00 290.00 180.25 0.0 1.0
5.00 290.00 182.19 0.0 1.0
10.00 290.00 184.10 0.0 1.0
15.00 290.00 186.31 0.0 1.0
20.00 290.00 188.54 0.0 1.0
25.00 290.00 190.14 0.0 1.0
30.00 290.00 191.09 0.0 1.0
35.00 290.00 194.57 0.0 1.0
40.00 290.00 201.45 0.0 1.0
45.00 290.00 207.40 0.5 0.5
50.00 290.00 211.45 0.5 0.5
55.00 290.00 213.36 0.5 0.5
60.00 290.00 212.33 0.5 0.5
65.00 290.00 205.96 0.5 0.5
70.00 290.00 212.70 0.5 0.5
75.00 290.00 218.93 0.5 0.5
80.00 290.00 220.47 0.5 0.5
85.00 290.00 217.32 0.5 0.5
90.00 290.00 13.76 0.5 0.5
0.00 300.00 180.25 0.0 1.0
5.00 300.00 181.60 0.0 1.0
10.00 300.00 182.72 0.0 1.0
15.00 300.00 183.60 0.0 1.0
20.00 300.00 184.43 0.0 1.0
25.00 300.00 185.39 0.0 1.0
30.00 300.00 187.16 0.0 1.0
35.00 300.00 191.02 0.0 1.0
40.00 300.00 196.12 0.0 1.0
45.00 300.00 200.63 0.5 0.5
50.00 300.00 203.78 0.5 0.5
55.00 300.00 205.04 0.5 0.5
60.00 300.00 203.32 0.5 0.5
65.00 300.00 195.47 0.5 0.5
70.00 300.00 204.72 0.5 0.5
75.00 300.00 210.57 0.5 0.5
80.00 300.00 211.89 0.5 0.5
85.00 300.00 208.62 0.5 0.5
90.00 300.00 5.02 0.5 0.5
0.00 310.00 180.25 0.0 1.0
5.00 310.00 181.00 0.0 1.0
10.00 310.00 181.79 0.0 1.0
15.00 310.00 182.67 0.0 1.0
20.00 310.00 183.86 0.0 1.0
25.00 310.00 185.52 0.0 1.0
30.00 310.00 187.53 0.0 1.0
35.00 310.00 189.53 0.0 1.0
40.00 310.00 191.19 0.0 1.0
45.00 310.00 192.27 0.5 0.5
50.00 310.00 192.42 0.5 0.5
55.00 310.00 190.92 0.5 0.5
60.00 310.00 185.50 0.5 0.5
65.00 310.00 184.23 0.5 0.5
70.00 310.00 193.69 0.5 0.5
75.00 310.00 197.48 0.5 0.5
80.00 310.00 197.91 0.5 0.5
85.00 310.00 194.21 0.5 0.5
90.00 310.00 -9.51 0.5 0.5
0.00 320.00 180.25 0.0 1.0
5.00 320.00 180.37 0.0 1.0
10.00 320.00 181.00 0.0 1.0
15.00 320.00 182.42 0.0 1.0
