# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 42.0 MHz
# Altitude: 18000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 30.49 0.0 1.0
5.00 0.00 37.34 0.0 1.0
10.00 0.00 31.99 0.0 1.0
15.00 0.00 30.72 0.0 1.0
20.00 0.00 31.74 0.0 1.0
25.00 0.00 33.64 0.0 1.0
30.00 0.00 36.74 0.0 1.0
35.00 0.00 34.67 0.0 1.0
40.00 0.00 28.54 0.0 1.0
45.00 0.00 26.85 0.5 0.5
50.00 0.00 33.92 0.5 0.5
55.00 0.00 35.99 0.5 0.5
60.00 0.00 33.58 0.5 0.5
65.00 0.00 32.81 0.5 0.5
70.00 0.00 33.98 0.5 0.5
75.00 0.00 34.67 0.5 0.5
80.00 0.00 32.75 0.5 0.5
85.00 0.00 32.38 0.5 0.5
90.00 0.00 33.46 0.5 0.5
95.00 0.00 34.20 0.5 0.5
100.00 0.00 32.81 0.5 0.5
105.00 0.00 32.27 0.5 0.5
110.00 0.00 32.95 0.5 0.5
115.00 0.00 28.64 0.5 0.5
120.00 0.00 35.06 0.5 0.5
125.00 0.00 36.24 0.5 0.5
130.00 0.00 33.12 0.5 0.5
135.00 0.00 25.38 0.5 0.5
140.00 0.00 27.62 1.0 0.0
145.00 0.00 31.91 1.0 0.0
150.00 0.00 32.93 1.0 0.0
155.00 0.00 31.86 1.0 0.0
160.00 0.00 34.72 1.0 0.0
165.00 0.00 35.55 1.0 0.0
170.00 0.00 34.88 1.0 0.0
175.00 0.00 29.46 1.0 0.0
180.00 0.00 33.31 1.0 0.0
0.00 10.00 30.49 0.0 1.0
5.00 10.00 36.65 0.0 1.0
10.00 10.00 29.48 0.0 1.0
15.00 10.00 36.63 0.0 1.0
20.00 10.00 36.49 0.0 1.0
25.00 10.00 36.18 0.0 1.0
30.00 10.00 31.49 0.0 1.0
35.00 10.00 18.46 0.0 1.0
40.00 10.00 31.96 0.0 1.0
45.00 10.00 34.48 0.5 0.5
50.00 10.00 31.64 0.5 0.5
55.00 10.00 33.43 0.5 0.5
60.00 10.00 33.19 0.5 0.5
65.00 10.00 32.80 0.5 0.5
70.00 10.00 34.50 0.5 0.5
75.00 10.00 35.44 0.5 0.5
80.00 10.00 34.03 0.5 0.5
85.00 10.00 32.40 0.5 0.5
90.00 10.00 31.63 0.5 0.5
95.00 10.00 33.50 0.5 0.5
100.00 10.00 34.55 0.5 0.5
105.00 10.00 35.19 0.5 0.5
110.00 10.00 30.00 0.5 0.5
115.00 10.00 33.94 0.5 0.5
120.00 10.00 36.23 0.5 0.5
125.00 10.00 31.93 0.5 0.5
130.00 10.00 30.94 0.5 0.5
135.00 10.00 30.89 0.5 0.5
140.00 10.00 33.21 1.0 0.0
145.00 10.00 32.58 1.0 0.0
150.00 10.00 35.07 1.0 0.0
155.00 10.00 34.66 1.0 0.0
160.00 10.00 29.81 1.0 0.0
165.00 10.00 33.36 1.0 0.0
170.00 10.00 35.12 1.0 0.0
175.00 10.00 29.52 1.0 0.0
180.00 10.00 33.31 1.0 0.0
0.00 20.00 30.49 0.0 1.0
5.00 20.00 35.49 0.0 1.0
10.00 20.00 35.19 0.0 1.0
15.00 20.00 38.24 0.0 1.0
20.00 20.00 37.23 0.0 1.0
25.00 20.00 30.75 0.0 1.0
30.00 20.00 30.70 0.0 1.0
35.00 20.00 33.28 0.0 1.0
40.00 20.00 34.22 0.0 1.0
45.00 20.00 36.51 0.5 0.5
50.00 20.00 37.71 0.5 0.5
55.00 20.00 35.91 0.5 0.5
60.00 20.00 33.59 0.5 0.5
65.00 20.00 34.05 0.5 0.5
70.00 20.00 33.64 0.5 0.5
75.00 20.00 34.06 0.5 0.5
80.00 20.00 32.32 0.5 0.5
85.00 20.00 32.94 0.5 0.5
90.00 20.00 34.65 0.5 0.5
95.00 20.00 34.62 0.5 0.5
100.00 20.00 36.17 0.5 0.5
105.00 20.00 34.12 0.5 0.5
110.00 20.00 31.18 0.5 0.5
115.00 20.00 33.64 0.5 0.5
120.00 20.00 32.05 0.5 0.5
125.00 20.00 33.99 0.5 0.5
130.00 20.00 26.98 0.5 0.5
135.00 20.00 32.71 0.5 0.5
140.00 20.00 30.57 1.0 0.0
145.00 20.00 24.93 1.0 0.0
150.00 20.00 31.23 1.0 0.0
155.00 20.00 36.63 1.0 0.0
160.00 20.00 33.78 1.0 0.0
165.00 20.00 30.09 1.0 0.0
170.00 20.00 34.19 1.0 0.0
175.00 20.00 30.24 1.0 0.0
180.00 20.00 33.31 1.0 0.0
0.00 30.00 30.49 0.0 1.0
5.00 30.00 34.14 0.0 1.0
10.00 30.00 37.69 0.0 1.0
15.00 30.00 37.74 0.0 1.0
20.00 30.00 34.11 0.0 1.0
25.00 30.00 33.66 0.0 1.0
30.00 30.00 32.53 0.0 1.0
35.00 30.00 32.04 0.0 1.0
40.00 30.00 35.02 0.0 1.0
45.00 30.00 35.09 0.5 0.5
50.00 30.00 31.19 0.5 0.5
55.00 30.00 34.21 0.5 0.5
60.00 30.00 33.33 0.5 0.5
65.00 30.00 34.95 0.5 0.5
70.00 30.00 33.12 0.5 0.5
75.00 30.00 27.09 0.5 0.5
80.00 30.00 32.11 0.5 0.5
85.00 30.00 33.69 0.5 0.5
90.00 30.00 30.73 0.5 0.5
95.00 30.00 32.42 0.5 0.5
100.00 30.00 33.52 0.5 0.5
105.00 30.00 33.05 0.5 0.5
110.00 30.00 30.62 0.5 0.5
115.00 30.00 29.98 0.5 0.5
120.00 30.00 33.92 0.5 0.5
125.00 30.00 32.26 0.5 0.5
130.00 30.00 36.82 0.5 0.5
135.00 30.00 32.04 0.5 0.5
140.00 30.00 31.03 1.0 0.0
145.00 30.00 34.15 1.0 0.0
150.00 30.00 30.11 1.0 0.0
155.00 30.00 35.67 1.0 0.0
160.00 30.00 36.74 1.0 0.0
165.00 30.00 30.16 1.0 0.0
170.00 30.00 32.69 1.0 0.0
175.00 30.00 30.97 1.0 0.0
180.00 30.00 33.31 1.0 0.0
0.00 40.00 30.49 0.0 1.0
5.00 40.00 32.97 0.0 1.0
10.00 40.00 38.43 0.0 1.0
15.00 40.00 36.01 0.0 1.0
20.00 40.00 32.46 0.0 1.0
25.00 40.00 36.11 0.0 1.0
30.00 40.00 24.29 0.0 1.0
35.00 40.00 31.94 0.0 1.0
40.00 40.00 30.80 0.0 1.0
45.00 40.00 27.76 0.5 0.5
50.00 40.00 33.31 0.5 0.5
55.00 40.00 35.94 0.5 0.5
60.00 40.00 37.13 0.5 0.5
65.00 40.00 36.75 0.5 0.5
70.00 40.00 31.45 0.5 0.5
75.00 40.00 29.69 0.5 0.5
80.00 40.00 31.54 0.5 0.5
85.00 40.00 29.91 0.5 0.5
90.00 40.00 23.64 0.5 0.5
95.00 40.00 23.87 0.5 0.5
100.00 40.00 33.42 0.5 0.5
105.00 40.00 32.49 0.5 0.5
110.00 40.00 33.55 0.5 0.5
115.00 40.00 31.78 0.5 0.5
120.00 40.00 31.90 0.5 0.5
125.00 40.00 31.34 0.5 0.5
130.00 40.00 35.50 0.5 0.5
135.00 40.00 36.53 0.5 0.5
140.00 40.00 34.10 1.0 0.0
145.00 40.00 30.78 1.0 0.0
150.00 40.00 35.01 1.0 0.0
155.00 40.00 34.29 1.0 0.0
160.00 40.00 37.68 1.0 0.0
165.00 40.00 31.11 1.0 0.0
170.00 40.00 31.32 1.0 0.0
175.00 40.00 31.43 1.0 0.0
180.00 40.00 33.31 1.0 0.0
0.00 50.00 30.49 0.0 1.0
5.00 50.00 32.24 0.0 1.0
10.00 50.00 38.22 0.0 1.0
15.00 50.00 33.95 0.0 1.0
20.00 50.00 33.62 0.0 1.0
25.00 50.00 35.94 0.0 1.0
