# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 2.85 MHz
# Altitude: 12000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0 0 .40 0.0 1.0
0 10 .40 0.0 1.0
0 20 .40 0.0 1.0
0 30 .40 0.0 1.0
0 40 .40 0.0 1.0
0 50 .40 0.0 1.0
0 60 .40 0.0 1.0
0 70 .40 0.0 1.0
0 80 .40 0.0 1.0
0 90 .40 0.0 1.0
0 100 .40 0.0 1.0
0 110 .40 0.0 1.0
0 120 .40 0.0 1.0
0 130 .40 0.0 1.0
0 140 .40 0.0 1.0
0 150 .40 0.0 1.0
0 160 .40 0.0 1.0
0 170 .40 0.0 1.0
0 180 .40 0.0 1.0
0 190 .40 0.0 1.0
0 200 .40 0.0 1.0
0 210 .40 0.0 1.0
0 220 .40 0.0 1.0
0 230 .40 0.0 1.0
0 240 .40 0.0 1.0
0 250 .40 0.0 1.0
0 260 .40 0.0 1.0
0 270 .40 0.0 1.0
0 280 .40 0.0 1.0
0 290 .40 0.0 1.0
0 300 .40 0.0 1.0
0 310 .40 0.0 1.0
0 320 .40 0.0 1.0
0 330 .40 0.0 1.0
0 340 .40 0.0 1.0
0 350 .40 0.0 1.0
5 0 .40 0.0 1.0
5 10 .40 0.0 1.0
5 20 .40 0.0 1.0
5 30 .40 0.0 1.0
5 40 .40 0.0 1.0
5 50 .40 0.0 1.0
5 60 .40 0.0 1.0
5 70 .40 0.0 1.0
5 80 .40 0.0 1.0
5 90 .40 0.0 1.0
5 100 .40 0.0 1.0
5 110 .40 0.0 1.0
5 120 .40 0.0 1.0
5 130 .40 0.0 1.0
5 140 .40 0.0 1.0
5 150 .40 0.0 1.0
5 160 .40 0.0 1.0
5 170 .40 0.0 1.0
5 180 .40 0.0 1.0
5 190 .40 0.0 1.0
5 200 .40 0.0 1.0
5 210 .40 0.0 1.0
5 220 .40 0.0 1.0
5 230 .40 0.0 1.0
5 240 .40 0.0 1.0
5 250 .40 0.0 1.0
5 260 .40 0.0 1.0
5 270 .40 0.0 1.0
5 280 .40 0.0 1.0
5 290 .40 0.0 1.0
5 300 .40 0.0 1.0
5 310 .40 0.0 1.0
5 320 .40 0.0 1.0
5 330 .40 0.0 1.0
5 340 .40 0.0 1.0
5 350 .40 0.0 1.0
10 0 .40 0.0 1.0
10 10 .40 0.0 1.0
10 20 .40 0.0 1.0
10 30 .40 0.0 1.0
10 40 .40 0.0 1.0
10 50 .40 0.0 1.0
10 60 .40 0.0 1.0
10 70 .40 0.0 1.0
10 80 .40 0.0 1.0
10 90 .40 0.0 1.0
10 100 .40 0.0 1.0
10 110 .40 0.0 1.0
10 120 .40 0.0 1.0
10 130 .40 0.0 1.0
10 140 .40 0.0 1.0
10 150 .40 0.0 1.0
10 160 .40 0.0 1.0
10 170 .40 0.0 1.0
