# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 50.0 MHz
# Altitude: 7050 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -8.37 0.0 1.0
5.00 0.00 -3.47 0.0 1.0
10.00 0.00 -11.64 0.0 1.0
15.00 0.00 -8.30 0.0 1.0
20.00 0.00 -6.29 0.0 1.0
25.00 0.00 -14.45 0.0 1.0
30.00 0.00 -2.20 0.0 1.0
35.00 0.00 0.27 0.0 1.0
40.00 0.00 3.89 0.0 1.0
45.00 0.00 2.58 0.5 0.5
50.00 0.00 -0.84 0.5 0.5
55.00 0.00 -4.65 0.5 0.5
60.00 0.00 -1.12 0.5 0.5
65.00 0.00 1.87 0.5 0.5
70.00 0.00 1.53 0.5 0.5
75.00 0.00 -0.31 0.5 0.5
80.00 0.00 -0.78 0.5 0.5
85.00 0.00 0.19 0.5 0.5
90.00 0.00 0.29 0.5 0.5
95.00 0.00 -0.86 0.5 0.5
100.00 0.00 -1.53 0.5 0.5
105.00 0.00 -0.36 0.5 0.5
110.00 0.00 0.11 0.5 0.5
115.00 0.00 -1.16 0.5 0.5
120.00 0.00 -1.76 0.5 0.5
125.00 0.00 -0.74 0.5 0.5
130.00 0.00 -0.28 0.5 0.5
135.00 0.00 -1.58 0.5 0.5
140.00 0.00 -3.72 1.0 0.0
145.00 0.00 -3.44 1.0 0.0
150.00 0.00 -3.47 1.0 0.0
155.00 0.00 -10.23 1.0 0.0
160.00 0.00 -14.00 1.0 0.0
165.00 0.00 -13.94 1.0 0.0
170.00 0.00 -8.79 1.0 0.0
175.00 0.00 -5.34 1.0 0.0
180.00 0.00 -4.12 1.0 0.0
0.00 10.00 -8.50 0.0 1.0
5.00 10.00 -3.67 0.0 1.0
10.00 10.00 -11.44 0.0 1.0
15.00 10.00 -7.15 0.0 1.0
20.00 10.00 -9.23 0.0 1.0
25.00 10.00 -13.56 0.0 1.0
30.00 10.00 -0.78 0.0 1.0
35.00 10.00 -0.19 0.0 1.0
40.00 10.00 2.23 0.0 1.0
45.00 10.00 0.30 0.5 0.5
50.00 10.00 -4.01 0.5 0.5
55.00 10.00 -3.11 0.5 0.5
60.00 10.00 -0.86 0.5 0.5
65.00 10.00 0.64 0.5 0.5
70.00 10.00 -0.35 0.5 0.5
75.00 10.00 -2.81 0.5 0.5
80.00 10.00 -2.58 0.5 0.5
85.00 10.00 -0.78 0.5 0.5
90.00 10.00 -0.48 0.5 0.5
95.00 10.00 -1.59 0.5 0.5
100.00 10.00 -2.14 0.5 0.5
105.00 10.00 -1.20 0.5 0.5
110.00 10.00 -1.34 0.5 0.5
115.00 10.00 -3.39 0.5 0.5
120.00 10.00 -3.75 0.5 0.5
125.00 10.00 -1.80 0.5 0.5
130.00 10.00 -1.10 0.5 0.5
135.00 10.00 -3.46 0.5 0.5
140.00 10.00 -7.50 1.0 0.0
145.00 10.00 -4.91 1.0 0.0
150.00 10.00 -5.22 1.0 0.0
155.00 10.00 -15.20 1.0 0.0
160.00 10.00 -14.95 1.0 0.0
165.00 10.00 -14.23 1.0 0.0
170.00 10.00 -8.06 1.0 0.0
175.00 10.00 -5.44 1.0 0.0
180.00 10.00 -4.25 1.0 0.0
0.00 20.00 -8.91 0.0 1.0
5.00 20.00 -4.28 0.0 1.0
10.00 20.00 -11.24 0.0 1.0
15.00 20.00 -4.98 0.0 1.0
20.00 20.00 -12.86 0.0 1.0
25.00 20.00 -11.78 0.0 1.0
30.00 20.00 -0.61 0.0 1.0
35.00 20.00 -1.39 0.0 1.0
40.00 20.00 -0.48 0.0 1.0
45.00 20.00 1.13 0.5 0.5
50.00 20.00 -4.06 0.5 0.5
55.00 20.00 -21.77 0.5 0.5
60.00 20.00 -7.08 0.5 0.5
65.00 20.00 -3.97 0.5 0.5
70.00 20.00 -4.27 0.5 0.5
75.00 20.00 -5.64 0.5 0.5
80.00 20.00 -4.36 0.5 0.5
85.00 20.00 -2.86 0.5 0.5
90.00 20.00 -3.12 0.5 0.5
95.00 20.00 -3.64 0.5 0.5
100.00 20.00 -1.93 0.5 0.5
105.00 20.00 -0.33 0.5 0.5
110.00 20.00 -0.24 0.5 0.5
115.00 20.00 -0.03 0.5 0.5
120.00 20.00 1.92 0.5 0.5
125.00 20.00 3.45 0.5 0.5
130.00 20.00 2.61 0.5 0.5
135.00 20.00 -1.83 0.5 0.5
140.00 20.00 -5.32 1.0 0.0
145.00 20.00 -2.08 1.0 0.0
150.00 20.00 -3.96 1.0 0.0
155.00 20.00 -9.30 1.0 0.0
160.00 20.00 -9.35 1.0 0.0
165.00 20.00 -10.78 1.0 0.0
170.00 20.00 -6.22 1.0 0.0
