# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 24.9 MHz
# Altitude: 11050 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -999.99 0.0 1.0
5.00 0.00 -999.99 0.0 1.0
10.00 0.00 -999.99 0.0 1.0
15.00 0.00 -999.99 0.0 1.0
20.00 0.00 -999.99 0.0 1.0
25.00 0.00 -999.99 0.0 1.0
30.00 0.00 -999.99 0.0 1.0
35.00 0.00 -999.99 0.0 1.0
40.00 0.00 -999.99 0.0 1.0
45.00 0.00 -999.99 0.5 0.5
50.00 0.00 -999.99 0.5 0.5
55.00 0.00 -999.99 0.5 0.5
60.00 0.00 -999.99 0.5 0.5
65.00 0.00 -999.99 0.5 0.5
70.00 0.00 -999.99 0.5 0.5
75.00 0.00 -999.99 0.5 0.5
80.00 0.00 -999.99 0.5 0.5
85.00 0.00 -999.99 0.5 0.5
90.00 0.00 -999.99 0.5 0.5
0.00 10.00 -999.99 0.0 1.0
5.00 10.00 -999.99 0.0 1.0
10.00 10.00 -999.99 0.0 1.0
15.00 10.00 -999.99 0.0 1.0
20.00 10.00 -999.99 0.0 1.0
25.00 10.00 -999.99 0.0 1.0
30.00 10.00 -999.99 0.0 1.0
35.00 10.00 -999.99 0.0 1.0
40.00 10.00 -999.99 0.0 1.0
45.00 10.00 -999.99 0.5 0.5
50.00 10.00 -999.99 0.5 0.5
55.00 10.00 -999.99 0.5 0.5
60.00 10.00 -999.99 0.5 0.5
65.00 10.00 -999.99 0.5 0.5
70.00 10.00 -999.99 0.5 0.5
75.00 10.00 -999.99 0.5 0.5
80.00 10.00 -999.99 0.5 0.5
85.00 10.00 -999.99 0.5 0.5
90.00 10.00 -999.99 0.5 0.5
0.00 20.00 -999.99 0.0 1.0
5.00 20.00 -999.99 0.0 1.0
10.00 20.00 -999.99 0.0 1.0
15.00 20.00 -999.99 0.0 1.0
20.00 20.00 -999.99 0.0 1.0
25.00 20.00 -999.99 0.0 1.0
30.00 20.00 -999.99 0.0 1.0
35.00 20.00 -999.99 0.0 1.0
40.00 20.00 -999.99 0.0 1.0
45.00 20.00 -999.99 0.5 0.5
50.00 20.00 -999.99 0.5 0.5
55.00 20.00 -999.99 0.5 0.5
60.00 20.00 -999.99 0.5 0.5
65.00 20.00 -999.99 0.5 0.5
70.00 20.00 -999.99 0.5 0.5
75.00 20.00 -999.99 0.5 0.5
80.00 20.00 -999.99 0.5 0.5
85.00 20.00 -999.99 0.5 0.5
