# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 28.0 MHz
# Altitude: 9050 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -4.17 0.0 1.0
5.00 0.00 -4.04 0.0 1.0
10.00 0.00 -11.74 0.0 1.0
15.00 0.00 -10.45 0.0 1.0
20.00 0.00 -7.81 0.0 1.0
25.00 0.00 -14.32 0.0 1.0
30.00 0.00 -7.94 0.0 1.0
35.00 0.00 -8.06 0.0 1.0
40.00 0.00 -6.80 0.0 1.0
45.00 0.00 -1.97 0.5 0.5
50.00 0.00 -0.85 0.5 0.5
55.00 0.00 -2.30 0.5 0.5
60.00 0.00 -3.47 0.5 0.5
65.00 0.00 -2.36 0.5 0.5
70.00 0.00 -1.28 0.5 0.5
75.00 0.00 -1.18 0.5 0.5
80.00 0.00 -1.92 0.5 0.5
85.00 0.00 -3.25 0.5 0.5
90.00 0.00 -4.94 0.5 0.5
95.00 0.00 -6.72 0.5 0.5
100.00 0.00 -8.24 0.5 0.5
105.00 0.00 -9.44 0.5 0.5
110.00 0.00 -10.90 0.5 0.5
115.00 0.00 -13.75 0.5 0.5
120.00 0.00 -14.79 0.5 0.5
125.00 0.00 -8.68 0.5 0.5
130.00 0.00 -4.78 0.5 0.5
135.00 0.00 -4.03 0.5 0.5
140.00 0.00 -6.51 1.0 0.0
145.00 0.00 -5.88 1.0 0.0
150.00 0.00 -1.52 1.0 0.0
155.00 0.00 -1.32 1.0 0.0
160.00 0.00 -6.81 1.0 0.0
165.00 0.00 -7.28 1.0 0.0
170.00 0.00 -5.28 1.0 0.0
175.00 0.00 -13.05 1.0 0.0
180.00 0.00 -4.67 1.0 0.0
0.00 10.00 -4.30 0.0 1.0
5.00 10.00 -4.15 0.0 1.0
10.00 10.00 -11.35 0.0 1.0
15.00 10.00 -11.15 0.0 1.0
20.00 10.00 -7.97 0.0 1.0
25.00 10.00 -14.87 0.0 1.0
30.00 10.00 -8.64 0.0 1.0
35.00 10.00 -8.18 0.0 1.0
40.00 10.00 -7.58 0.0 1.0
45.00 10.00 -2.54 0.5 0.5
50.00 10.00 -1.06 0.5 0.5
55.00 10.00 -2.31 0.5 0.5
60.00 10.00 -3.82 0.5 0.5
65.00 10.00 -2.91 0.5 0.5
70.00 10.00 -1.63 0.5 0.5
75.00 10.00 -1.33 0.5 0.5
80.00 10.00 -1.93 0.5 0.5
85.00 10.00 -3.18 0.5 0.5
90.00 10.00 -4.82 0.5 0.5
95.00 10.00 -6.55 0.5 0.5
100.00 10.00 -8.08 0.5 0.5
105.00 10.00 -9.36 0.5 0.5
110.00 10.00 -10.87 0.5 0.5
115.00 10.00 -13.08 0.5 0.5
120.00 10.00 -12.51 0.5 0.5
125.00 10.00 -7.85 0.5 0.5
130.00 10.00 -4.83 0.5 0.5
135.00 10.00 -4.61 0.5 0.5
140.00 10.00 -7.17 1.0 0.0
145.00 10.00 -5.45 1.0 0.0
150.00 10.00 -1.54 1.0 0.0
155.00 10.00 -1.77 1.0 0.0
160.00 10.00 -7.52 1.0 0.0
165.00 10.00 -7.08 1.0 0.0
170.00 10.00 -5.52 1.0 0.0
175.00 10.00 -13.31 1.0 0.0
180.00 10.00 -4.80 1.0 0.0
