# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 7.0 MHz
# Altitude: 7050 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -2.61 0.0 1.0
5.00 0.00 -1.29 0.0 1.0
10.00 0.00 -0.18 0.0 1.0
15.00 0.00 0.66 0.0 1.0
20.00 0.00 1.24 0.0 1.0
25.00 0.00 1.58 0.0 1.0
30.00 0.00 1.70 0.0 1.0
35.00 0.00 1.65 0.0 1.0
40.00 0.00 1.44 0.0 1.0
45.00 0.00 1.11 0.5 0.5
50.00 0.00 0.67 0.5 0.5
55.00 0.00 0.13 0.5 0.5
60.00 0.00 -0.51 0.5 0.5
65.00 0.00 -1.25 0.5 0.5
70.00 0.00 -2.09 0.5 0.5
75.00 0.00 -3.06 0.5 0.5
80.00 0.00 -4.13 0.5 0.5
85.00 0.00 -5.28 0.5 0.5
90.00 0.00 -6.43 0.5 0.5
95.00 0.00 -7.40 0.5 0.5
100.00 0.00 -7.90 0.5 0.5
105.00 0.00 -7.72 0.5 0.5
110.00 0.00 -6.94 0.5 0.5
115.00 0.00 -5.85 0.5 0.5
120.00 0.00 -4.71 0.5 0.5
125.00 0.00 -3.66 0.5 0.5
130.00 0.00 -2.78 0.5 0.5
135.00 0.00 -2.10 0.5 0.5
140.00 0.00 -1.66 1.0 0.0
145.00 0.00 -1.48 1.0 0.0
150.00 0.00 -1.59 1.0 0.0
155.00 0.00 -2.01 1.0 0.0
160.00 0.00 -2.78 1.0 0.0
165.00 0.00 -3.87 1.0 0.0
170.00 0.00 -5.12 1.0 0.0
175.00 0.00 -5.96 1.0 0.0
180.00 0.00 -5.64 1.0 0.0
0.00 10.00 -2.75 0.0 1.0
5.00 10.00 -1.43 0.0 1.0
10.00 10.00 -0.32 0.0 1.0
15.00 10.00 0.53 0.0 1.0
20.00 10.00 1.12 0.0 1.0
25.00 10.00 1.48 0.0 1.0
30.00 10.00 1.62 0.0 1.0
35.00 10.00 1.59 0.0 1.0
40.00 10.00 1.41 0.0 1.0
45.00 10.00 1.10 0.5 0.5
50.00 10.00 0.68 0.5 0.5
55.00 10.00 0.15 0.5 0.5
60.00 10.00 -0.47 0.5 0.5
65.00 10.00 -1.20 0.5 0.5
70.00 10.00 -2.04 0.5 0.5
75.00 10.00 -3.00 0.5 0.5
80.00 10.00 -4.07 0.5 0.5
85.00 10.00 -5.22 0.5 0.5
