# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 24.9 MHz
# Altitude: 150 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0 0 3.54 0.0 1.0
0 10 3.54 0.0 1.0
0 20 3.54 0.0 1.0
0 30 3.54 0.0 1.0
0 40 3.54 0.0 1.0
0 50 3.54 0.0 1.0
0 60 3.54 0.0 1.0
0 70 3.54 0.0 1.0
0 80 3.54 0.0 1.0
0 90 3.54 0.0 1.0
0 100 3.54 0.0 1.0
0 110 3.54 0.0 1.0
0 120 3.54 0.0 1.0
0 130 3.54 0.0 1.0
0 140 3.54 0.0 1.0
0 150 3.54 0.0 1.0
0 160 3.54 0.0 1.0
0 170 3.54 0.0 1.0
0 180 3.54 0.0 1.0
0 190 3.54 0.0 1.0
0 200 3.54 0.0 1.0
0 210 3.54 0.0 1.0
0 220 3.54 0.0 1.0
0 230 3.54 0.0 1.0
0 240 3.54 0.0 1.0
0 250 3.54 0.0 1.0
0 260 3.54 0.0 1.0
0 270 3.54 0.0 1.0
0 280 3.54 0.0 1.0
0 290 3.54 0.0 1.0
0 300 3.54 0.0 1.0
0 310 3.54 0.0 1.0
0 320 3.54 0.0 1.0
0 330 3.54 0.0 1.0
0 340 3.54 0.0 1.0
0 350 3.54 0.0 1.0
5 0 3.54 0.0 1.0
5 10 3.54 0.0 1.0
5 20 3.54 0.0 1.0
5 30 3.54 0.0 1.0
5 40 3.54 0.0 1.0
5 50 3.54 0.0 1.0
5 60 3.54 0.0 1.0
5 70 3.54 0.0 1.0
5 80 3.54 0.0 1.0
5 90 3.54 0.0 1.0
5 100 3.54 0.0 1.0
5 110 3.54 0.0 1.0
5 120 3.54 0.0 1.0
5 130 3.54 0.0 1.0
5 140 3.54 0.0 1.0
5 150 3.54 0.0 1.0
5 160 3.54 0.0 1.0
