# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 14.23 MHz
# Altitude: 1000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0 0 2.02 0.0 1.0
0 10 2.02 0.0 1.0
0 20 2.02 0.0 1.0
0 30 2.02 0.0 1.0
0 40 2.02 0.0 1.0
0 50 2.02 0.0 1.0
0 60 2.02 0.0 1.0
0 70 2.02 0.0 1.0
0 80 2.02 0.0 1.0
0 90 2.02 0.0 1.0
0 100 2.02 0.0 1.0
0 110 2.02 0.0 1.0
0 120 2.02 0.0 1.0
0 130 2.02 0.0 1.0
0 140 2.02 0.0 1.0
0 150 2.02 0.0 1.0
0 160 2.02 0.0 1.0
0 170 2.02 0.0 1.0
0 180 2.02 0.0 1.0
0 190 2.02 0.0 1.0
0 200 2.02 0.0 1.0
0 210 2.02 0.0 1.0
0 220 2.02 0.0 1.0
0 230 2.02 0.0 1.0
0 240 2.02 0.0 1.0
0 250 2.02 0.0 1.0
0 260 2.02 0.0 1.0
0 270 2.02 0.0 1.0
0 280 2.02 0.0 1.0
0 290 2.02 0.0 1.0
0 300 2.02 0.0 1.0
0 310 2.02 0.0 1.0
0 320 2.02 0.0 1.0
0 330 2.02 0.0 1.0
0 340 2.02 0.0 1.0
0 350 2.02 0.0 1.0
5 0 2.02 0.0 1.0
5 10 2.02 0.0 1.0
5 20 2.02 0.0 1.0
5 30 2.02 0.0 1.0
5 40 2.02 0.0 1.0
5 50 2.02 0.0 1.0
5 60 2.02 0.0 1.0
5 70 2.02 0.0 1.0
5 80 2.02 0.0 1.0
5 90 2.02 0.0 1.0
5 100 2.02 0.0 1.0
5 110 2.02 0.0 1.0
5 120 2.02 0.0 1.0
5 130 2.02 0.0 1.0
5 140 2.02 0.0 1.0
5 150 2.02 0.0 1.0
5 160 2.02 0.0 1.0
5 170 2.02 0.0 1.0
5 180 2.02 0.0 1.0
5 190 2.02 0.0 1.0
5 200 2.02 0.0 1.0
5 210 2.02 0.0 1.0
5 220 2.02 0.0 1.0
5 230 2.02 0.0 1.0
5 240 2.02 0.0 1.0
5 250 2.02 0.0 1.0
5 260 2.02 0.0 1.0
5 270 2.02 0.0 1.0
5 280 2.02 0.0 1.0
5 290 2.02 0.0 1.0
5 300 2.02 0.0 1.0
5 310 2.02 0.0 1.0
5 320 2.02 0.0 1.0
5 330 2.02 0.0 1.0
5 340 2.02 0.0 1.0
5 350 2.02 0.0 1.0
10 0 2.02 0.0 1.0
10 10 2.02 0.0 1.0
10 20 2.02 0.0 1.0
10 30 2.02 0.0 1.0
10 40 2.02 0.0 1.0
10 50 2.02 0.0 1.0
10 60 2.02 0.0 1.0
10 70 2.02 0.0 1.0
10 80 2.02 0.0 1.0
10 90 2.02 0.0 1.0
10 100 2.02 0.0 1.0
10 110 2.02 0.0 1.0
10 120 2.02 0.0 1.0
10 130 2.02 0.0 1.0
10 140 2.02 0.0 1.0
10 150 2.02 0.0 1.0
10 160 2.02 0.0 1.0
10 170 2.02 0.0 1.0
10 180 2.02 0.0 1.0
10 190 2.02 0.0 1.0
10 200 2.02 0.0 1.0
10 210 2.02 0.0 1.0
10 220 2.02 0.0 1.0
10 230 2.02 0.0 1.0
10 240 2.02 0.0 1.0
10 250 2.02 0.0 1.0
10 260 2.02 0.0 1.0
10 270 2.02 0.0 1.0
10 280 2.02 0.0 1.0
10 290 2.02 0.0 1.0
10 300 2.02 0.0 1.0
10 310 2.02 0.0 1.0
10 320 2.02 0.0 1.0
10 330 2.02 0.0 1.0
10 340 2.02 0.0 1.0
10 350 2.02 0.0 1.0
15 0 2.02 0.0 1.0
15 10 2.02 0.0 1.0
15 20 2.02 0.0 1.0
15 30 2.02 0.0 1.0
15 40 2.02 0.0 1.0
15 50 2.02 0.0 1.0
15 60 2.02 0.0 1.0
15 70 2.02 0.0 1.0
15 80 2.02 0.0 1.0
15 90 2.02 0.0 1.0
15 100 2.02 0.0 1.0
15 110 2.02 0.0 1.0
15 120 2.02 0.0 1.0
15 130 2.02 0.0 1.0
15 140 2.02 0.0 1.0
15 150 2.02 0.0 1.0
15 160 2.02 0.0 1.0
15 170 2.02 0.0 1.0
15 180 2.02 0.0 1.0
15 190 2.02 0.0 1.0
15 200 2.02 0.0 1.0
15 210 2.02 0.0 1.0
15 220 2.02 0.0 1.0
15 230 2.02 0.0 1.0
15 240 2.02 0.0 1.0
15 250 2.02 0.0 1.0
15 260 2.02 0.0 1.0
15 270 2.02 0.0 1.0
15 280 2.02 0.0 1.0
15 290 2.02 0.0 1.0
15 300 2.02 0.0 1.0
15 310 2.02 0.0 1.0
15 320 2.02 0.0 1.0
15 330 2.02 0.0 1.0
15 340 2.02 0.0 1.0
15 350 2.02 0.0 1.0
20 0 2.02 0.0 1.0
20 10 2.02 0.0 1.0
20 20 2.02 0.0 1.0
20 30 2.02 0.0 1.0
20 40 2.02 0.0 1.0
20 50 2.02 0.0 1.0
20 60 2.02 0.0 1.0
20 70 2.02 0.0 1.0
20 80 2.02 0.0 1.0
20 90 2.02 0.0 1.0
20 100 2.02 0.0 1.0
20 110 2.02 0.0 1.0
20 120 2.02 0.0 1.0
20 130 2.02 0.0 1.0
20 140 2.02 0.0 1.0
20 150 2.02 0.0 1.0
20 160 2.02 0.0 1.0
20 170 2.02 0.0 1.0
20 180 2.02 0.0 1.0
20 190 2.02 0.0 1.0
20 200 2.02 0.0 1.0
20 210 2.02 0.0 1.0
20 220 2.02 0.0 1.0
20 230 2.02 0.0 1.0
20 240 2.02 0.0 1.0
20 250 2.02 0.0 1.0
20 260 2.02 0.0 1.0
20 270 2.02 0.0 1.0
20 280 2.02 0.0 1.0
20 290 2.02 0.0 1.0
20 300 2.02 0.0 1.0
20 310 2.02 0.0 1.0
20 320 2.02 0.0 1.0
20 330 2.02 0.0 1.0
20 340 2.02 0.0 1.0
20 350 2.02 0.0 1.0
25 0 2.02 0.0 1.0
25 10 2.02 0.0 1.0
25 20 2.02 0.0 1.0
25 30 2.02 0.0 1.0
25 40 2.02 0.0 1.0
25 50 2.02 0.0 1.0
25 60 2.02 0.0 1.0
25 70 2.02 0.0 1.0
25 80 2.02 0.0 1.0
25 90 2.02 0.0 1.0
25 100 2.02 0.0 1.0
25 110 2.02 0.0 1.0
25 120 2.02 0.0 1.0
25 130 2.02 0.0 1.0
25 140 2.02 0.0 1.0
25 150 2.02 0.0 1.0
25 160 2.02 0.0 1.0
25 170 2.02 0.0 1.0
25 180 2.02 0.0 1.0
25 190 2.02 0.0 1.0
25 200 2.02 0.0 1.0
25 210 2.02 0.0 1.0
25 220 2.02 0.0 1.0
25 230 2.02 0.0 1.0
25 240 2.02 0.0 1.0
25 250 2.02 0.0 1.0
25 260 2.02 0.0 1.0
25 270 2.02 0.0 1.0
25 280 2.02 0.0 1.0
25 290 2.02 0.0 1.0
25 300 2.02 0.0 1.0
25 310 2.02 0.0 1.0
25 320 2.02 0.0 1.0
25 330 2.02 0.0 1.0
25 340 2.02 0.0 1.0
25 350 2.02 0.0 1.0
30 0 0 0.0 1.0
30 10 0 0.0 1.0
30 20 0 0.0 1.0
30 30 0 0.0 1.0
30 40 0 0.0 1.0
30 50 0 0.0 1.0
30 60 0 0.0 1.0
30 70 0 0.0 1.0
30 80 0 0.0 1.0
30 90 0 0.0 1.0
30 100 0 0.0 1.0
30 110 0 0.0 1.0
30 120 0 0.0 1.0
30 130 0 0.0 1.0
30 140 0 0.0 1.0
30 150 0 0.0 1.0
30 160 0 0.0 1.0
30 170 0 0.0 1.0
30 180 0 0.0 1.0
30 190 0 0.0 1.0
30 200 0 0.0 1.0
30 210 0 0.0 1.0
30 220 0 0.0 1.0
