# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 18.1 MHz
# Altitude: 3000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0 0 2.58 0.0 1.0
0 10 2.58 0.0 1.0
0 20 2.58 0.0 1.0
0 30 2.58 0.0 1.0
0 40 2.58 0.0 1.0
0 50 2.58 0.0 1.0
0 60 2.58 0.0 1.0
0 70 2.58 0.0 1.0
0 80 2.58 0.0 1.0
0 90 2.58 0.0 1.0
0 100 2.58 0.0 1.0
0 110 2.58 0.0 1.0
0 120 2.58 0.0 1.0
0 130 2.58 0.0 1.0
0 140 2.58 0.0 1.0
0 150 2.58 0.0 1.0
0 160 2.58 0.0 1.0
0 170 2.58 0.0 1.0
0 180 2.58 0.0 1.0
0 190 2.58 0.0 1.0
0 200 2.58 0.0 1.0
0 210 2.58 0.0 1.0
0 220 2.58 0.0 1.0
0 230 2.58 0.0 1.0
0 240 2.58 0.0 1.0
0 250 2.58 0.0 1.0
0 260 2.58 0.0 1.0
0 270 2.58 0.0 1.0
0 280 2.58 0.0 1.0
0 290 2.58 0.0 1.0
0 300 2.58 0.0 1.0
0 310 2.58 0.0 1.0
0 320 2.58 0.0 1.0
0 330 2.58 0.0 1.0
0 340 2.58 0.0 1.0
0 350 2.58 0.0 1.0
5 0 2.58 0.0 1.0
5 10 2.58 0.0 1.0
5 20 2.58 0.0 1.0
5 30 2.58 0.0 1.0
5 40 2.58 0.0 1.0
5 50 2.58 0.0 1.0
5 60 2.58 0.0 1.0
5 70 2.58 0.0 1.0
5 80 2.58 0.0 1.0
5 90 2.58 0.0 1.0
5 100 2.58 0.0 1.0
5 110 2.58 0.0 1.0
5 120 2.58 0.0 1.0
5 130 2.58 0.0 1.0
5 140 2.58 0.0 1.0
5 150 2.58 0.0 1.0
5 160 2.58 0.0 1.0
5 170 2.58 0.0 1.0
5 180 2.58 0.0 1.0
5 190 2.58 0.0 1.0
5 200 2.58 0.0 1.0
5 210 2.58 0.0 1.0
5 220 2.58 0.0 1.0
5 230 2.58 0.0 1.0
5 240 2.58 0.0 1.0
5 250 2.58 0.0 1.0
5 260 2.58 0.0 1.0
5 270 2.58 0.0 1.0
5 280 2.58 0.0 1.0
5 290 2.58 0.0 1.0
5 300 2.58 0.0 1.0
5 310 2.58 0.0 1.0
5 320 2.58 0.0 1.0
5 330 2.58 0.0 1.0
5 340 2.58 0.0 1.0
5 350 2.58 0.0 1.0
10 0 2.58 0.0 1.0
10 10 2.58 0.0 1.0
10 20 2.58 0.0 1.0
10 30 2.58 0.0 1.0
10 40 2.58 0.0 1.0
10 50 2.58 0.0 1.0
10 60 2.58 0.0 1.0
10 70 2.58 0.0 1.0
10 80 2.58 0.0 1.0
10 90 2.58 0.0 1.0
10 100 2.58 0.0 1.0
