# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 1.8 MHz
# Altitude: 50 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -55.85 0.0 1.0
5.00 0.00 -55.07 0.0 1.0
10.00 0.00 -53.32 0.0 1.0
15.00 0.00 -51.43 0.0 1.0
20.00 0.00 -49.73 0.0 1.0
25.00 0.00 -48.29 0.0 1.0
30.00 0.00 -47.07 0.0 1.0
35.00 0.00 -46.04 0.0 1.0
40.00 0.00 -45.18 0.0 1.0
45.00 0.00 -44.47 0.5 0.5
50.00 0.00 -43.89 0.5 0.5
55.00 0.00 -43.43 0.5 0.5
60.00 0.00 -43.10 0.5 0.5
65.00 0.00 -42.92 0.5 0.5
70.00 0.00 -42.90 0.5 0.5
75.00 0.00 -43.15 0.5 0.5
80.00 0.00 -43.90 0.5 0.5
85.00 0.00 -46.22 0.5 0.5
90.00 0.00 -999.99 0.5 0.5
0.00 10.00 -55.98 0.0 1.0
5.00 10.00 -55.18 0.0 1.0
10.00 10.00 -53.39 0.0 1.0
15.00 10.00 -51.48 0.0 1.0
20.00 10.00 -49.77 0.0 1.0
25.00 10.00 -48.31 0.0 1.0
30.00 10.00 -47.08 0.0 1.0
35.00 10.00 -46.05 0.0 1.0
40.00 10.00 -45.19 0.0 1.0
45.00 10.00 -44.48 0.5 0.5
50.00 10.00 -43.90 0.5 0.5
55.00 10.00 -43.44 0.5 0.5
60.00 10.00 -43.11 0.5 0.5
65.00 10.00 -42.92 0.5 0.5
70.00 10.00 -42.91 0.5 0.5
75.00 10.00 -43.15 0.5 0.5
80.00 10.00 -43.91 0.5 0.5
85.00 10.00 -46.23 0.5 0.5
90.00 10.00 -999.99 0.5 0.5
0.00 20.00 -56.39 0.0 1.0
5.00 20.00 -55.52 0.0 1.0
10.00 20.00 -53.61 0.0 1.0
15.00 20.00 -51.62 0.0 1.0
20.00 20.00 -49.86 0.0 1.0
25.00 20.00 -48.38 0.0 1.0
30.00 20.00 -47.14 0.0 1.0
35.00 20.00 -46.10 0.0 1.0
40.00 20.00 -45.23 0.0 1.0
45.00 20.00 -44.51 0.5 0.5
50.00 20.00 -43.92 0.5 0.5
55.00 20.00 -43.47 0.5 0.5
60.00 20.00 -43.14 0.5 0.5
65.00 20.00 -42.94 0.5 0.5
70.00 20.00 -42.93 0.5 0.5
75.00 20.00 -43.17 0.5 0.5
80.00 20.00 -43.93 0.5 0.5
85.00 20.00 -46.25 0.5 0.5
90.00 20.00 -999.99 0.5 0.5
0.00 30.00 -57.10 0.0 1.0
5.00 30.00 -56.09 0.0 1.0
10.00 30.00 -53.97 0.0 1.0
15.00 30.00 -51.84 0.0 1.0
20.00 30.00 -50.01 0.0 1.0
25.00 30.00 -48.49 0.0 1.0
30.00 30.00 -47.22 0.0 1.0
35.00 30.00 -46.16 0.0 1.0
40.00 30.00 -45.28 0.0 1.0
45.00 30.00 -44.56 0.5 0.5
50.00 30.00 -43.97 0.5 0.5
55.00 30.00 -43.50 0.5 0.5
60.00 30.00 -43.17 0.5 0.5
65.00 30.00 -42.98 0.5 0.5
70.00 30.00 -42.96 0.5 0.5
75.00 30.00 -43.20 0.5 0.5
80.00 30.00 -43.96 0.5 0.5
85.00 30.00 -46.28 0.5 0.5
90.00 30.00 -999.99 0.5 0.5
0.00 40.00 -58.16 0.0 1.0
5.00 40.00 -56.91 0.0 1.0
10.00 40.00 -54.46 0.0 1.0
15.00 40.00 -52.14 0.0 1.0
20.00 40.00 -50.21 0.0 1.0
25.00 40.00 -48.63 0.0 1.0
30.00 40.00 -47.33 0.0 1.0
35.00 40.00 -46.25 0.0 1.0
40.00 40.00 -45.35 0.0 1.0
45.00 40.00 -44.62 0.5 0.5
50.00 40.00 -44.02 0.5 0.5
55.00 40.00 -43.55 0.5 0.5
60.00 40.00 -43.21 0.5 0.5
65.00 40.00 -43.02 0.5 0.5
70.00 40.00 -43.00 0.5 0.5
75.00 40.00 -43.24 0.5 0.5
80.00 40.00 -43.99 0.5 0.5
85.00 40.00 -46.31 0.5 0.5
90.00 40.00 -999.99 0.5 0.5
0.00 50.00 -59.68 0.0 1.0
5.00 50.00 -58.00 0.0 1.0
10.00 50.00 -55.04 0.0 1.0
15.00 50.00 -52.47 0.0 1.0
20.00 50.00 -50.42 0.0 1.0
25.00 50.00 -48.78 0.0 1.0
30.00 50.00 -47.44 0.0 1.0
35.00 50.00 -46.34 0.0 1.0
40.00 50.00 -45.43 0.0 1.0
45.00 50.00 -44.68 0.5 0.5
50.00 50.00 -44.07 0.5 0.5
55.00 50.00 -43.60 0.5 0.5
60.00 50.00 -43.26 0.5 0.5
65.00 50.00 -43.06 0.5 0.5
70.00 50.00 -43.04 0.5 0.5
75.00 50.00 -43.28 0.5 0.5
80.00 50.00 -44.03 0.5 0.5
85.00 50.00 -46.35 0.5 0.5
90.00 50.00 -999.99 0.5 0.5
0.00 60.00 -61.87 0.0 1.0
5.00 60.00 -59.34 0.0 1.0
10.00 60.00 -55.67 0.0 1.0
15.00 60.00 -52.81 0.0 1.0
20.00 60.00 -50.63 0.0 1.0
25.00 60.00 -48.92 0.0 1.0
30.00 60.00 -47.55 0.0 1.0
35.00 60.00 -46.42 0.0 1.0
40.00 60.00 -45.50 0.0 1.0
45.00 60.00 -44.74 0.5 0.5
50.00 60.00 -44.13 0.5 0.5
55.00 60.00 -43.65 0.5 0.5
60.00 60.00 -43.30 0.5 0.5
65.00 60.00 -43.10 0.5 0.5
70.00 60.00 -43.08 0.5 0.5
75.00 60.00 -43.32 0.5 0.5
80.00 60.00 -44.07 0.5 0.5
85.00 60.00 -46.39 0.5 0.5
90.00 60.00 -999.99 0.5 0.5
0.00 70.00 -65.16 0.0 1.0
5.00 70.00 -60.86 0.0 1.0
10.00 70.00 -56.26 0.0 1.0
15.00 70.00 -53.11 0.0 1.0
20.00 70.00 -50.81 0.0 1.0
25.00 70.00 -49.04 0.0 1.0
30.00 70.00 -47.64 0.0 1.0
35.00 70.00 -46.49 0.0 1.0
40.00 70.00 -45.56 0.0 1.0
45.00 70.00 -44.79 0.5 0.5
50.00 70.00 -44.17 0.5 0.5
55.00 70.00 -43.69 0.5 0.5
60.00 70.00 -43.34 0.5 0.5
65.00 70.00 -43.13 0.5 0.5
70.00 70.00 -43.11 0.5 0.5
75.00 70.00 -43.35 0.5 0.5
80.00 70.00 -44.10 0.5 0.5
85.00 70.00 -46.41 0.5 0.5
90.00 70.00 -999.99 0.5 0.5
0.00 80.00 -71.05 0.0 1.0
5.00 80.00 -62.23 0.0 1.0
10.00 80.00 -56.68 0.0 1.0
15.00 80.00 -53.31 0.0 1.0
20.00 80.00 -50.93 0.0 1.0
25.00 80.00 -49.12 0.0 1.0
30.00 80.00 -47.69 0.0 1.0
35.00 80.00 -46.54 0.0 1.0
40.00 80.00 -45.59 0.0 1.0
45.00 80.00 -44.82 0.5 0.5
50.00 80.00 -44.20 0.5 0.5
55.00 80.00 -43.71 0.5 0.5
60.00 80.00 -43.36 0.5 0.5
65.00 80.00 -43.15 0.5 0.5
70.00 80.00 -43.13 0.5 0.5
75.00 80.00 -43.36 0.5 0.5
80.00 80.00 -44.11 0.5 0.5
85.00 80.00 -46.43 0.5 0.5
90.00 80.00 -999.99 0.5 0.5
0.00 90.00 -142.57 0.0 1.0
5.00 90.00 -62.81 0.0 1.0
10.00 90.00 -56.83 0.0 1.0
15.00 90.00 -53.37 0.0 1.0
20.00 90.00 -50.97 0.0 1.0
25.00 90.00 -49.15 0.0 1.0
30.00 90.00 -47.71 0.0 1.0
35.00 90.00 -46.55 0.0 1.0
40.00 90.00 -45.60 0.0 1.0
45.00 90.00 -44.83 0.5 0.5
50.00 90.00 -44.20 0.5 0.5
55.00 90.00 -43.72 0.5 0.5
60.00 90.00 -43.37 0.5 0.5
65.00 90.00 -43.16 0.5 0.5
70.00 90.00 -43.13 0.5 0.5
75.00 90.00 -43.37 0.5 0.5
80.00 90.00 -44.12 0.5 0.5
85.00 90.00 -46.44 0.5 0.5
90.00 90.00 -999.99 0.5 0.5
