# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 5.3 MHz
# Altitude: 4050 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -58.68 0.0 1.0
5.00 0.00 -52.04 0.0 1.0
10.00 0.00 -47.31 0.0 1.0
15.00 0.00 -44.21 0.0 1.0
20.00 0.00 -41.97 0.0 1.0
25.00 0.00 -40.23 0.0 1.0
30.00 0.00 -38.85 0.0 1.0
35.00 0.00 -37.73 0.0 1.0
40.00 0.00 -36.82 0.0 1.0
45.00 0.00 -36.08 0.5 0.5
50.00 0.00 -35.50 0.5 0.5
55.00 0.00 -35.07 0.5 0.5
60.00 0.00 -34.79 0.5 0.5
65.00 0.00 -34.70 0.5 0.5
70.00 0.00 -34.84 0.5 0.5
75.00 0.00 -35.35 0.5 0.5
80.00 0.00 -36.57 0.5 0.5
85.00 0.00 -39.80 0.5 0.5
90.00 0.00 -999.99 0.5 0.5
0.00 10.00 -58.80 0.0 1.0
5.00 10.00 -52.09 0.0 1.0
10.00 10.00 -47.34 0.0 1.0
15.00 10.00 -44.23 0.0 1.0
20.00 10.00 -41.98 0.0 1.0
25.00 10.00 -40.24 0.0 1.0
30.00 10.00 -38.86 0.0 1.0
35.00 10.00 -37.74 0.0 1.0
40.00 10.00 -36.83 0.0 1.0
45.00 10.00 -36.09 0.5 0.5
50.00 10.00 -35.50 0.5 0.5
55.00 10.00 -35.07 0.5 0.5
60.00 10.00 -34.80 0.5 0.5
65.00 10.00 -34.71 0.5 0.5
70.00 10.00 -34.85 0.5 0.5
75.00 10.00 -35.35 0.5 0.5
80.00 10.00 -36.57 0.5 0.5
85.00 10.00 -39.80 0.5 0.5
90.00 10.00 -999.99 0.5 0.5
0.00 20.00 -59.20 0.0 1.0
5.00 20.00 -52.22 0.0 1.0
10.00 20.00 -47.40 0.0 1.0
15.00 20.00 -44.27 0.0 1.0
20.00 20.00 -42.01 0.0 1.0
