# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 5.3 MHz
# Altitude: 12050 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -8.38 0.0 1.0
5.00 0.00 -9.44 0.0 1.0
10.00 0.00 -10.33 0.0 1.0
15.00 0.00 -10.82 0.0 1.0
20.00 0.00 -10.73 0.0 1.0
25.00 0.00 -10.13 0.0 1.0
30.00 0.00 -9.25 0.0 1.0
35.00 0.00 -8.30 0.0 1.0
40.00 0.00 -7.43 0.0 1.0
45.00 0.00 -6.68 0.5 0.5
50.00 0.00 -6.08 0.5 0.5
55.00 0.00 -5.64 0.5 0.5
60.00 0.00 -5.37 0.5 0.5
65.00 0.00 -5.28 0.5 0.5
70.00 0.00 -5.44 0.5 0.5
75.00 0.00 -5.96 0.5 0.5
80.00 0.00 -7.19 0.5 0.5
85.00 0.00 -10.43 0.5 0.5
90.00 0.00 -999.99 0.5 0.5
0.00 10.00 -8.50 0.0 1.0
5.00 10.00 -9.57 0.0 1.0
10.00 10.00 -10.48 0.0 1.0
15.00 10.00 -10.98 0.0 1.0
20.00 10.00 -10.89 0.0 1.0
25.00 10.00 -10.28 0.0 1.0
30.00 10.00 -9.38 0.0 1.0
35.00 10.00 -8.41 0.0 1.0
40.00 10.00 -7.52 0.0 1.0
45.00 10.00 -6.75 0.5 0.5
50.00 10.00 -6.13 0.5 0.5
55.00 10.00 -5.67 0.5 0.5
60.00 10.00 -5.38 0.5 0.5
65.00 10.00 -5.28 0.5 0.5
70.00 10.00 -5.43 0.5 0.5
75.00 10.00 -5.94 0.5 0.5
80.00 10.00 -7.17 0.5 0.5
85.00 10.00 -10.41 0.5 0.5
90.00 10.00 -999.99 0.5 0.5
0.00 20.00 -8.88 0.0 1.0
5.00 20.00 -9.99 0.0 1.0
10.00 20.00 -10.92 0.0 1.0
15.00 20.00 -11.40 0.0 1.0
20.00 20.00 -11.25 0.0 1.0
25.00 20.00 -10.55 0.0 1.0
30.00 20.00 -9.57 0.0 1.0
35.00 20.00 -8.55 0.0 1.0
40.00 20.00 -7.61 0.0 1.0
45.00 20.00 -6.81 0.5 0.5
50.00 20.00 -6.16 0.5 0.5
55.00 20.00 -5.68 0.5 0.5
60.00 20.00 -5.37 0.5 0.5
65.00 20.00 -5.25 0.5 0.5
70.00 20.00 -5.38 0.5 0.5
75.00 20.00 -5.88 0.5 0.5
80.00 20.00 -7.09 0.5 0.5
85.00 20.00 -10.33 0.5 0.5
90.00 20.00 -999.99 0.5 0.5
0.00 30.00 -9.57 0.0 1.0
5.00 30.00 -10.75 0.0 1.0
10.00 30.00 -11.70 0.0 1.0
15.00 30.00 -12.10 0.0 1.0
20.00 30.00 -11.78 0.0 1.0
25.00 30.00 -10.90 0.0 1.0
30.00 30.00 -9.78 0.0 1.0
35.00 30.00 -8.67 0.0 1.0
40.00 30.00 -7.67 0.0 1.0
45.00 30.00 -6.83 0.5 0.5
50.00 30.00 -6.15 0.5 0.5
55.00 30.00 -5.64 0.5 0.5
60.00 30.00 -5.31 0.5 0.5
65.00 30.00 -5.17 0.5 0.5
70.00 30.00 -5.28 0.5 0.5
75.00 30.00 -5.77 0.5 0.5
80.00 30.00 -6.98 0.5 0.5
85.00 30.00 -10.20 0.5 0.5
90.00 30.00 -999.99 0.5 0.5
