# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 10.1 MHz
# Altitude: 50 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -25.63 0.0 1.0
5.00 0.00 -21.93 0.0 1.0
10.00 0.00 -17.31 0.0 1.0
15.00 0.00 -14.16 0.0 1.0
20.00 0.00 -11.88 0.0 1.0
25.00 0.00 -10.14 0.0 1.0
30.00 0.00 -8.74 0.0 1.0
35.00 0.00 -7.61 0.0 1.0
40.00 0.00 -6.68 0.0 1.0
45.00 0.00 -5.92 0.5 0.5
50.00 0.00 -5.32 0.5 0.5
55.00 0.00 -4.89 0.5 0.5
60.00 0.00 -4.62 0.5 0.5
65.00 0.00 -4.56 0.5 0.5
70.00 0.00 -4.79 0.5 0.5
75.00 0.00 -5.46 0.5 0.5
80.00 0.00 -6.96 0.5 0.5
85.00 0.00 -10.70 0.5 0.5
90.00 0.00 -999.99 0.5 0.5
0.00 10.00 -18.55 0.0 1.0
5.00 10.00 -18.73 0.0 1.0
10.00 10.00 -16.65 0.0 1.0
15.00 10.00 -14.20 0.0 1.0
20.00 10.00 -12.10 0.0 1.0
25.00 10.00 -10.37 0.0 1.0
30.00 10.00 -8.96 0.0 1.0
35.00 10.00 -7.79 0.0 1.0
40.00 10.00 -6.83 0.0 1.0
45.00 10.00 -6.03 0.5 0.5
50.00 10.00 -5.41 0.5 0.5
55.00 10.00 -4.94 0.5 0.5
60.00 10.00 -4.66 0.5 0.5
65.00 10.00 -4.59 0.5 0.5
70.00 10.00 -4.80 0.5 0.5
75.00 10.00 -5.46 0.5 0.5
80.00 10.00 -6.96 0.5 0.5
85.00 10.00 -10.69 0.5 0.5
90.00 10.00 -999.99 0.5 0.5
0.00 20.00 -14.76 0.0 1.0
5.00 20.00 -15.22 0.0 1.0
10.00 20.00 -14.46 0.0 1.0
15.00 20.00 -13.00 0.0 1.0
20.00 20.00 -11.42 0.0 1.0
25.00 20.00 -9.95 0.0 1.0
30.00 20.00 -8.67 0.0 1.0
35.00 20.00 -7.57 0.0 1.0
40.00 20.00 -6.64 0.0 1.0
45.00 20.00 -5.87 0.5 0.5
50.00 20.00 -5.26 0.5 0.5
55.00 20.00 -4.80 0.5 0.5
60.00 20.00 -4.52 0.5 0.5
65.00 20.00 -4.45 0.5 0.5
70.00 20.00 -4.67 0.5 0.5
75.00 20.00 -5.33 0.5 0.5
80.00 20.00 -6.83 0.5 0.5
85.00 20.00 -10.57 0.5 0.5
90.00 20.00 -999.99 0.5 0.5
0.00 30.00 -12.31 0.0 1.0
5.00 30.00 -12.65 0.0 1.0
10.00 30.00 -12.27 0.0 1.0
15.00 30.00 -11.36 0.0 1.0
20.00 30.00 -10.22 0.0 1.0
25.00 30.00 -9.06 0.0 1.0
30.00 30.00 -7.98 0.0 1.0
35.00 30.00 -7.01 0.0 1.0
40.00 30.00 -6.17 0.0 1.0
45.00 30.00 -5.47 0.5 0.5
50.00 30.00 -4.90 0.5 0.5
55.00 30.00 -4.48 0.5 0.5
60.00 30.00 -4.23 0.5 0.5
65.00 30.00 -4.19 0.5 0.5
70.00 30.00 -4.42 0.5 0.5
75.00 30.00 -5.09 0.5 0.5
80.00 30.00 -6.60 0.5 0.5
85.00 30.00 -10.34 0.5 0.5
90.00 30.00 -999.99 0.5 0.5
0.00 40.00 -10.60 0.0 1.0
5.00 40.00 -10.81 0.0 1.0
10.00 40.00 -10.52 0.0 1.0
15.00 40.00 -9.85 0.0 1.0
20.00 40.00 -8.97 0.0 1.0
25.00 40.00 -8.03 0.0 1.0
30.00 40.00 -7.13 0.0 1.0
35.00 40.00 -6.29 0.0 1.0
40.00 40.00 -5.56 0.0 1.0
45.00 40.00 -4.93 0.5 0.5
50.00 40.00 -4.43 0.5 0.5
55.00 40.00 -4.06 0.5 0.5
60.00 40.00 -3.85 0.5 0.5
65.00 40.00 -3.84 0.5 0.5
70.00 40.00 -4.10 0.5 0.5
75.00 40.00 -4.79 0.5 0.5
80.00 40.00 -6.31 0.5 0.5
85.00 40.00 -10.06 0.5 0.5
90.00 40.00 -999.99 0.5 0.5
0.00 50.00 -9.41 0.0 1.0
5.00 50.00 -9.51 0.0 1.0
10.00 50.00 -9.22 0.0 1.0
15.00 50.00 -8.65 0.0 1.0
20.00 50.00 -7.91 0.0 1.0
25.00 50.00 -7.11 0.0 1.0
30.00 50.00 -6.32 0.0 1.0
35.00 50.00 -5.59 0.0 1.0
40.00 50.00 -4.94 0.0 1.0
45.00 50.00 -4.39 0.5 0.5
50.00 50.00 -3.94 0.5 0.5
55.00 50.00 -3.62 0.5 0.5
60.00 50.00 -3.45 0.5 0.5
65.00 50.00 -3.47 0.5 0.5
70.00 50.00 -3.76 0.5 0.5
75.00 50.00 -4.47 0.5 0.5
80.00 50.00 -6.01 0.5 0.5
85.00 50.00 -9.76 0.5 0.5
90.00 50.00 -999.99 0.5 0.5
0.00 60.00 -8.59 0.0 1.0
5.00 60.00 -8.62 0.0 1.0
10.00 60.00 -8.33 0.0 1.0
15.00 60.00 -7.81 0.0 1.0
20.00 60.00 -7.14 0.0 1.0
25.00 60.00 -6.42 0.0 1.0
30.00 60.00 -5.71 0.0 1.0
35.00 60.00 -5.04 0.0 1.0
40.00 60.00 -4.45 0.0 1.0
45.00 60.00 -3.94 0.5 0.5
50.00 60.00 -3.54 0.5 0.5
55.00 60.00 -3.26 0.5 0.5
60.00 60.00 -3.12 0.5 0.5
65.00 60.00 -3.17 0.5 0.5
70.00 60.00 -3.47 0.5 0.5
75.00 60.00 -4.20 0.5 0.5
80.00 60.00 -5.75 0.5 0.5
85.00 60.00 -9.51 0.5 0.5
90.00 60.00 -999.99 0.5 0.5
0.00 70.00 -8.09 0.0 1.0
5.00 70.00 -8.09 0.0 1.0
10.00 70.00 -7.81 0.0 1.0
15.00 70.00 -7.31 0.0 1.0
20.00 70.00 -6.69 0.0 1.0
25.00 70.00 -6.01 0.0 1.0
30.00 70.00 -5.34 0.0 1.0
35.00 70.00 -4.71 0.0 1.0
40.00 70.00 -4.15 0.0 1.0
45.00 70.00 -3.67 0.5 0.5
50.00 70.00 -3.29 0.5 0.5
55.00 70.00 -3.03 0.5 0.5
60.00 70.00 -2.91 0.5 0.5
65.00 70.00 -2.97 0.5 0.5
70.00 70.00 -3.29 0.5 0.5
75.00 70.00 -4.03 0.5 0.5
80.00 70.00 -5.58 0.5 0.5
85.00 70.00 -9.35 0.5 0.5
90.00 70.00 -999.99 0.5 0.5
0.00 80.00 -7.87 0.0 1.0
5.00 80.00 -7.87 0.0 1.0
10.00 80.00 -7.62 0.0 1.0
15.00 80.00 -7.15 0.0 1.0
20.00 80.00 -6.56 0.0 1.0
25.00 80.00 -5.91 0.0 1.0
30.00 80.00 -5.26 0.0 1.0
35.00 80.00 -4.64 0.0 1.0
40.00 80.00 -4.09 0.0 1.0
45.00 80.00 -3.62 0.5 0.5
