# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 7.0 MHz
# Altitude: 14050 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -16.23 0.0 1.0
5.00 0.00 -15.64 0.0 1.0
10.00 0.00 -15.28 0.0 1.0
15.00 0.00 -15.00 0.0 1.0
20.00 0.00 -14.66 0.0 1.0
25.00 0.00 -14.14 0.0 1.0
30.00 0.00 -13.38 0.0 1.0
35.00 0.00 -12.43 0.0 1.0
40.00 0.00 -11.41 0.0 1.0
45.00 0.00 -10.41 0.5 0.5
50.00 0.00 -9.53 0.5 0.5
55.00 0.00 -8.80 0.5 0.5
60.00 0.00 -8.26 0.5 0.5
65.00 0.00 -7.95 0.5 0.5
70.00 0.00 -7.94 0.5 0.5
75.00 0.00 -8.38 0.5 0.5
80.00 0.00 -9.62 0.5 0.5
85.00 0.00 -13.02 0.5 0.5
90.00 0.00 -999.99 0.5 0.5
0.00 10.00 -18.88 0.0 1.0
5.00 10.00 -18.03 0.0 1.0
10.00 10.00 -17.37 0.0 1.0
15.00 10.00 -16.73 0.0 1.0
20.00 10.00 -15.96 0.0 1.0
25.00 10.00 -14.97 0.0 1.0
30.00 10.00 -13.80 0.0 1.0
35.00 10.00 -12.56 0.0 1.0
40.00 10.00 -11.35 0.0 1.0
45.00 10.00 -10.25 0.5 0.5
50.00 10.00 -9.32 0.5 0.5
55.00 10.00 -8.56 0.5 0.5
60.00 10.00 -8.02 0.5 0.5
65.00 10.00 -7.71 0.5 0.5
70.00 10.00 -7.71 0.5 0.5
75.00 10.00 -8.15 0.5 0.5
80.00 10.00 -9.39 0.5 0.5
85.00 10.00 -12.79 0.5 0.5
90.00 10.00 -999.99 0.5 0.5
0.00 20.00 -23.06 0.0 1.0
5.00 20.00 -21.36 0.0 1.0
10.00 20.00 -19.82 0.0 1.0
15.00 20.00 -18.32 0.0 1.0
20.00 20.00 -16.77 0.0 1.0
25.00 20.00 -15.20 0.0 1.0
30.00 20.00 -13.66 0.0 1.0
35.00 20.00 -12.23 0.0 1.0
40.00 20.00 -10.95 0.0 1.0
45.00 20.00 -9.83 0.5 0.5
50.00 20.00 -8.91 0.5 0.5
55.00 20.00 -8.18 0.5 0.5
60.00 20.00 -7.66 0.5 0.5
65.00 20.00 -7.38 0.5 0.5
70.00 20.00 -7.39 0.5 0.5
75.00 20.00 -7.84 0.5 0.5
80.00 20.00 -9.10 0.5 0.5
85.00 20.00 -12.51 0.5 0.5
90.00 20.00 -999.99 0.5 0.5
0.00 30.00 -31.08 0.0 1.0
5.00 30.00 -25.25 0.0 1.0
10.00 30.00 -21.57 0.0 1.0
15.00 30.00 -18.83 0.0 1.0
20.00 30.00 -16.59 0.0 1.0
25.00 30.00 -14.67 0.0 1.0
30.00 30.00 -13.00 0.0 1.0
35.00 30.00 -11.55 0.0 1.0
40.00 30.00 -10.31 0.0 1.0
45.00 30.00 -9.25 0.5 0.5
50.00 30.00 -8.39 0.5 0.5
55.00 30.00 -7.71 0.5 0.5
60.00 30.00 -7.24 0.5 0.5
65.00 30.00 -6.99 0.5 0.5
70.00 30.00 -7.04 0.5 0.5
75.00 30.00 -7.51 0.5 0.5
80.00 30.00 -8.78 0.5 0.5
85.00 30.00 -12.20 0.5 0.5
90.00 30.00 -999.99 0.5 0.5
0.00 40.00 -30.12 0.0 1.0
5.00 40.00 -24.78 0.0 1.0
10.00 40.00 -20.73 0.0 1.0
15.00 40.00 -17.80 0.0 1.0
20.00 40.00 -15.52 0.0 1.0
25.00 40.00 -13.64 0.0 1.0
30.00 40.00 -12.07 0.0 1.0
35.00 40.00 -10.72 0.0 1.0
40.00 40.00 -9.58 0.0 1.0
45.00 40.00 -8.62 0.5 0.5
50.00 40.00 -7.84 0.5 0.5
55.00 40.00 -7.24 0.5 0.5
60.00 40.00 -6.82 0.5 0.5
65.00 40.00 -6.62 0.5 0.5
70.00 40.00 -6.70 0.5 0.5
75.00 40.00 -7.20 0.5 0.5
80.00 40.00 -8.49 0.5 0.5
85.00 40.00 -11.92 0.5 0.5
90.00 40.00 -999.99 0.5 0.5
0.00 50.00 -22.60 0.0 1.0
5.00 50.00 -20.85 0.0 1.0
10.00 50.00 -18.37 0.0 1.0
15.00 50.00 -16.09 0.0 1.0
20.00 50.00 -14.15 0.0 1.0
25.00 50.00 -12.50 0.0 1.0
30.00 50.00 -11.10 0.0 1.0
35.00 50.00 -9.91 0.0 1.0
40.00 50.00 -8.90 0.0 1.0
45.00 50.00 -8.05 0.5 0.5
50.00 50.00 -7.36 0.5 0.5
55.00 50.00 -6.83 0.5 0.5
60.00 50.00 -6.47 0.5 0.5
65.00 50.00 -6.32 0.5 0.5
70.00 50.00 -6.44 0.5 0.5
75.00 50.00 -6.97 0.5 0.5
80.00 50.00 -8.28 0.5 0.5
85.00 50.00 -11.72 0.5 0.5
90.00 50.00 -999.99 0.5 0.5
0.00 60.00 -18.60 0.0 1.0
5.00 60.00 -17.71 0.0 1.0
10.00 60.00 -16.14 0.0 1.0
15.00 60.00 -14.45 0.0 1.0
20.00 60.00 -12.88 0.0 1.0
25.00 60.00 -11.49 0.0 1.0
30.00 60.00 -10.28 0.0 1.0
35.00 60.00 -9.23 0.0 1.0
40.00 60.00 -8.34 0.0 1.0
45.00 60.00 -7.59 0.5 0.5
50.00 60.00 -6.99 0.5 0.5
55.00 60.00 -6.54 0.5 0.5
60.00 60.00 -6.24 0.5 0.5
65.00 60.00 -6.14 0.5 0.5
70.00 60.00 -6.30 0.5 0.5
75.00 60.00 -6.86 0.5 0.5
80.00 60.00 -8.18 0.5 0.5
85.00 60.00 -11.64 0.5 0.5
90.00 60.00 -999.99 0.5 0.5
0.00 70.00 -16.04 0.0 1.0
5.00 70.00 -15.48 0.0 1.0
10.00 70.00 -14.41 0.0 1.0
