# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 7.0 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 6.52 0.0 1.0
5.00 0.00 7.61 0.0 1.0
10.00 0.00 8.72 0.0 1.0
15.00 0.00 9.83 0.0 1.0
20.00 0.00 10.93 0.0 1.0
25.00 0.00 12.01 0.0 1.0
30.00 0.00 13.06 0.0 1.0
35.00 0.00 14.08 0.0 1.0
40.00 0.00 15.04 0.0 1.0
45.00 0.00 15.91 0.5 0.5
50.00 0.00 16.67 0.5 0.5
55.00 0.00 17.27 0.5 0.5
60.00 0.00 17.67 0.5 0.5
65.00 0.00 17.81 0.5 0.5
70.00 0.00 17.59 0.5 0.5
75.00 0.00 16.82 0.5 0.5
80.00 0.00 15.07 0.5 0.5
85.00 0.00 10.91 0.5 0.5
90.00 0.00 -191.93 0.5 0.5
0.00 10.00 6.38 0.0 1.0
5.00 10.00 7.49 0.0 1.0
10.00 10.00 8.61 0.0 1.0
15.00 10.00 9.73 0.0 1.0
20.00 10.00 10.84 0.0 1.0
25.00 10.00 11.93 0.0 1.0
30.00 10.00 12.99 0.0 1.0
35.00 10.00 14.02 0.0 1.0
40.00 10.00 14.99 0.0 1.0
45.00 10.00 15.87 0.5 0.5
50.00 10.00 16.63 0.5 0.5
55.00 10.00 17.24 0.5 0.5
60.00 10.00 17.65 0.5 0.5
65.00 10.00 17.79 0.5 0.5
70.00 10.00 17.57 0.5 0.5
75.00 10.00 16.80 0.5 0.5
80.00 10.00 15.05 0.5 0.5
85.00 10.00 10.90 0.5 0.5
90.00 10.00 -192.01 0.5 0.5
0.00 20.00 5.98 0.0 1.0
5.00 20.00 7.12 0.0 1.0
10.00 20.00 8.28 0.0 1.0
15.00 20.00 9.44 0.0 1.0
20.00 20.00 10.57 0.0 1.0
25.00 20.00 11.69 0.0 1.0
30.00 20.00 12.79 0.0 1.0
35.00 20.00 13.84 0.0 1.0
40.00 20.00 14.83 0.0 1.0
45.00 20.00 15.74 0.5 0.5
50.00 20.00 16.52 0.5 0.5
55.00 20.00 17.15 0.5 0.5
60.00 20.00 17.57 0.5 0.5
65.00 20.00 17.73 0.5 0.5
70.00 20.00 17.52 0.5 0.5
75.00 20.00 16.76 0.5 0.5
80.00 20.00 15.01 0.5 0.5
85.00 20.00 10.86 0.5 0.5
90.00 20.00 -191.84 0.5 0.5
0.00 30.00 5.27 0.0 1.0
5.00 30.00 6.48 0.0 1.0
10.00 30.00 7.71 0.0 1.0
15.00 30.00 8.93 0.0 1.0
20.00 30.00 10.13 0.0 1.0
25.00 30.00 11.30 0.0 1.0
30.00 30.00 12.44 0.0 1.0
35.00 30.00 13.54 0.0 1.0
40.00 30.00 14.58 0.0 1.0
45.00 30.00 15.52 0.5 0.5
50.00 30.00 16.34 0.5 0.5
55.00 30.00 17.00 0.5 0.5
60.00 30.00 17.44 0.5 0.5
65.00 30.00 17.62 0.5 0.5
70.00 30.00 17.43 0.5 0.5
75.00 30.00 16.68 0.5 0.5
80.00 30.00 14.95 0.5 0.5
85.00 30.00 10.80 0.5 0.5
90.00 30.00 -191.54 0.5 0.5
0.00 40.00 4.20 0.0 1.0
5.00 40.00 5.54 0.0 1.0
10.00 40.00 6.89 0.0 1.0
15.00 40.00 8.20 0.0 1.0
20.00 40.00 9.49 0.0 1.0
25.00 40.00 10.75 0.0 1.0
30.00 40.00 11.97 0.0 1.0
35.00 40.00 13.14 0.0 1.0
40.00 40.00 14.24 0.0 1.0
45.00 40.00 15.23 0.5 0.5
50.00 40.00 16.10 0.5 0.5
55.00 40.00 16.80 0.5 0.5
60.00 40.00 17.28 0.5 0.5
65.00 40.00 17.48 0.5 0.5
70.00 40.00 17.31 0.5 0.5
75.00 40.00 16.58 0.5 0.5
80.00 40.00 14.86 0.5 0.5
85.00 40.00 10.71 0.5 0.5
90.00 40.00 -192.18 0.5 0.5
0.00 50.00 2.68 0.0 1.0
5.00 50.00 4.23 0.0 1.0
10.00 50.00 5.76 0.0 1.0
15.00 50.00 7.24 0.0 1.0
20.00 50.00 8.67 0.0 1.0
25.00 50.00 10.05 0.0 1.0
30.00 50.00 11.37 0.0 1.0
35.00 50.00 12.64 0.0 1.0
40.00 50.00 13.82 0.0 1.0
45.00 50.00 14.89 0.5 0.5
50.00 50.00 15.81 0.5 0.5
55.00 50.00 16.56 0.5 0.5
60.00 50.00 17.08 0.5 0.5
65.00 50.00 17.32 0.5 0.5
70.00 50.00 17.17 0.5 0.5
75.00 50.00 16.46 0.5 0.5
80.00 50.00 14.75 0.5 0.5
85.00 50.00 10.61 0.5 0.5
90.00 50.00 -192.06 0.5 0.5
0.00 60.00 0.50 0.0 1.0
5.00 60.00 2.43 0.0 1.0
10.00 60.00 4.28 0.0 1.0
15.00 60.00 6.02 0.0 1.0
20.00 60.00 7.66 0.0 1.0
25.00 60.00 9.21 0.0 1.0
30.00 60.00 10.68 0.0 1.0
35.00 60.00 12.06 0.0 1.0
40.00 60.00 13.34 0.0 1.0
45.00 60.00 14.50 0.5 0.5
50.00 60.00 15.49 0.5 0.5
55.00 60.00 16.29 0.5 0.5
60.00 60.00 16.86 0.5 0.5
65.00 60.00 17.13 0.5 0.5
70.00 60.00 17.01 0.5 0.5
75.00 60.00 16.32 0.5 0.5
