# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 3.5 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -25.64 0.0 1.0
5.00 0.00 -30.79 0.0 1.0
10.00 0.00 -19.36 0.0 1.0
15.00 0.00 -14.61 0.0 1.0
20.00 0.00 -11.62 0.0 1.0
25.00 0.00 -9.46 0.0 1.0
30.00 0.00 -7.81 0.0 1.0
35.00 0.00 -6.51 0.0 1.0
40.00 0.00 -5.47 0.0 1.0
45.00 0.00 -4.66 0.5 0.5
50.00 0.00 -4.04 0.5 0.5
55.00 0.00 -3.61 0.5 0.5
60.00 0.00 -3.39 0.5 0.5
65.00 0.00 -3.40 0.5 0.5
70.00 0.00 -3.72 0.5 0.5
75.00 0.00 -4.51 0.5 0.5
80.00 0.00 -6.17 0.5 0.5
85.00 0.00 -10.12 0.5 0.5
90.00 0.00 -999.99 0.5 0.5
0.00 10.00 -25.76 0.0 1.0
5.00 10.00 -30.58 0.0 1.0
10.00 10.00 -19.29 0.0 1.0
15.00 10.00 -14.58 0.0 1.0
20.00 10.00 -11.59 0.0 1.0
25.00 10.00 -9.44 0.0 1.0
30.00 10.00 -7.80 0.0 1.0
35.00 10.00 -6.50 0.0 1.0
40.00 10.00 -5.46 0.0 1.0
45.00 10.00 -4.65 0.5 0.5
50.00 10.00 -4.03 0.5 0.5
55.00 10.00 -3.60 0.5 0.5
60.00 10.00 -3.38 0.5 0.5
65.00 10.00 -3.39 0.5 0.5
70.00 10.00 -3.71 0.5 0.5
75.00 10.00 -4.50 0.5 0.5
80.00 10.00 -6.17 0.5 0.5
85.00 10.00 -10.11 0.5 0.5
90.00 10.00 -999.99 0.5 0.5
0.00 20.00 -26.17 0.0 1.0
5.00 20.00 -29.95 0.0 1.0
10.00 20.00 -19.11 0.0 1.0
15.00 20.00 -14.47 0.0 1.0
20.00 20.00 -11.52 0.0 1.0
25.00 20.00 -9.39 0.0 1.0
30.00 20.00 -7.75 0.0 1.0
35.00 20.00 -6.46 0.0 1.0
40.00 20.00 -5.43 0.0 1.0
45.00 20.00 -4.62 0.5 0.5
50.00 20.00 -4.00 0.5 0.5
55.00 20.00 -3.58 0.5 0.5
60.00 20.00 -3.36 0.5 0.5
65.00 20.00 -3.37 0.5 0.5
70.00 20.00 -3.69 0.5 0.5
75.00 20.00 -4.48 0.5 0.5
80.00 20.00 -6.15 0.5 0.5
85.00 20.00 -10.09 0.5 0.5
90.00 20.00 -999.99 0.5 0.5
0.00 30.00 -26.87 0.0 1.0
5.00 30.00 -28.99 0.0 1.0
10.00 30.00 -18.82 0.0 1.0
15.00 30.00 -14.30 0.0 1.0
20.00 30.00 -11.40 0.0 1.0
25.00 30.00 -9.29 0.0 1.0
30.00 30.00 -7.67 0.0 1.0
35.00 30.00 -6.39 0.0 1.0
40.00 30.00 -5.37 0.0 1.0
45.00 30.00 -4.57 0.5 0.5
50.00 30.00 -3.96 0.5 0.5
55.00 30.00 -3.54 0.5 0.5
60.00 30.00 -3.32 0.5 0.5
65.00 30.00 -3.33 0.5 0.5
70.00 30.00 -3.66 0.5 0.5
75.00 30.00 -4.45 0.5 0.5
80.00 30.00 -6.12 0.5 0.5
85.00 30.00 -10.06 0.5 0.5
90.00 30.00 -999.99 0.5 0.5
0.00 40.00 -27.93 0.0 1.0
5.00 40.00 -27.84 0.0 1.0
10.00 40.00 -18.43 0.0 1.0
15.00 40.00 -14.07 0.0 1.0
20.00 40.00 -11.23 0.0 1.0
25.00 40.00 -9.16 0.0 1.0
30.00 40.00 -7.57 0.0 1.0
35.00 40.00 -6.30 0.0 1.0
