# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 5.3 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -22.70 0.0 1.0
5.00 0.00 -32.56 0.0 1.0
10.00 0.00 -20.86 0.0 1.0
15.00 0.00 -15.48 0.0 1.0
20.00 0.00 -12.17 0.0 1.0
25.00 0.00 -9.80 0.0 1.0
30.00 0.00 -7.98 0.0 1.0
35.00 0.00 -6.54 0.0 1.0
40.00 0.00 -5.38 0.0 1.0
45.00 0.00 -4.45 0.5 0.5
50.00 0.00 -3.74 0.5 0.5
55.00 0.00 -3.23 0.5 0.5
60.00 0.00 -2.96 0.5 0.5
65.00 0.00 -2.94 0.5 0.5
70.00 0.00 -3.27 0.5 0.5
75.00 0.00 -4.11 0.5 0.5
80.00 0.00 -5.89 0.5 0.5
85.00 0.00 -10.00 0.5 0.5
90.00 0.00 -999.99 0.5 0.5
0.00 10.00 -22.83 0.0 1.0
5.00 10.00 -32.55 0.0 1.0
10.00 10.00 -20.79 0.0 1.0
15.00 10.00 -15.44 0.0 1.0
20.00 10.00 -12.14 0.0 1.0
25.00 10.00 -9.78 0.0 1.0
30.00 10.00 -7.97 0.0 1.0
35.00 10.00 -6.53 0.0 1.0
40.00 10.00 -5.37 0.0 1.0
45.00 10.00 -4.44 0.5 0.5
50.00 10.00 -3.73 0.5 0.5
55.00 10.00 -3.23 0.5 0.5
60.00 10.00 -2.95 0.5 0.5
65.00 10.00 -2.94 0.5 0.5
70.00 10.00 -3.27 0.5 0.5
75.00 10.00 -4.11 0.5 0.5
80.00 10.00 -5.88 0.5 0.5
85.00 10.00 -10.00 0.5 0.5
90.00 10.00 -999.99 0.5 0.5
0.00 20.00 -23.23 0.0 1.0
5.00 20.00 -32.42 0.0 1.0
10.00 20.00 -20.56 0.0 1.0
15.00 20.00 -15.31 0.0 1.0
20.00 20.00 -12.06 0.0 1.0
25.00 20.00 -9.72 0.0 1.0
30.00 20.00 -7.93 0.0 1.0
35.00 20.00 -6.49 0.0 1.0
40.00 20.00 -5.34 0.0 1.0
45.00 20.00 -4.42 0.5 0.5
50.00 20.00 -3.72 0.5 0.5
55.00 20.00 -3.22 0.5 0.5
60.00 20.00 -2.94 0.5 0.5
65.00 20.00 -2.93 0.5 0.5
70.00 20.00 -3.26 0.5 0.5
75.00 20.00 -4.11 0.5 0.5
80.00 20.00 -5.88 0.5 0.5
85.00 20.00 -10.00 0.5 0.5
90.00 20.00 -999.99 0.5 0.5
0.00 30.00 -23.94 0.0 1.0
5.00 30.00 -31.89 0.0 1.0
10.00 30.00 -20.18 0.0 1.0
15.00 30.00 -15.10 0.0 1.0
20.00 30.00 -11.92 0.0 1.0
25.00 30.00 -9.63 0.0 1.0
30.00 30.00 -7.85 0.0 1.0
35.00 30.00 -6.44 0.0 1.0
40.00 30.00 -5.30 0.0 1.0
45.00 30.00 -4.39 0.5 0.5
50.00 30.00 -3.69 0.5 0.5
55.00 30.00 -3.20 0.5 0.5
60.00 30.00 -2.93 0.5 0.5
65.00 30.00 -2.92 0.5 0.5
70.00 30.00 -3.25 0.5 0.5
75.00 30.00 -4.09 0.5 0.5
80.00 30.00 -5.87 0.5 0.5
85.00 30.00 -9.99 0.5 0.5
90.00 30.00 -999.99 0.5 0.5
0.00 40.00 -25.00 0.0 1.0
5.00 40.00 -30.75 0.0 1.0
10.00 40.00 -19.67 0.0 1.0
15.00 40.00 -14.82 0.0 1.0
20.00 40.00 -11.73 0.0 1.0
25.00 40.00 -9.49 0.0 1.0
30.00 40.00 -7.75 0.0 1.0
35.00 40.00 -6.36 0.0 1.0
40.00 40.00 -5.23 0.0 1.0
45.00 40.00 -4.34 0.5 0.5
50.00 40.00 -3.65 0.5 0.5
55.00 40.00 -3.16 0.5 0.5
60.00 40.00 -2.89 0.5 0.5
65.00 40.00 -2.89 0.5 0.5
70.00 40.00 -3.23 0.5 0.5
75.00 40.00 -4.07 0.5 0.5
80.00 40.00 -5.85 0.5 0.5
85.00 40.00 -9.97 0.5 0.5
90.00 40.00 -999.99 0.5 0.5
0.00 50.00 -26.51 0.0 1.0
5.00 50.00 -29.09 0.0 1.0
10.00 50.00 -19.05 0.0 1.0
15.00 50.00 -14.47 0.0 1.0
20.00 50.00 -11.49 0.0 1.0
25.00 50.00 -9.31 0.0 1.0
30.00 50.00 -7.61 0.0 1.0
35.00 50.00 -6.25 0.0 1.0
40.00 50.00 -5.14 0.0 1.0
45.00 50.00 -4.26 0.5 0.5
50.00 50.00 -3.58 0.5 0.5
55.00 50.00 -3.11 0.5 0.5
60.00 50.00 -2.85 0.5 0.5
65.00 50.00 -2.85 0.5 0.5
70.00 50.00 -3.19 0.5 0.5
75.00 50.00 -4.04 0.5 0.5
80.00 50.00 -5.82 0.5 0.5
85.00 50.00 -9.94 0.5 0.5
90.00 50.00 -999.99 0.5 0.5
0.00 60.00 -28.68 0.0 1.0
5.00 60.00 -27.22 0.0 1.0
10.00 60.00 -18.37 0.0 1.0
15.00 60.00 -14.06 0.0 1.0
20.00 60.00 -11.21 0.0 1.0
25.00 60.00 -9.10 0.0 1.0
30.00 60.00 -7.44 0.0 1.0
35.00 60.00 -6.11 0.0 1.0
40.00 60.00 -5.03 0.0 1.0
45.00 60.00 -4.16 0.5 0.5
50.00 60.00 -3.50 0.5 0.5
55.00 60.00 -3.03 0.5 0.5
60.00 60.00 -2.78 0.5 0.5
65.00 60.00 -2.79 0.5 0.5
70.00 60.00 -3.13 0.5 0.5
75.00 60.00 -3.99 0.5 0.5
80.00 60.00 -5.77 0.5 0.5
85.00 60.00 -9.89 0.5 0.5
90.00 60.00 -999.99 0.5 0.5
0.00 70.00 -31.95 0.0 1.0
5.00 70.00 -25.39 0.0 1.0
10.00 70.00 -17.64 0.0 1.0
15.00 70.00 -13.62 0.0 1.0
20.00 70.00 -10.90 0.0 1.0
25.00 70.00 -8.86 0.0 1.0
30.00 70.00 -7.25 0.0 1.0
35.00 70.00 -5.95 0.0 1.0
40.00 70.00 -4.89 0.0 1.0
45.00 70.00 -4.05 0.5 0.5
50.00 70.00 -3.39 0.5 0.5
55.00 70.00 -2.94 0.5 0.5
60.00 70.00 -2.70 0.5 0.5
65.00 70.00 -2.71 0.5 0.5
70.00 70.00 -3.06 0.5 0.5
75.00 70.00 -3.92 0.5 0.5
80.00 70.00 -5.70 0.5 0.5
85.00 70.00 -9.82 0.5 0.5
90.00 70.00 -999.99 0.5 0.5
0.00 80.00 -37.76 0.0 1.0
5.00 80.00 -23.71 0.0 1.0
10.00 80.00 -16.91 0.0 1.0
15.00 80.00 -13.16 0.0 1.0
20.00 80.00 -10.56 0.0 1.0
25.00 80.00 -8.60 0.0 1.0
30.00 80.00 -7.04 0.0 1.0
35.00 80.00 -5.77 0.0 1.0
40.00 80.00 -4.74 0.0 1.0
45.00 80.00 -3.91 0.5 0.5
50.00 80.00 -3.27 0.5 0.5
55.00 80.00 -2.83 0.5 0.5
60.00 80.00 -2.60 0.5 0.5
65.00 80.00 -2.62 0.5 0.5
70.00 80.00 -2.97 0.5 0.5
75.00 80.00 -3.83 0.5 0.5
80.00 80.00 -5.62 0.5 0.5
85.00 80.00 -9.74 0.5 0.5
90.00 80.00 -999.99 0.5 0.5
0.00 90.00 -72.83 0.0 1.0
5.00 90.00 -22.23 0.0 1.0
10.00 90.00 -16.20 0.0 1.0
15.00 90.00 -12.69 0.0 1.0
20.00 90.00 -10.22 0.0 1.0
25.00 90.00 -8.33 0.0 1.0
30.00 90.00 -6.81 0.0 1.0
35.00 90.00 -5.58 0.0 1.0
40.00 90.00 -4.57 0.0 1.0
45.00 90.00 -3.76 0.5 0.5
50.00 90.00 -3.14 0.5 0.5
55.00 90.00 -2.71 0.5 0.5
60.00 90.00 -2.49 0.5 0.5
65.00 90.00 -2.51 0.5 0.5
70.00 90.00 -2.87 0.5 0.5
75.00 90.00 -3.74 0.5 0.5
80.00 90.00 -5.53 0.5 0.5
85.00 90.00 -9.65 0.5 0.5
90.00 90.00 -999.99 0.5 0.5
0.00 100.00 -38.06 0.0 1.0
5.00 100.00 -20.94 0.0 1.0
10.00 100.00 -15.54 0.0 1.0
15.00 100.00 -12.24 0.0 1.0
20.00 100.00 -9.88 0.0 1.0
25.00 100.00 -8.06 0.0 1.0
30.00 100.00 -6.59 0.0 1.0
35.00 100.00 -5.39 0.0 1.0
40.00 100.00 -4.41 0.0 1.0
45.00 100.00 -3.61 0.5 0.5
50.00 100.00 -3.01 0.5 0.5
55.00 100.00 -2.58 0.5 0.5
60.00 100.00 -2.37 0.5 0.5
65.00 100.00 -2.40 0.5 0.5
70.00 100.00 -2.77 0.5 0.5
75.00 100.00 -3.64 0.5 0.5
80.00 100.00 -5.43 0.5 0.5
85.00 100.00 -9.56 0.5 0.5
90.00 100.00 -999.99 0.5 0.5
0.00 110.00 -32.09 0.0 1.0
5.00 110.00 -19.84 0.0 1.0
10.00 110.00 -14.93 0.0 1.0
15.00 110.00 -11.82 0.0 1.0
20.00 110.00 -9.56 0.0 1.0
25.00 110.00 -7.80 0.0 1.0
30.00 110.00 -6.37 0.0 1.0
35.00 110.00 -5.20 0.0 1.0
40.00 110.00 -4.24 0.0 1.0
45.00 110.00 -3.47 0.5 0.5
50.00 110.00 -2.87 0.5 0.5
55.00 110.00 -2.46 0.5 0.5
60.00 110.00 -2.26 0.5 0.5
65.00 110.00 -2.30 0.5 0.5
70.00 110.00 -2.67 0.5 0.5
75.00 110.00 -3.54 0.5 0.5
80.00 110.00 -5.33 0.5 0.5
85.00 110.00 -9.47 0.5 0.5
90.00 110.00 -999.99 0.5 0.5
0.00 120.00 -28.77 0.0 1.0
5.00 120.00 -18.91 0.0 1.0
10.00 120.00 -14.39 0.0 1.0
15.00 120.00 -11.45 0.0 1.0
20.00 120.00 -9.27 0.0 1.0
25.00 120.00 -7.56 0.0 1.0
30.00 120.00 -6.17 0.0 1.0
35.00 120.00 -5.03 0.0 1.0
40.00 120.00 -4.09 0.0 1.0
45.00 120.00 -3.33 0.5 0.5
50.00 120.00 -2.75 0.5 0.5
55.00 120.00 -2.35 0.5 0.5
60.00 120.00 -2.15 0.5 0.5
65.00 120.00 -2.20 0.5 0.5
70.00 120.00 -2.58 0.5 0.5
75.00 120.00 -3.45 0.5 0.5
80.00 120.00 -5.25 0.5 0.5
85.00 120.00 -9.38 0.5 0.5
90.00 120.00 -999.99 0.5 0.5
0.00 130.00 -26.57 0.0 1.0
5.00 130.00 -18.15 0.0 1.0
10.00 130.00 -13.93 0.0 1.0
15.00 130.00 -11.12 0.0 1.0
20.00 130.00 -9.01 0.0 1.0
25.00 130.00 -7.35 0.0 1.0
30.00 130.00 -6.00 0.0 1.0
35.00 130.00 -4.88 0.0 1.0
40.00 130.00 -3.96 0.0 1.0
45.00 130.00 -3.21 0.5 0.5
50.00 130.00 -2.64 0.5 0.5
55.00 130.00 -2.25 0.5 0.5
60.00 130.00 -2.06 0.5 0.5
65.00 130.00 -2.11 0.5 0.5
70.00 130.00 -2.50 0.5 0.5
75.00 130.00 -3.38 0.5 0.5
80.00 130.00 -5.17 0.5 0.5
85.00 130.00 -9.31 0.5 0.5
90.00 130.00 -999.99 0.5 0.5
0.00 140.00 -25.04 0.0 1.0
5.00 140.00 -17.54 0.0 1.0
10.00 140.00 -13.55 0.0 1.0
15.00 140.00 -10.84 0.0 1.0
20.00 140.00 -8.80 0.0 1.0
25.00 140.00 -7.17 0.0 1.0
30.00 140.00 -5.85 0.0 1.0
35.00 140.00 -4.75 0.0 1.0
40.00 140.00 -3.84 0.0 1.0
45.00 140.00 -3.11 0.5 0.5
50.00 140.00 -2.55 0.5 0.5
55.00 140.00 -2.17 0.5 0.5
60.00 140.00 -1.99 0.5 0.5
65.00 140.00 -2.05 0.5 0.5
70.00 140.00 -2.43 0.5 0.5
75.00 140.00 -3.31 0.5 0.5
80.00 140.00 -5.11 0.5 0.5
85.00 140.00 -9.25 0.5 0.5
90.00 140.00 -999.99 0.5 0.5
0.00 150.00 -23.97 0.0 1.0
5.00 150.00 -17.07 0.0 1.0
10.00 150.00 -13.25 0.0 1.0
15.00 150.00 -10.62 0.0 1.0
