# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 225.0 MHz
# Antenna: Leopard 1 NATO MBT - Primary VHF-FM Tactical Whip
# Vehicle: West German Main Battle Tank (NATO standard)
# Height: 2.8m above ground (turret-mounted)
# Ground Plane: Steel armor hull (excellent conductor)
# Type: Military frequency
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0 0 4.5 0.1 0.9
0 10 4.5 0.1 0.9
0 20 4.5 0.1 0.9
0 30 4.5 0.1 0.9
0 40 4.5 0.1 0.9
0 50 4.5 0.1 0.9
0 60 4.5 0.1 0.9
0 70 4.5 0.1 0.9
0 80 4.5 0.1 0.9
0 90 4.5 0.1 0.9
0 100 4.5 0.1 0.9
0 110 4.5 0.1 0.9
0 120 4.5 0.1 0.9
0 130 4.5 0.1 0.9
0 140 4.5 0.1 0.9
0 150 4.5 0.1 0.9
0 160 4.5 0.1 0.9
0 170 4.5 0.1 0.9
0 180 4.5 0.1 0.9
0 190 4.5 0.1 0.9
0 200 4.5 0.1 0.9
0 210 4.5 0.1 0.9
0 220 4.5 0.1 0.9
0 230 4.5 0.1 0.9
0 240 4.5 0.1 0.9
0 250 4.5 0.1 0.9
0 260 4.5 0.1 0.9
0 270 4.5 0.1 0.9
0 280 4.5 0.1 0.9
0 290 4.5 0.1 0.9
0 300 4.5 0.1 0.9
0 310 4.5 0.1 0.9
0 320 4.5 0.1 0.9
0 330 4.5 0.1 0.9
0 340 4.5 0.1 0.9
0 350 4.5 0.1 0.9
5 0 4.5 0.1 0.9
5 10 4.5 0.1 0.9
5 20 4.5 0.1 0.9
5 30 4.5 0.1 0.9
5 40 4.5 0.1 0.9
5 50 4.5 0.1 0.9
5 60 4.5 0.1 0.9
5 70 4.5 0.1 0.9
5 80 4.5 0.1 0.9
5 90 4.5 0.1 0.9
5 100 4.5 0.1 0.9
5 110 4.5 0.1 0.9
5 120 4.5 0.1 0.9
5 130 4.5 0.1 0.9
5 140 4.5 0.1 0.9
5 150 4.5 0.1 0.9
5 160 4.5 0.1 0.9
5 170 4.5 0.1 0.9
5 180 4.5 0.1 0.9
5 190 4.5 0.1 0.9
5 200 4.5 0.1 0.9
5 210 4.5 0.1 0.9
5 220 4.5 0.1 0.9
5 230 4.5 0.1 0.9
5 240 4.5 0.1 0.9
5 250 4.5 0.1 0.9
5 260 4.5 0.1 0.9
5 270 4.5 0.1 0.9
5 280 4.5 0.1 0.9
5 290 4.5 0.1 0.9
5 300 4.5 0.1 0.9
5 310 4.5 0.1 0.9
5 320 4.5 0.1 0.9
5 330 4.5 0.1 0.9
5 340 4.5 0.1 0.9
5 350 4.5 0.1 0.9
10 0 4.5 0.1 0.9
10 10 4.5 0.1 0.9
10 20 4.5 0.1 0.9
10 30 4.5 0.1 0.9
10 40 4.5 0.1 0.9
10 50 4.5 0.1 0.9
10 60 4.5 0.1 0.9
10 70 4.5 0.1 0.9
10 80 4.5 0.1 0.9
10 90 4.5 0.1 0.9
10 100 4.5 0.1 0.9
10 110 4.5 0.1 0.9
10 120 4.5 0.1 0.9
10 130 4.5 0.1 0.9
10 140 4.5 0.1 0.9
10 150 4.5 0.1 0.9
10 160 4.5 0.1 0.9
10 170 4.5 0.1 0.9
10 180 4.5 0.1 0.9
10 190 4.5 0.1 0.9
10 200 4.5 0.1 0.9
10 210 4.5 0.1 0.9
10 220 4.5 0.1 0.9
10 230 4.5 0.1 0.9
10 240 4.5 0.1 0.9
10 250 4.5 0.1 0.9
10 260 4.5 0.1 0.9
10 270 4.5 0.1 0.9
10 280 4.5 0.1 0.9
10 290 4.5 0.1 0.9
10 300 4.5 0.1 0.9
10 310 4.5 0.1 0.9
10 320 4.5 0.1 0.9
10 330 4.5 0.1 0.9
10 340 4.5 0.1 0.9
10 350 4.5 0.1 0.9
15 0 4.5 0.1 0.9
15 10 4.5 0.1 0.9
15 20 4.5 0.1 0.9
15 30 4.5 0.1 0.9
15 40 4.5 0.1 0.9
15 50 4.5 0.1 0.9
15 60 4.5 0.1 0.9
15 70 4.5 0.1 0.9
15 80 4.5 0.1 0.9
15 90 4.5 0.1 0.9
15 100 4.5 0.1 0.9
15 110 4.5 0.1 0.9
15 120 4.5 0.1 0.9
15 130 4.5 0.1 0.9
15 140 4.5 0.1 0.9
15 150 4.5 0.1 0.9
15 160 4.5 0.1 0.9
15 170 4.5 0.1 0.9
15 180 4.5 0.1 0.9
15 190 4.5 0.1 0.9
15 200 4.5 0.1 0.9
15 210 4.5 0.1 0.9
