# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 3.0 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -14.77 0.0 1.0
5.00 0.00 -12.63 0.0 1.0
10.00 0.00 -10.16 0.0 1.0
15.00 0.00 -8.02 0.0 1.0
20.00 0.00 -6.25 0.0 1.0
25.00 0.00 -4.78 0.0 1.0
30.00 0.00 -3.55 0.0 1.0
35.00 0.00 -2.52 0.0 1.0
40.00 0.00 -1.65 0.0 1.0
45.00 0.00 -0.93 0.5 0.5
50.00 0.00 -0.34 0.5 0.5
55.00 0.00 0.13 0.5 0.5
60.00 0.00 0.46 0.5 0.5
65.00 0.00 0.63 0.5 0.5
70.00 0.00 0.62 0.5 0.5
75.00 0.00 0.31 0.5 0.5
80.00 0.00 -0.58 0.5 0.5
85.00 0.00 -3.21 0.5 0.5
90.00 0.00 -999.99 0.5 0.5
0.00 10.00 -14.89 0.0 1.0
5.00 10.00 -12.71 0.0 1.0
10.00 10.00 -10.21 0.0 1.0
15.00 10.00 -8.05 0.0 1.0
20.00 10.00 -6.27 0.0 1.0
25.00 10.00 -4.79 0.0 1.0
30.00 10.00 -3.56 0.0 1.0
35.00 10.00 -2.52 0.0 1.0
40.00 10.00 -1.65 0.0 1.0
45.00 10.00 -0.93 0.5 0.5
50.00 10.00 -0.34 0.5 0.5
55.00 10.00 0.13 0.5 0.5
60.00 10.00 0.46 0.5 0.5
65.00 10.00 0.63 0.5 0.5
70.00 10.00 0.62 0.5 0.5
75.00 10.00 0.31 0.5 0.5
80.00 10.00 -0.58 0.5 0.5
85.00 10.00 -3.21 0.5 0.5
90.00 10.00 -999.99 0.5 0.5
0.00 20.00 -15.28 0.0 1.0
5.00 20.00 -12.98 0.0 1.0
10.00 20.00 -10.37 0.0 1.0
15.00 20.00 -8.15 0.0 1.0
20.00 20.00 -6.33 0.0 1.0
25.00 20.00 -4.83 0.0 1.0
30.00 20.00 -3.58 0.0 1.0
35.00 20.00 -2.54 0.0 1.0
40.00 20.00 -1.66 0.0 1.0
45.00 20.00 -0.94 0.5 0.5
50.00 20.00 -0.34 0.5 0.5
55.00 20.00 0.12 0.5 0.5
60.00 20.00 0.45 0.5 0.5
65.00 20.00 0.63 0.5 0.5
70.00 20.00 0.61 0.5 0.5
75.00 20.00 0.30 0.5 0.5
80.00 20.00 -0.59 0.5 0.5
85.00 20.00 -3.21 0.5 0.5
90.00 20.00 -999.99 0.5 0.5
0.00 30.00 -15.98 0.0 1.0
5.00 30.00 -13.43 0.0 1.0
10.00 30.00 -10.62 0.0 1.0
15.00 30.00 -8.30 0.0 1.0
20.00 30.00 -6.42 0.0 1.0
25.00 30.00 -4.89 0.0 1.0
30.00 30.00 -3.62 0.0 1.0
35.00 30.00 -2.57 0.0 1.0
40.00 30.00 -1.68 0.0 1.0
45.00 30.00 -0.95 0.5 0.5
50.00 30.00 -0.35 0.5 0.5
55.00 30.00 0.11 0.5 0.5
60.00 30.00 0.44 0.5 0.5
65.00 30.00 0.62 0.5 0.5
70.00 30.00 0.60 0.5 0.5
75.00 30.00 0.29 0.5 0.5
80.00 30.00 -0.60 0.5 0.5
85.00 30.00 -3.22 0.5 0.5
90.00 30.00 -999.99 0.5 0.5
0.00 40.00 -17.02 0.0 1.0
5.00 40.00 -14.08 0.0 1.0
10.00 40.00 -10.97 0.0 1.0
15.00 40.00 -8.50 0.0 1.0
20.00 40.00 -6.55 0.0 1.0
25.00 40.00 -4.97 0.0 1.0
30.00 40.00 -3.68 0.0 1.0
35.00 40.00 -2.61 0.0 1.0
40.00 40.00 -1.71 0.0 1.0
45.00 40.00 -0.97 0.5 0.5
50.00 40.00 -0.37 0.5 0.5
55.00 40.00 0.10 0.5 0.5
60.00 40.00 0.43 0.5 0.5
65.00 40.00 0.61 0.5 0.5
70.00 40.00 0.59 0.5 0.5
75.00 40.00 0.28 0.5 0.5
80.00 40.00 -0.61 0.5 0.5
85.00 40.00 -3.24 0.5 0.5
90.00 40.00 -999.99 0.5 0.5
0.00 50.00 -18.52 0.0 1.0
5.00 50.00 -14.92 0.0 1.0
10.00 50.00 -11.41 0.0 1.0
15.00 50.00 -8.75 0.0 1.0
20.00 50.00 -6.70 0.0 1.0
25.00 50.00 -5.07 0.0 1.0
30.00 50.00 -3.75 0.0 1.0
35.00 50.00 -2.66 0.0 1.0
40.00 50.00 -1.75 0.0 1.0
45.00 50.00 -1.00 0.5 0.5
50.00 50.00 -0.40 0.5 0.5
55.00 50.00 0.07 0.5 0.5
60.00 50.00 0.41 0.5 0.5
65.00 50.00 0.58 0.5 0.5
70.00 50.00 0.57 0.5 0.5
75.00 50.00 0.26 0.5 0.5
80.00 50.00 -0.64 0.5 0.5
85.00 50.00 -3.26 0.5 0.5
90.00 50.00 -999.99 0.5 0.5
0.00 60.00 -20.66 0.0 1.0
5.00 60.00 -15.95 0.0 1.0
10.00 60.00 -11.89 0.0 1.0
15.00 60.00 -9.02 0.0 1.0
20.00 60.00 -6.88 0.0 1.0
25.00 60.00 -5.19 0.0 1.0
30.00 60.00 -3.84 0.0 1.0
35.00 60.00 -2.72 0.0 1.0
40.00 60.00 -1.80 0.0 1.0
45.00 60.00 -1.04 0.5 0.5
50.00 60.00 -0.43 0.5 0.5
55.00 60.00 0.04 0.5 0.5
60.00 60.00 0.37 0.5 0.5
65.00 60.00 0.55 0.5 0.5
70.00 60.00 0.54 0.5 0.5
75.00 60.00 0.23 0.5 0.5
80.00 60.00 -0.67 0.5 0.5
85.00 60.00 -3.29 0.5 0.5
90.00 60.00 -999.99 0.5 0.5
0.00 70.00 -23.89 0.0 1.0
5.00 70.00 -17.12 0.0 1.0
10.00 70.00 -12.41 0.0 1.0
15.00 70.00 -9.31 0.0 1.0
20.00 70.00 -7.06 0.0 1.0
25.00 70.00 -5.32 0.0 1.0
30.00 70.00 -3.93 0.0 1.0
35.00 70.00 -2.80 0.0 1.0
40.00 70.00 -1.86 0.0 1.0
45.00 70.00 -1.10 0.5 0.5
50.00 70.00 -0.48 0.5 0.5
55.00 70.00 -0.00 0.5 0.5
60.00 70.00 0.33 0.5 0.5
65.00 70.00 0.52 0.5 0.5
70.00 70.00 0.50 0.5 0.5
75.00 70.00 0.19 0.5 0.5
80.00 70.00 -0.70 0.5 0.5
85.00 70.00 -3.33 0.5 0.5
90.00 70.00 -999.99 0.5 0.5
0.00 80.00 -29.57 0.0 1.0
5.00 80.00 -18.32 0.0 1.0
10.00 80.00 -12.89 0.0 1.0
15.00 80.00 -9.59 0.0 1.0
20.00 80.00 -7.25 0.0 1.0
25.00 80.00 -5.46 0.0 1.0
30.00 80.00 -4.04 0.0 1.0
35.00 80.00 -2.89 0.0 1.0
40.00 80.00 -1.94 0.0 1.0
45.00 80.00 -1.16 0.5 0.5
50.00 80.00 -0.54 0.5 0.5
55.00 80.00 -0.06 0.5 0.5
60.00 80.00 0.28 0.5 0.5
65.00 80.00 0.47 0.5 0.5
70.00 80.00 0.45 0.5 0.5
75.00 80.00 0.14 0.5 0.5
80.00 80.00 -0.75 0.5 0.5
85.00 80.00 -3.37 0.5 0.5
90.00 80.00 -999.99 0.5 0.5
0.00 90.00 -56.34 0.0 1.0
5.00 90.00 -19.27 0.0 1.0
10.00 90.00 -13.31 0.0 1.0
15.00 90.00 -9.85 0.0 1.0
