# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 36.0 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 36.46 0.0 1.0
5.00 0.00 36.30 0.0 1.0
10.00 0.00 36.08 0.0 1.0
15.00 0.00 35.80 0.0 1.0
20.00 0.00 35.46 0.0 1.0
25.00 0.00 35.07 0.0 1.0
30.00 0.00 34.62 0.0 1.0
35.00 0.00 34.11 0.0 1.0
40.00 0.00 33.57 0.0 1.0
45.00 0.00 32.99 0.5 0.5
50.00 0.00 32.40 0.5 0.5
55.00 0.00 31.77 0.5 0.5
60.00 0.00 31.09 0.5 0.5
65.00 0.00 30.29 0.5 0.5
70.00 0.00 29.25 0.5 0.5
75.00 0.00 27.75 0.5 0.5
80.00 0.00 25.32 0.5 0.5
85.00 0.00 20.45 0.5 0.5
90.00 0.00 -183.02 0.5 0.5
0.00 10.00 36.46 0.0 1.0
5.00 10.00 36.32 0.0 1.0
10.00 10.00 36.10 0.0 1.0
15.00 10.00 35.80 0.0 1.0
20.00 10.00 35.41 0.0 1.0
25.00 10.00 34.94 0.0 1.0
30.00 10.00 34.41 0.0 1.0
35.00 10.00 33.83 0.0 1.0
40.00 10.00 33.23 0.0 1.0
45.00 10.00 32.64 0.5 0.5
50.00 10.00 32.08 0.5 0.5
55.00 10.00 31.56 0.5 0.5
60.00 10.00 31.04 0.5 0.5
65.00 10.00 30.44 0.5 0.5
70.00 10.00 29.62 0.5 0.5
75.00 10.00 28.33 0.5 0.5
80.00 10.00 26.09 0.5 0.5
85.00 10.00 21.39 0.5 0.5
90.00 10.00 -181.95 0.5 0.5
0.00 20.00 36.46 0.0 1.0
5.00 20.00 36.35 0.0 1.0
10.00 20.00 36.13 0.0 1.0
15.00 20.00 35.79 0.0 1.0
20.00 20.00 35.34 0.0 1.0
25.00 20.00 34.80 0.0 1.0
30.00 20.00 34.18 0.0 1.0
35.00 20.00 33.51 0.0 1.0
40.00 20.00 32.84 0.0 1.0
45.00 20.00 32.22 0.5 0.5
50.00 20.00 31.71 0.5 0.5
55.00 20.00 31.29 0.5 0.5
60.00 20.00 30.93 0.5 0.5
65.00 20.00 30.51 0.5 0.5
70.00 20.00 29.86 0.5 0.5
75.00 20.00 28.73 0.5 0.5
80.00 20.00 26.62 0.5 0.5
85.00 20.00 22.03 0.5 0.5
90.00 20.00 -181.22 0.5 0.5
0.00 30.00 36.46 0.0 1.0
5.00 30.00 36.38 0.0 1.0
10.00 30.00 36.16 0.0 1.0
15.00 30.00 35.79 0.0 1.0
20.00 30.00 35.29 0.0 1.0
25.00 30.00 34.66 0.0 1.0
30.00 30.00 33.94 0.0 1.0
35.00 30.00 33.17 0.0 1.0
40.00 30.00 32.41 0.0 1.0
45.00 30.00 31.74 0.5 0.5
50.00 30.00 31.24 0.5 0.5
55.00 30.00 30.91 0.5 0.5
60.00 30.00 30.67 0.5 0.5
65.00 30.00 30.39 0.5 0.5
70.00 30.00 29.87 0.5 0.5
75.00 30.00 28.85 0.5 0.5
80.00 30.00 26.83 0.5 0.5
85.00 30.00 22.32 0.5 0.5
90.00 30.00 -180.87 0.5 0.5
0.00 40.00 36.46 0.0 1.0
5.00 40.00 36.41 0.0 1.0
10.00 40.00 36.20 0.0 1.0
15.00 40.00 35.81 0.0 1.0
20.00 40.00 35.26 0.0 1.0
25.00 40.00 34.56 0.0 1.0
30.00 40.00 33.74 0.0 1.0
35.00 40.00 32.85 0.0 1.0
40.00 40.00 31.95 0.0 1.0
45.00 40.00 31.18 0.5 0.5
50.00 40.00 30.63 0.5 0.5
55.00 40.00 30.32 0.5 0.5
60.00 40.00 30.18 0.5 0.5
65.00 40.00 30.01 0.5 0.5
70.00 40.00 29.60 0.5 0.5
75.00 40.00 28.68 0.5 0.5
80.00 40.00 26.74 0.5 0.5
85.00 40.00 22.29 0.5 0.5
90.00 40.00 -180.84 0.5 0.5
0.00 50.00 36.46 0.0 1.0
5.00 50.00 36.45 0.0 1.0
10.00 50.00 36.25 0.0 1.0
15.00 50.00 35.86 0.0 1.0
20.00 50.00 35.28 0.0 1.0
25.00 50.00 34.53 0.0 1.0
30.00 50.00 33.63 0.0 1.0
35.00 50.00 32.61 0.0 1.0
40.00 50.00 31.56 0.0 1.0
45.00 50.00 30.61 0.5 0.5
50.00 50.00 29.93 0.5 0.5
