# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 36.0 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -7.57 0.0 1.0
5.00 0.00 -8.17 0.0 1.0
10.00 0.00 -9.01 0.0 1.0
15.00 0.00 -10.10 0.0 1.0
20.00 0.00 -11.46 0.0 1.0
25.00 0.00 -13.09 0.0 1.0
30.00 0.00 -14.97 0.0 1.0
35.00 0.00 -17.01 0.0 1.0
40.00 0.00 -18.91 0.0 1.0
45.00 0.00 -20.14 0.5 0.5
50.00 0.00 -20.39 0.5 0.5
55.00 0.00 -20.01 0.5 0.5
60.00 0.00 -19.54 0.5 0.5
65.00 0.00 -19.32 0.5 0.5
70.00 0.00 -19.53 0.5 0.5
75.00 0.00 -20.37 0.5 0.5
80.00 0.00 -22.27 0.5 0.5
85.00 0.00 -26.69 0.5 0.5
0.00 10.00 -7.57 0.0 1.0
5.00 10.00 -8.18 0.0 1.0
10.00 10.00 -9.03 0.0 1.0
15.00 10.00 -10.15 0.0 1.0
20.00 10.00 -11.54 0.0 1.0
25.00 10.00 -13.23 0.0 1.0
30.00 10.00 -15.20 0.0 1.0
35.00 10.00 -17.36 0.0 1.0
40.00 10.00 -19.42 0.0 1.0
45.00 10.00 -20.79 0.5 0.5
50.00 10.00 -21.07 0.5 0.5
55.00 10.00 -20.65 0.5 0.5
60.00 10.00 -20.13 0.5 0.5
65.00 10.00 -19.89 0.5 0.5
70.00 10.00 -20.10 0.5 0.5
75.00 10.00 -20.96 0.5 0.5
80.00 10.00 -22.89 0.5 0.5
85.00 10.00 -27.34 0.5 0.5
0.00 20.00 -7.57 0.0 1.0
5.00 20.00 -8.16 0.0 1.0
10.00 20.00 -8.99 0.0 1.0
15.00 20.00 -10.06 0.0 1.0
20.00 20.00 -11.38 0.0 1.0
25.00 20.00 -12.94 0.0 1.0
30.00 20.00 -14.69 0.0 1.0
35.00 20.00 -16.47 0.0 1.0
40.00 20.00 -17.99 0.0 1.0
45.00 20.00 -18.89 0.5 0.5
50.00 20.00 -19.07 0.5 0.5
55.00 20.00 -18.85 0.5 0.5
60.00 20.00 -18.60 0.5 0.5
65.00 20.00 -18.58 0.5 0.5
70.00 20.00 -18.96 0.5 0.5
75.00 20.00 -19.95 0.5 0.5
80.00 20.00 -21.98 0.5 0.5
85.00 20.00 -26.52 0.5 0.5
