# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 36.0 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 19.00 0.0 1.0
5.00 0.00 19.45 0.0 1.0
10.00 0.00 19.88 0.0 1.0
15.00 0.00 20.29 0.0 1.0
20.00 0.00 20.69 0.0 1.0
25.00 0.00 21.09 0.0 1.0
30.00 0.00 21.47 0.0 1.0
35.00 0.00 21.82 0.0 1.0
40.00 0.00 22.14 0.0 1.0
45.00 0.00 22.40 0.5 0.5
50.00 0.00 22.57 0.5 0.5
55.00 0.00 22.62 0.5 0.5
60.00 0.00 22.52 0.5 0.5
65.00 0.00 22.19 0.5 0.5
70.00 0.00 21.54 0.5 0.5
75.00 0.00 20.37 0.5 0.5
80.00 0.00 18.24 0.5 0.5
85.00 0.00 13.67 0.5 0.5
90.00 0.00 -189.47 0.5 0.5
0.00 10.00 19.00 0.0 1.0
5.00 10.00 19.50 0.0 1.0
10.00 10.00 19.96 0.0 1.0
15.00 10.00 20.37 0.0 1.0
20.00 10.00 20.75 0.0 1.0
25.00 10.00 21.10 0.0 1.0
30.00 10.00 21.41 0.0 1.0
35.00 10.00 21.68 0.0 1.0
40.00 10.00 21.90 0.0 1.0
45.00 10.00 22.06 0.5 0.5
50.00 10.00 22.14 0.5 0.5
55.00 10.00 22.10 0.5 0.5
60.00 10.00 21.91 0.5 0.5
65.00 10.00 21.51 0.5 0.5
70.00 10.00 20.79 0.5 0.5
75.00 10.00 19.57 0.5 0.5
80.00 10.00 17.40 0.5 0.5
85.00 10.00 12.81 0.5 0.5
90.00 10.00 -190.35 0.5 0.5
0.00 20.00 19.00 0.0 1.0
5.00 20.00 19.54 0.0 1.0
10.00 20.00 20.01 0.0 1.0
15.00 20.00 20.41 0.0 1.0
20.00 20.00 20.75 0.0 1.0
25.00 20.00 21.03 0.0 1.0
30.00 20.00 21.26 0.0 1.0
35.00 20.00 21.44 0.0 1.0
40.00 20.00 21.56 0.0 1.0
45.00 20.00 21.60 0.5 0.5
50.00 20.00 21.57 0.5 0.5
55.00 20.00 21.42 0.5 0.5
60.00 20.00 21.13 0.5 0.5
65.00 20.00 20.64 0.5 0.5
70.00 20.00 19.85 0.5 0.5
75.00 20.00 18.57 0.5 0.5
80.00 20.00 16.36 0.5 0.5
85.00 20.00 11.74 0.5 0.5
90.00 20.00 -191.43 0.5 0.5
0.00 30.00 19.00 0.0 1.0
5.00 30.00 19.56 0.0 1.0
10.00 30.00 20.03 0.0 1.0
15.00 30.00 20.40 0.0 1.0
20.00 30.00 20.69 0.0 1.0
25.00 30.00 20.90 0.0 1.0
30.00 30.00 21.05 0.0 1.0
35.00 30.00 21.12 0.0 1.0
40.00 30.00 21.12 0.0 1.0
45.00 30.00 21.05 0.5 0.5
50.00 30.00 20.89 0.5 0.5
55.00 30.00 20.62 0.5 0.5
60.00 30.00 20.22 0.5 0.5
65.00 30.00 19.63 0.5 0.5
70.00 30.00 18.75 0.5 0.5
75.00 30.00 17.39 0.5 0.5
80.00 30.00 15.12 0.5 0.5
85.00 30.00 10.47 0.5 0.5
90.00 30.00 -192.72 0.5 0.5
0.00 40.00 19.00 0.0 1.0
5.00 40.00 19.57 0.0 1.0
10.00 40.00 20.02 0.0 1.0
15.00 40.00 20.35 0.0 1.0
20.00 40.00 20.59 0.0 1.0
25.00 40.00 20.73 0.0 1.0
30.00 40.00 20.78 0.0 1.0
35.00 40.00 20.75 0.0 1.0
40.00 40.00 20.63 0.0 1.0
45.00 40.00 20.43 0.5 0.5
50.00 40.00 20.13 0.5 0.5
55.00 40.00 19.73 0.5 0.5
60.00 40.00 19.20 0.5 0.5
65.00 40.00 18.48 0.5 0.5
70.00 40.00 17.50 0.5 0.5
75.00 40.00 16.06 0.5 0.5
80.00 40.00 13.72 0.5 0.5
85.00 40.00 9.02 0.5 0.5
90.00 40.00 -194.18 0.5 0.5
0.00 50.00 19.00 0.0 1.0
5.00 50.00 19.56 0.0 1.0
10.00 50.00 19.98 0.0 1.0
15.00 50.00 20.28 0.0 1.0
