# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 36.0 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0.00 0.00 -8.74 0.0 1.0
5.00 0.00 -9.12 0.0 1.0
10.00 0.00 -9.57 0.0 1.0
15.00 0.00 -10.11 0.0 1.0
20.00 0.00 -10.73 0.0 1.0
25.00 0.00 -11.41 0.0 1.0
30.00 0.00 -12.16 0.0 1.0
35.00 0.00 -12.96 0.0 1.0
40.00 0.00 -13.81 0.0 1.0
45.00 0.00 -14.71 0.5 0.5
50.00 0.00 -15.67 0.5 0.5
55.00 0.00 -16.72 0.5 0.5
60.00 0.00 -17.90 0.5 0.5
65.00 0.00 -19.29 0.5 0.5
70.00 0.00 -21.00 0.5 0.5
75.00 0.00 -23.24 0.5 0.5
80.00 0.00 -26.49 0.5 0.5
85.00 0.00 -32.19 0.5 0.5
0.00 10.00 -8.74 0.0 1.0
5.00 10.00 -9.06 0.0 1.0
10.00 10.00 -9.50 0.0 1.0
15.00 10.00 -10.05 0.0 1.0
20.00 10.00 -10.70 0.0 1.0
25.00 10.00 -11.47 0.0 1.0
30.00 10.00 -12.32 0.0 1.0
35.00 10.00 -13.26 0.0 1.0
40.00 10.00 -14.27 0.0 1.0
45.00 10.00 -15.32 0.5 0.5
50.00 10.00 -16.41 0.5 0.5
55.00 10.00 -17.54 0.5 0.5
60.00 10.00 -18.74 0.5 0.5
65.00 10.00 -20.07 0.5 0.5
70.00 10.00 -21.61 0.5 0.5
75.00 10.00 -23.59 0.5 0.5
80.00 10.00 -26.44 0.5 0.5
85.00 10.00 -31.64 0.5 0.5
0.00 20.00 -8.74 0.0 1.0
5.00 20.00 -9.00 0.0 1.0
10.00 20.00 -9.40 0.0 1.0
